Train Episode: 1	Loss: 3.702328	Accuracy: 0.080	MetaParam_1: 0.001000	MetaParam_2: 0.000000	MetaParam_3: 0.000000
Train Episode: 2	Loss: 1.908466	Accuracy: 0.200	MetaParam_1: 0.002000	MetaParam_2: -0.001000	MetaParam_3: 0.001000
Train Episode: 3	Loss: 1.543291	Accuracy: 0.200	MetaParam_1: 0.002874	MetaParam_2: -0.001845	MetaParam_3: 0.001862
Train Episode: 4	Loss: 1.806589	Accuracy: 0.240	MetaParam_1: 0.003596	MetaParam_2: -0.002759	MetaParam_3: 0.002644
Train Episode: 5	Loss: 1.379448	Accuracy: 0.520	MetaParam_1: 0.004176	MetaParam_2: -0.002830	MetaParam_3: 0.003298
Train Episode: 6	Loss: 1.464797	Accuracy: 0.540	MetaParam_1: 0.004793	MetaParam_2: -0.003282	MetaParam_3: 0.003906
Train Episode: 7	Loss: 1.426464	Accuracy: 0.340	MetaParam_1: 0.005381	MetaParam_2: -0.003763	MetaParam_3: 0.004417
Train Episode: 8	Loss: 0.910260	Accuracy: 0.640	MetaParam_1: 0.006024	MetaParam_2: -0.004301	MetaParam_3: 0.004832
Train Episode: 9	Loss: 0.822017	Accuracy: 0.820	MetaParam_1: 0.006673	MetaParam_2: -0.004912	MetaParam_3: 0.005206
Train Episode: 10	Loss: 1.110820	Accuracy: 0.580	MetaParam_1: 0.007350	MetaParam_2: -0.005610	MetaParam_3: 0.005558
Train Episode: 11	Loss: 1.009403	Accuracy: 0.640	MetaParam_1: 0.008122	MetaParam_2: -0.006397	MetaParam_3: 0.005733
Train Episode: 12	Loss: 1.249933	Accuracy: 0.440	MetaParam_1: 0.008846	MetaParam_2: -0.007223	MetaParam_3: 0.005921
Train Episode: 13	Loss: 0.789400	Accuracy: 0.780	MetaParam_1: 0.009521	MetaParam_2: -0.008053	MetaParam_3: 0.006079
Train Episode: 14	Loss: 0.728944	Accuracy: 0.660	MetaParam_1: 0.010175	MetaParam_2: -0.008864	MetaParam_3: 0.006239
Train Episode: 15	Loss: 0.659985	Accuracy: 0.740	MetaParam_1: 0.010765	MetaParam_2: -0.009609	MetaParam_3: 0.006395
Train Episode: 16	Loss: 0.847766	Accuracy: 0.760	MetaParam_1: 0.011363	MetaParam_2: -0.010410	MetaParam_3: 0.006514
Train Episode: 17	Loss: 0.438614	Accuracy: 0.900	MetaParam_1: 0.011905	MetaParam_2: -0.011118	MetaParam_3: 0.006591
Train Episode: 18	Loss: 1.613738	Accuracy: 0.400	MetaParam_1: 0.012415	MetaParam_2: -0.011797	MetaParam_3: 0.006646
Train Episode: 19	Loss: 0.916074	Accuracy: 0.640	MetaParam_1: 0.012850	MetaParam_2: -0.012362	MetaParam_3: 0.006669
Train Episode: 20	Loss: 1.100695	Accuracy: 0.600	MetaParam_1: 0.013275	MetaParam_2: -0.012953	MetaParam_3: 0.006665
