Train Episode: 1	Loss: 3.668261	Accuracy: 0.120
Train Episode: 2	Loss: 2.379262	Accuracy: 0.220
Train Episode: 3	Loss: 2.074475	Accuracy: 0.220
Train Episode: 4	Loss: 1.811707	Accuracy: 0.240
Train Episode: 5	Loss: 1.725798	Accuracy: 0.320
Train Episode: 6	Loss: 1.826085	Accuracy: 0.180
Train Episode: 7	Loss: 1.418799	Accuracy: 0.300
Train Episode: 8	Loss: 1.130781	Accuracy: 0.640
Train Episode: 9	Loss: 1.344496	Accuracy: 0.420
Train Episode: 10	Loss: 1.503332	Accuracy: 0.460
Train Episode: 11	Loss: 1.812716	Accuracy: 0.340
Train Episode: 12	Loss: 1.059040	Accuracy: 0.560
Train Episode: 13	Loss: 0.821082	Accuracy: 0.640
Train Episode: 14	Loss: 1.784907	Accuracy: 0.260
Train Episode: 15	Loss: 1.049010	Accuracy: 0.580
Train Episode: 16	Loss: 0.793640	Accuracy: 0.620
Train Episode: 17	Loss: 0.941530	Accuracy: 0.720
Train Episode: 18	Loss: 1.216256	Accuracy: 0.580
Train Episode: 19	Loss: 1.230762	Accuracy: 0.480
Train Episode: 20	Loss: 1.446030	Accuracy: 0.340
Train Episode: 21	Loss: 0.940878	Accuracy: 0.720
Train Episode: 22	Loss: 0.994207	Accuracy: 0.660
Train Episode: 23	Loss: 0.789942	Accuracy: 0.780
Train Episode: 24	Loss: 0.986083	Accuracy: 0.560
Train Episode: 25	Loss: 1.170016	Accuracy: 0.500
Train Episode: 26	Loss: 0.904049	Accuracy: 0.640
Train Episode: 27	Loss: 1.094996	Accuracy: 0.540
Train Episode: 28	Loss: 1.042038	Accuracy: 0.420
Train Episode: 29	Loss: 0.855988	Accuracy: 0.640
Train Episode: 30	Loss: 0.920839	Accuracy: 0.600
Train Episode: 31	Loss: 0.749819	Accuracy: 0.760
Train Episode: 32	Loss: 0.618758	Accuracy: 0.800
Train Episode: 33	Loss: 1.070411	Accuracy: 0.600
Train Episode: 34	Loss: 0.704665	Accuracy: 0.700
Train Episode: 35	Loss: 0.616863	Accuracy: 0.760
Train Episode: 36	Loss: 0.903431	Accuracy: 0.620
Train Episode: 37	Loss: 0.672347	Accuracy: 0.800
Train Episode: 38	Loss: 1.230178	Accuracy: 0.580
Train Episode: 39	Loss: 0.839559	Accuracy: 0.700
Train Episode: 40	Loss: 0.640265	Accuracy: 0.820
Train Episode: 41	Loss: 0.853914	Accuracy: 0.680
Train Episode: 42	Loss: 0.923924	Accuracy: 0.660
Train Episode: 43	Loss: 1.069684	Accuracy: 0.540
Train Episode: 44	Loss: 0.955673	Accuracy: 0.660
Train Episode: 45	Loss: 0.867694	Accuracy: 0.680
Train Episode: 46	Loss: 0.571863	Accuracy: 0.800
Train Episode: 47	Loss: 0.762520	Accuracy: 0.740
Train Episode: 48	Loss: 0.630589	Accuracy: 0.760
Train Episode: 49	Loss: 0.659142	Accuracy: 0.820
Train Episode: 50	Loss: 1.006837	Accuracy: 0.620
Train Episode: 51	Loss: 0.804596	Accuracy: 0.740
Train Episode: 52	Loss: 0.881969	Accuracy: 0.740
Train Episode: 53	Loss: 1.339470	Accuracy: 0.360
Train Episode: 54	Loss: 0.890562	Accuracy: 0.700
Train Episode: 55	Loss: 1.157583	Accuracy: 0.500
Train Episode: 56	Loss: 1.335188	Accuracy: 0.520
Train Episode: 57	Loss: 0.835784	Accuracy: 0.720
Train Episode: 58	Loss: 0.782901	Accuracy: 0.640
Train Episode: 59	Loss: 1.460747	Accuracy: 0.400
Train Episode: 60	Loss: 0.688106	Accuracy: 0.740
Train Episode: 61	Loss: 1.055553	Accuracy: 0.580
Train Episode: 62	Loss: 0.496774	Accuracy: 0.820
Train Episode: 63	Loss: 1.066600	Accuracy: 0.680
Train Episode: 64	Loss: 1.089037	Accuracy: 0.440
Train Episode: 65	Loss: 0.799661	Accuracy: 0.700
Train Episode: 66	Loss: 0.741787	Accuracy: 0.640
Train Episode: 67	Loss: 0.844168	Accuracy: 0.680
Train Episode: 68	Loss: 0.657242	Accuracy: 0.740
Train Episode: 69	Loss: 1.134507	Accuracy: 0.520
Train Episode: 70	Loss: 0.556559	Accuracy: 0.780
Train Episode: 71	Loss: 0.695124	Accuracy: 0.760
Train Episode: 72	Loss: 1.092906	Accuracy: 0.620
Train Episode: 73	Loss: 1.101673	Accuracy: 0.560
Train Episode: 74	Loss: 0.834377	Accuracy: 0.660
Train Episode: 75	Loss: 1.466625	Accuracy: 0.240
Train Episode: 76	Loss: 0.972242	Accuracy: 0.640
Train Episode: 77	Loss: 1.257664	Accuracy: 0.620
Train Episode: 78	Loss: 0.908183	Accuracy: 0.680
Train Episode: 79	Loss: 0.945853	Accuracy: 0.720
Train Episode: 80	Loss: 0.716534	Accuracy: 0.800
Train Episode: 81	Loss: 0.543463	Accuracy: 0.780
Train Episode: 82	Loss: 1.872962	Accuracy: 0.300
Train Episode: 83	Loss: 0.903847	Accuracy: 0.640
Train Episode: 84	Loss: 0.616413	Accuracy: 0.760
Train Episode: 85	Loss: 0.666433	Accuracy: 0.660
Train Episode: 86	Loss: 1.184657	Accuracy: 0.580
Train Episode: 87	Loss: 0.731472	Accuracy: 0.700
Train Episode: 88	Loss: 1.233041	Accuracy: 0.560
Train Episode: 89	Loss: 1.565948	Accuracy: 0.460
Train Episode: 90	Loss: 0.622441	Accuracy: 0.740
Train Episode: 91	Loss: 1.486785	Accuracy: 0.580
Train Episode: 92	Loss: 0.656285	Accuracy: 0.800
Train Episode: 93	Loss: 0.710390	Accuracy: 0.800
Train Episode: 94	Loss: 1.458137	Accuracy: 0.520
Train Episode: 95	Loss: 0.981068	Accuracy: 0.700
Train Episode: 96	Loss: 0.986709	Accuracy: 0.540
Train Episode: 97	Loss: 0.830916	Accuracy: 0.720
Train Episode: 98	Loss: 1.361010	Accuracy: 0.360
Train Episode: 99	Loss: 0.941723	Accuracy: 0.600
Train Episode: 100	Loss: 1.101998	Accuracy: 0.500
Train Episode: 101	Loss: 0.685582	Accuracy: 0.800
Train Episode: 102	Loss: 0.715785	Accuracy: 0.740
Train Episode: 103	Loss: 0.567923	Accuracy: 0.840
Train Episode: 104	Loss: 0.941948	Accuracy: 0.680
Train Episode: 105	Loss: 1.166669	Accuracy: 0.600
Train Episode: 106	Loss: 0.399590	Accuracy: 0.860
Train Episode: 107	Loss: 0.890794	Accuracy: 0.680
Train Episode: 108	Loss: 0.873891	Accuracy: 0.640
Train Episode: 109	Loss: 0.691750	Accuracy: 0.680
Train Episode: 110	Loss: 1.442250	Accuracy: 0.580
Train Episode: 111	Loss: 1.215049	Accuracy: 0.580
Train Episode: 112	Loss: 0.705496	Accuracy: 0.720
Train Episode: 113	Loss: 0.771773	Accuracy: 0.720
Train Episode: 114	Loss: 1.061716	Accuracy: 0.660
Train Episode: 115	Loss: 0.489613	Accuracy: 0.820
Train Episode: 116	Loss: 1.146536	Accuracy: 0.440
Train Episode: 117	Loss: 0.666750	Accuracy: 0.800
Train Episode: 118	Loss: 0.418482	Accuracy: 0.880
Train Episode: 119	Loss: 0.996774	Accuracy: 0.700
Train Episode: 120	Loss: 0.905566	Accuracy: 0.720
Train Episode: 121	Loss: 0.730614	Accuracy: 0.760
Train Episode: 122	Loss: 0.654610	Accuracy: 0.760
Train Episode: 123	Loss: 0.839914	Accuracy: 0.740
Train Episode: 124	Loss: 0.781184	Accuracy: 0.740
Train Episode: 125	Loss: 0.675598	Accuracy: 0.800
Train Episode: 126	Loss: 0.861523	Accuracy: 0.720
Train Episode: 127	Loss: 0.798322	Accuracy: 0.740
Train Episode: 128	Loss: 0.878718	Accuracy: 0.720
