Train Episode: 1	Loss: 3.668261	Accuracy: 0.120
Train Episode: 2	Loss: 2.116714	Accuracy: 0.260
Train Episode: 3	Loss: 1.537870	Accuracy: 0.520
Train Episode: 4	Loss: 1.799592	Accuracy: 0.320
Train Episode: 5	Loss: 1.535337	Accuracy: 0.240
Train Episode: 6	Loss: 1.220368	Accuracy: 0.480
Train Episode: 7	Loss: 1.402405	Accuracy: 0.280
Train Episode: 8	Loss: 0.835567	Accuracy: 0.720
Train Episode: 9	Loss: 1.656587	Accuracy: 0.520
Train Episode: 10	Loss: 1.476280	Accuracy: 0.600
Train Episode: 11	Loss: 1.029599	Accuracy: 0.580
Train Episode: 12	Loss: 0.837214	Accuracy: 0.600
Train Episode: 13	Loss: 0.819913	Accuracy: 0.660
Train Episode: 14	Loss: 1.066740	Accuracy: 0.600
Train Episode: 15	Loss: 0.929833	Accuracy: 0.680
Train Episode: 16	Loss: 1.267555	Accuracy: 0.620
Train Episode: 17	Loss: 0.664132	Accuracy: 0.780
Train Episode: 18	Loss: 1.071993	Accuracy: 0.700
Train Episode: 19	Loss: 0.971072	Accuracy: 0.700
Train Episode: 20	Loss: 1.108520	Accuracy: 0.480
Train Episode: 21	Loss: 1.145304	Accuracy: 0.520
Train Episode: 22	Loss: 1.187050	Accuracy: 0.520
Train Episode: 23	Loss: 0.868521	Accuracy: 0.660
Train Episode: 24	Loss: 0.985736	Accuracy: 0.640
Train Episode: 25	Loss: 0.882782	Accuracy: 0.600
Train Episode: 26	Loss: 0.897194	Accuracy: 0.740
Train Episode: 27	Loss: 0.777738	Accuracy: 0.720
Train Episode: 28	Loss: 0.883491	Accuracy: 0.560
Train Episode: 29	Loss: 0.584347	Accuracy: 0.840
Train Episode: 30	Loss: 0.790376	Accuracy: 0.760
Train Episode: 31	Loss: 0.854513	Accuracy: 0.740
Train Episode: 32	Loss: 0.755504	Accuracy: 0.740
Train Episode: 33	Loss: 0.761026	Accuracy: 0.740
Train Episode: 34	Loss: 0.692103	Accuracy: 0.700
Train Episode: 35	Loss: 0.651437	Accuracy: 0.660
Train Episode: 36	Loss: 0.876637	Accuracy: 0.620
Train Episode: 37	Loss: 0.776796	Accuracy: 0.600
Train Episode: 38	Loss: 0.966553	Accuracy: 0.620
Train Episode: 39	Loss: 0.709174	Accuracy: 0.720
Train Episode: 40	Loss: 0.569115	Accuracy: 0.800
Train Episode: 41	Loss: 1.023406	Accuracy: 0.700
Train Episode: 42	Loss: 0.912485	Accuracy: 0.660
Train Episode: 43	Loss: 1.108715	Accuracy: 0.500
Train Episode: 44	Loss: 0.821028	Accuracy: 0.700
Train Episode: 45	Loss: 0.946509	Accuracy: 0.580
Train Episode: 46	Loss: 0.619452	Accuracy: 0.760
Train Episode: 47	Loss: 0.755642	Accuracy: 0.740
Train Episode: 48	Loss: 0.471661	Accuracy: 0.780
Train Episode: 49	Loss: 0.732278	Accuracy: 0.700
Train Episode: 50	Loss: 1.098682	Accuracy: 0.580
Train Episode: 51	Loss: 0.694773	Accuracy: 0.720
Train Episode: 52	Loss: 0.694973	Accuracy: 0.740
Train Episode: 53	Loss: 1.255064	Accuracy: 0.480
Train Episode: 54	Loss: 0.921573	Accuracy: 0.700
Train Episode: 55	Loss: 0.909405	Accuracy: 0.700
Train Episode: 56	Loss: 1.048711	Accuracy: 0.580
Train Episode: 57	Loss: 0.852299	Accuracy: 0.740
Train Episode: 58	Loss: 0.778719	Accuracy: 0.660
Train Episode: 59	Loss: 1.136826	Accuracy: 0.540
Train Episode: 60	Loss: 0.748448	Accuracy: 0.720
Train Episode: 61	Loss: 1.243740	Accuracy: 0.580
Train Episode: 62	Loss: 0.565771	Accuracy: 0.760
Train Episode: 63	Loss: 1.072776	Accuracy: 0.560
Train Episode: 64	Loss: 1.048915	Accuracy: 0.500
Train Episode: 65	Loss: 0.817828	Accuracy: 0.640
Train Episode: 66	Loss: 0.698271	Accuracy: 0.780
Train Episode: 67	Loss: 0.791651	Accuracy: 0.720
Train Episode: 68	Loss: 0.809242	Accuracy: 0.720
Train Episode: 69	Loss: 1.130077	Accuracy: 0.620
Train Episode: 70	Loss: 0.706819	Accuracy: 0.760
Train Episode: 71	Loss: 0.715141	Accuracy: 0.760
Train Episode: 72	Loss: 0.886598	Accuracy: 0.640
Train Episode: 73	Loss: 0.954578	Accuracy: 0.660
Train Episode: 74	Loss: 0.688914	Accuracy: 0.800
Train Episode: 75	Loss: 1.517306	Accuracy: 0.320
Train Episode: 76	Loss: 0.954411	Accuracy: 0.660
Train Episode: 77	Loss: 0.784716	Accuracy: 0.680
Train Episode: 78	Loss: 0.786518	Accuracy: 0.740
Train Episode: 79	Loss: 0.686398	Accuracy: 0.700
Train Episode: 80	Loss: 0.577887	Accuracy: 0.820
Train Episode: 81	Loss: 0.566389	Accuracy: 0.720
Train Episode: 82	Loss: 1.449171	Accuracy: 0.400
Train Episode: 83	Loss: 1.116586	Accuracy: 0.620
Train Episode: 84	Loss: 0.856134	Accuracy: 0.680
Train Episode: 85	Loss: 0.756667	Accuracy: 0.700
Train Episode: 86	Loss: 1.130323	Accuracy: 0.580
Train Episode: 87	Loss: 0.646738	Accuracy: 0.740
Train Episode: 88	Loss: 1.369916	Accuracy: 0.500
Train Episode: 89	Loss: 1.308789	Accuracy: 0.500
Train Episode: 90	Loss: 0.884702	Accuracy: 0.700
Train Episode: 91	Loss: 1.122675	Accuracy: 0.640
Train Episode: 92	Loss: 0.681833	Accuracy: 0.760
Train Episode: 93	Loss: 0.538462	Accuracy: 0.880
Train Episode: 94	Loss: 1.043298	Accuracy: 0.600
Train Episode: 95	Loss: 1.078760	Accuracy: 0.620
Train Episode: 96	Loss: 1.113208	Accuracy: 0.520
Train Episode: 97	Loss: 0.775456	Accuracy: 0.680
Train Episode: 98	Loss: 1.334191	Accuracy: 0.460
Train Episode: 99	Loss: 0.890758	Accuracy: 0.600
Train Episode: 100	Loss: 0.967071	Accuracy: 0.540
Train Episode: 101	Loss: 0.590957	Accuracy: 0.840
Train Episode: 102	Loss: 0.662947	Accuracy: 0.740
Train Episode: 103	Loss: 0.748697	Accuracy: 0.740
Train Episode: 104	Loss: 0.916451	Accuracy: 0.660
Train Episode: 105	Loss: 0.924019	Accuracy: 0.700
Train Episode: 106	Loss: 0.445042	Accuracy: 0.860
Train Episode: 107	Loss: 1.070572	Accuracy: 0.620
Train Episode: 108	Loss: 0.685851	Accuracy: 0.800
Train Episode: 109	Loss: 0.583237	Accuracy: 0.720
Train Episode: 110	Loss: 1.143847	Accuracy: 0.640
Train Episode: 111	Loss: 0.940567	Accuracy: 0.640
Train Episode: 112	Loss: 0.819959	Accuracy: 0.660
Train Episode: 113	Loss: 0.911306	Accuracy: 0.700
Train Episode: 114	Loss: 1.105410	Accuracy: 0.580
Train Episode: 115	Loss: 0.649892	Accuracy: 0.720
Train Episode: 116	Loss: 1.157045	Accuracy: 0.580
Train Episode: 117	Loss: 0.494896	Accuracy: 0.860
Train Episode: 118	Loss: 0.630172	Accuracy: 0.780
Train Episode: 119	Loss: 1.688781	Accuracy: 0.420
Train Episode: 120	Loss: 0.828829	Accuracy: 0.760
Train Episode: 121	Loss: 0.689812	Accuracy: 0.760
Train Episode: 122	Loss: 0.521118	Accuracy: 0.840
Train Episode: 123	Loss: 0.860254	Accuracy: 0.700
Train Episode: 124	Loss: 0.892390	Accuracy: 0.720
Train Episode: 125	Loss: 0.940294	Accuracy: 0.660
Train Episode: 126	Loss: 0.868829	Accuracy: 0.640
Train Episode: 127	Loss: 0.853418	Accuracy: 0.680
Train Episode: 128	Loss: 0.947264	Accuracy: 0.680
Train Episode: 129	Loss: 0.818115	Accuracy: 0.680
Train Episode: 130	Loss: 0.476874	Accuracy: 0.800
Train Episode: 131	Loss: 0.886311	Accuracy: 0.640
Train Episode: 132	Loss: 1.023772	Accuracy: 0.580
Train Episode: 133	Loss: 0.497530	Accuracy: 0.820
