Train Episode: 1	Loss: 3.668136	Accuracy: 0.120
Train Episode: 2	Loss: 2.050924	Accuracy: 0.220
Train Episode: 3	Loss: 1.668904	Accuracy: 0.380
Train Episode: 4	Loss: 2.062180	Accuracy: 0.200
Train Episode: 5	Loss: 1.667480	Accuracy: 0.180
Train Episode: 6	Loss: 1.509124	Accuracy: 0.260
Train Episode: 7	Loss: 1.671472	Accuracy: 0.200
Train Episode: 8	Loss: 1.518828	Accuracy: 0.280
Train Episode: 9	Loss: 1.548936	Accuracy: 0.360
Train Episode: 10	Loss: 1.580133	Accuracy: 0.480
Train Episode: 11	Loss: 1.496608	Accuracy: 0.380
Train Episode: 12	Loss: 1.302889	Accuracy: 0.440
Train Episode: 13	Loss: 1.149796	Accuracy: 0.560
Train Episode: 14	Loss: 1.683706	Accuracy: 0.360
Train Episode: 15	Loss: 1.625169	Accuracy: 0.420
Train Episode: 16	Loss: 0.972775	Accuracy: 0.620
Train Episode: 17	Loss: 1.090083	Accuracy: 0.380
Train Episode: 18	Loss: 1.108819	Accuracy: 0.620
Train Episode: 19	Loss: 1.362066	Accuracy: 0.400
Train Episode: 20	Loss: 1.624634	Accuracy: 0.320
Train Episode: 21	Loss: 1.164337	Accuracy: 0.560
Train Episode: 22	Loss: 1.116599	Accuracy: 0.560
Train Episode: 23	Loss: 1.114647	Accuracy: 0.500
Train Episode: 24	Loss: 1.390905	Accuracy: 0.360
Train Episode: 25	Loss: 1.087286	Accuracy: 0.520
Train Episode: 26	Loss: 1.170983	Accuracy: 0.600
Train Episode: 27	Loss: 1.310481	Accuracy: 0.440
Train Episode: 28	Loss: 1.130687	Accuracy: 0.420
Train Episode: 29	Loss: 0.959313	Accuracy: 0.620
Train Episode: 30	Loss: 1.463052	Accuracy: 0.520
Train Episode: 31	Loss: 0.932261	Accuracy: 0.700
Train Episode: 32	Loss: 0.946673	Accuracy: 0.740
Train Episode: 33	Loss: 1.000080	Accuracy: 0.540
Train Episode: 34	Loss: 0.825939	Accuracy: 0.620
Train Episode: 35	Loss: 0.642509	Accuracy: 0.740
Train Episode: 36	Loss: 1.005717	Accuracy: 0.500
Train Episode: 37	Loss: 0.903855	Accuracy: 0.540
Train Episode: 38	Loss: 1.164932	Accuracy: 0.500
Train Episode: 39	Loss: 0.885777	Accuracy: 0.700
Train Episode: 40	Loss: 0.709345	Accuracy: 0.740
Train Episode: 41	Loss: 1.100837	Accuracy: 0.680
Train Episode: 42	Loss: 0.940804	Accuracy: 0.660
Train Episode: 43	Loss: 1.412973	Accuracy: 0.440
Train Episode: 44	Loss: 0.985518	Accuracy: 0.660
Train Episode: 45	Loss: 1.104095	Accuracy: 0.480
Train Episode: 46	Loss: 0.922115	Accuracy: 0.700
Train Episode: 47	Loss: 0.962316	Accuracy: 0.600
Train Episode: 48	Loss: 0.516376	Accuracy: 0.780
Train Episode: 49	Loss: 0.743253	Accuracy: 0.700
Train Episode: 50	Loss: 1.166180	Accuracy: 0.580
Train Episode: 51	Loss: 0.964585	Accuracy: 0.660
Train Episode: 52	Loss: 0.867283	Accuracy: 0.700
Train Episode: 53	Loss: 1.292112	Accuracy: 0.500
Train Episode: 54	Loss: 1.021100	Accuracy: 0.660
Train Episode: 55	Loss: 1.076721	Accuracy: 0.520
Train Episode: 56	Loss: 1.420834	Accuracy: 0.540
Train Episode: 57	Loss: 1.008551	Accuracy: 0.700
Train Episode: 58	Loss: 0.897678	Accuracy: 0.620
Train Episode: 59	Loss: 1.241476	Accuracy: 0.540
Train Episode: 60	Loss: 0.805993	Accuracy: 0.700
Train Episode: 61	Loss: 1.288956	Accuracy: 0.540
Train Episode: 62	Loss: 0.567530	Accuracy: 0.820
Train Episode: 63	Loss: 1.159364	Accuracy: 0.500
Train Episode: 64	Loss: 1.028451	Accuracy: 0.580
Train Episode: 65	Loss: 0.891820	Accuracy: 0.620
Train Episode: 66	Loss: 0.842246	Accuracy: 0.680
Train Episode: 67	Loss: 0.930577	Accuracy: 0.640
Train Episode: 68	Loss: 0.944200	Accuracy: 0.700
Train Episode: 69	Loss: 1.143759	Accuracy: 0.640
Train Episode: 70	Loss: 0.759851	Accuracy: 0.760
Train Episode: 71	Loss: 0.781656	Accuracy: 0.700
Train Episode: 72	Loss: 0.795586	Accuracy: 0.700
Train Episode: 73	Loss: 0.966558	Accuracy: 0.680
Train Episode: 74	Loss: 0.803865	Accuracy: 0.740
Train Episode: 75	Loss: 1.528654	Accuracy: 0.260
Train Episode: 76	Loss: 1.078876	Accuracy: 0.660
Train Episode: 77	Loss: 0.851867	Accuracy: 0.700
Train Episode: 78	Loss: 0.770286	Accuracy: 0.700
Train Episode: 79	Loss: 0.632788	Accuracy: 0.740
Train Episode: 80	Loss: 0.721955	Accuracy: 0.800
Train Episode: 81	Loss: 0.609516	Accuracy: 0.720
Train Episode: 82	Loss: 1.351203	Accuracy: 0.360
Train Episode: 83	Loss: 0.821952	Accuracy: 0.620
Train Episode: 84	Loss: 0.800213	Accuracy: 0.700
Train Episode: 85	Loss: 0.782276	Accuracy: 0.680
Train Episode: 86	Loss: 1.054663	Accuracy: 0.560
Train Episode: 87	Loss: 0.711915	Accuracy: 0.720
Train Episode: 88	Loss: 1.229959	Accuracy: 0.460
Train Episode: 89	Loss: 1.258561	Accuracy: 0.480
Train Episode: 90	Loss: 0.840862	Accuracy: 0.680
Train Episode: 91	Loss: 1.025795	Accuracy: 0.640
Train Episode: 92	Loss: 0.736023	Accuracy: 0.700
Train Episode: 93	Loss: 0.619194	Accuracy: 0.820
Train Episode: 94	Loss: 1.051825	Accuracy: 0.560
Train Episode: 95	Loss: 0.975110	Accuracy: 0.720
Train Episode: 96	Loss: 1.000511	Accuracy: 0.600
Train Episode: 97	Loss: 0.762341	Accuracy: 0.700
Train Episode: 98	Loss: 1.239124	Accuracy: 0.520
Train Episode: 99	Loss: 0.994604	Accuracy: 0.600
Train Episode: 100	Loss: 1.202326	Accuracy: 0.520
Train Episode: 101	Loss: 0.660469	Accuracy: 0.820
Train Episode: 102	Loss: 0.732757	Accuracy: 0.760
Train Episode: 103	Loss: 0.766443	Accuracy: 0.780
Train Episode: 104	Loss: 0.916097	Accuracy: 0.680
Train Episode: 105	Loss: 0.977119	Accuracy: 0.600
Train Episode: 106	Loss: 0.486319	Accuracy: 0.860
Train Episode: 107	Loss: 1.054660	Accuracy: 0.660
Train Episode: 108	Loss: 0.663312	Accuracy: 0.760
Train Episode: 109	Loss: 0.642274	Accuracy: 0.680
Train Episode: 110	Loss: 0.992298	Accuracy: 0.660
Train Episode: 111	Loss: 0.847825	Accuracy: 0.760
Train Episode: 112	Loss: 0.706829	Accuracy: 0.760
Train Episode: 113	Loss: 0.802161	Accuracy: 0.700
Train Episode: 114	Loss: 1.077047	Accuracy: 0.480
Train Episode: 115	Loss: 0.632148	Accuracy: 0.820
Train Episode: 116	Loss: 1.171102	Accuracy: 0.600
Train Episode: 117	Loss: 0.489774	Accuracy: 0.820
Train Episode: 118	Loss: 0.460916	Accuracy: 0.820
Train Episode: 119	Loss: 1.057637	Accuracy: 0.660
Train Episode: 120	Loss: 0.798713	Accuracy: 0.720
Train Episode: 121	Loss: 0.604547	Accuracy: 0.840
Train Episode: 122	Loss: 0.556826	Accuracy: 0.820
Train Episode: 123	Loss: 0.758121	Accuracy: 0.760
Train Episode: 124	Loss: 0.793920	Accuracy: 0.760
