Episode: 1, v_vector: tensor([[1.]], device='cuda:0') 
Episode: 2, v_vector: tensor([[0.9996]], device='cuda:0') 
Episode: 3, v_vector: tensor([[0.9993]], device='cuda:0') 
Episode: 4, v_vector: tensor([[0.9990]], device='cuda:0') 
Episode: 5, v_vector: tensor([[0.9988]], device='cuda:0') 
Episode: 6, v_vector: tensor([[0.9987]], device='cuda:0') 
Episode: 7, v_vector: tensor([[0.9988]], device='cuda:0') 
Episode: 8, v_vector: tensor([[0.9989]], device='cuda:0') 
Episode: 9, v_vector: tensor([[0.9991]], device='cuda:0') 
Episode: 10, v_vector: tensor([[0.9993]], device='cuda:0') 
Episode: 11, v_vector: tensor([[0.9995]], device='cuda:0') 
Episode: 12, v_vector: tensor([[0.9997]], device='cuda:0') 
Episode: 13, v_vector: tensor([[0.9999]], device='cuda:0') 
Episode: 14, v_vector: tensor([[1.0002]], device='cuda:0') 
Episode: 15, v_vector: tensor([[1.0005]], device='cuda:0') 
Episode: 16, v_vector: tensor([[1.0008]], device='cuda:0') 
Episode: 17, v_vector: tensor([[1.0012]], device='cuda:0') 
Episode: 18, v_vector: tensor([[1.0015]], device='cuda:0') 
Episode: 19, v_vector: tensor([[1.0019]], device='cuda:0') 
Episode: 20, v_vector: tensor([[1.0022]], device='cuda:0') 
Episode: 21, v_vector: tensor([[1.0024]], device='cuda:0') 
Episode: 22, v_vector: tensor([[1.0027]], device='cuda:0') 
Episode: 23, v_vector: tensor([[1.0030]], device='cuda:0') 
Episode: 24, v_vector: tensor([[1.0032]], device='cuda:0') 
Episode: 25, v_vector: tensor([[1.0035]], device='cuda:0') 
Episode: 26, v_vector: tensor([[1.0038]], device='cuda:0') 
Episode: 27, v_vector: tensor([[1.0040]], device='cuda:0') 
Episode: 28, v_vector: tensor([[1.0043]], device='cuda:0') 
Episode: 29, v_vector: tensor([[1.0047]], device='cuda:0') 
Episode: 30, v_vector: tensor([[1.0047]], device='cuda:0') 
Episode: 31, v_vector: tensor([[1.0048]], device='cuda:0') 
Episode: 32, v_vector: tensor([[1.0048]], device='cuda:0') 
Episode: 33, v_vector: tensor([[1.0047]], device='cuda:0') 
Episode: 34, v_vector: tensor([[1.0047]], device='cuda:0') 
Episode: 35, v_vector: tensor([[1.0046]], device='cuda:0') 
Episode: 36, v_vector: tensor([[1.0046]], device='cuda:0') 
Episode: 37, v_vector: tensor([[1.0045]], device='cuda:0') 
Episode: 38, v_vector: tensor([[1.0045]], device='cuda:0') 
Episode: 39, v_vector: tensor([[1.0045]], device='cuda:0') 
Episode: 40, v_vector: tensor([[1.0045]], device='cuda:0') 
Episode: 41, v_vector: tensor([[1.0046]], device='cuda:0') 
Episode: 42, v_vector: tensor([[1.0047]], device='cuda:0') 
Episode: 43, v_vector: tensor([[1.0049]], device='cuda:0') 
Episode: 44, v_vector: tensor([[1.0050]], device='cuda:0') 
Episode: 45, v_vector: tensor([[1.0051]], device='cuda:0') 
Episode: 46, v_vector: tensor([[1.0052]], device='cuda:0') 
Episode: 47, v_vector: tensor([[1.0054]], device='cuda:0') 
Episode: 48, v_vector: tensor([[1.0056]], device='cuda:0') 
Episode: 49, v_vector: tensor([[1.0058]], device='cuda:0') 
Episode: 50, v_vector: tensor([[1.0060]], device='cuda:0') 
Episode: 51, v_vector: tensor([[1.0063]], device='cuda:0') 
Episode: 52, v_vector: tensor([[1.0065]], device='cuda:0') 
Episode: 53, v_vector: tensor([[1.0067]], device='cuda:0') 
Episode: 54, v_vector: tensor([[1.0069]], device='cuda:0') 
Episode: 55, v_vector: tensor([[1.0070]], device='cuda:0') 
Episode: 56, v_vector: tensor([[1.0070]], device='cuda:0') 
Episode: 57, v_vector: tensor([[1.0070]], device='cuda:0') 
Episode: 58, v_vector: tensor([[1.0070]], device='cuda:0') 
Episode: 59, v_vector: tensor([[1.0070]], device='cuda:0') 
Episode: 60, v_vector: tensor([[1.0070]], device='cuda:0') 
Episode: 61, v_vector: tensor([[1.0069]], device='cuda:0') 
Episode: 62, v_vector: tensor([[1.0069]], device='cuda:0') 
Episode: 63, v_vector: tensor([[1.0070]], device='cuda:0') 
Episode: 64, v_vector: tensor([[1.0070]], device='cuda:0') 
Episode: 65, v_vector: tensor([[1.0070]], device='cuda:0') 
Episode: 66, v_vector: tensor([[1.0070]], device='cuda:0') 
Episode: 67, v_vector: tensor([[1.0070]], device='cuda:0') 
Episode: 68, v_vector: tensor([[1.0070]], device='cuda:0') 
Episode: 69, v_vector: tensor([[1.0071]], device='cuda:0') 
Episode: 70, v_vector: tensor([[1.0071]], device='cuda:0') 
Episode: 71, v_vector: tensor([[1.0072]], device='cuda:0') 
Episode: 72, v_vector: tensor([[1.0072]], device='cuda:0') 
Episode: 73, v_vector: tensor([[1.0072]], device='cuda:0') 
Episode: 74, v_vector: tensor([[1.0073]], device='cuda:0') 
Episode: 75, v_vector: tensor([[1.0073]], device='cuda:0') 
Episode: 76, v_vector: tensor([[1.0073]], device='cuda:0') 
Episode: 77, v_vector: tensor([[1.0073]], device='cuda:0') 
Episode: 78, v_vector: tensor([[1.0073]], device='cuda:0') 
Episode: 79, v_vector: tensor([[1.0074]], device='cuda:0') 
Episode: 80, v_vector: tensor([[1.0074]], device='cuda:0') 
Episode: 81, v_vector: tensor([[1.0074]], device='cuda:0') 
Episode: 82, v_vector: tensor([[1.0074]], device='cuda:0') 
Episode: 83, v_vector: tensor([[1.0074]], device='cuda:0') 
Episode: 84, v_vector: tensor([[1.0075]], device='cuda:0') 
Episode: 85, v_vector: tensor([[1.0076]], device='cuda:0') 
Episode: 86, v_vector: tensor([[1.0076]], device='cuda:0') 
Episode: 87, v_vector: tensor([[1.0078]], device='cuda:0') 
Episode: 88, v_vector: tensor([[1.0080]], device='cuda:0') 
Episode: 89, v_vector: tensor([[1.0081]], device='cuda:0') 
Episode: 90, v_vector: tensor([[1.0083]], device='cuda:0') 
Episode: 91, v_vector: tensor([[1.0085]], device='cuda:0') 
Episode: 92, v_vector: tensor([[1.0086]], device='cuda:0') 
Episode: 93, v_vector: tensor([[1.0088]], device='cuda:0') 
Episode: 94, v_vector: tensor([[1.0089]], device='cuda:0') 
Episode: 95, v_vector: tensor([[1.0090]], device='cuda:0') 
Episode: 96, v_vector: tensor([[1.0092]], device='cuda:0') 
Episode: 97, v_vector: tensor([[1.0093]], device='cuda:0') 
Episode: 98, v_vector: tensor([[1.0094]], device='cuda:0') 
Episode: 99, v_vector: tensor([[1.0095]], device='cuda:0') 
Episode: 100, v_vector: tensor([[1.0096]], device='cuda:0') 
Episode: 101, v_vector: tensor([[1.0098]], device='cuda:0') 
Episode: 102, v_vector: tensor([[1.0099]], device='cuda:0') 
Episode: 103, v_vector: tensor([[1.0101]], device='cuda:0') 
Episode: 104, v_vector: tensor([[1.0102]], device='cuda:0') 
Episode: 105, v_vector: tensor([[1.0103]], device='cuda:0') 
Episode: 106, v_vector: tensor([[1.0104]], device='cuda:0') 
Episode: 107, v_vector: tensor([[1.0106]], device='cuda:0') 
Episode: 108, v_vector: tensor([[1.0108]], device='cuda:0') 
Episode: 109, v_vector: tensor([[1.0110]], device='cuda:0') 
Episode: 110, v_vector: tensor([[1.0112]], device='cuda:0') 
Episode: 111, v_vector: tensor([[1.0114]], device='cuda:0') 
Episode: 112, v_vector: tensor([[1.0116]], device='cuda:0') 
Episode: 113, v_vector: tensor([[1.0120]], device='cuda:0') 
Episode: 114, v_vector: tensor([[1.0122]], device='cuda:0') 
Episode: 115, v_vector: tensor([[1.0125]], device='cuda:0') 
Episode: 116, v_vector: tensor([[1.0127]], device='cuda:0') 
Episode: 117, v_vector: tensor([[1.0129]], device='cuda:0') 
Episode: 118, v_vector: tensor([[1.0130]], device='cuda:0') 
Episode: 119, v_vector: tensor([[1.0130]], device='cuda:0') 
Episode: 120, v_vector: tensor([[1.0130]], device='cuda:0') 
Episode: 121, v_vector: tensor([[1.0131]], device='cuda:0') 
Episode: 122, v_vector: tensor([[1.0132]], device='cuda:0') 
Episode: 123, v_vector: tensor([[1.0132]], device='cuda:0') 
Episode: 124, v_vector: tensor([[1.0132]], device='cuda:0') 
Episode: 125, v_vector: tensor([[1.0133]], device='cuda:0') 
Episode: 126, v_vector: tensor([[1.0135]], device='cuda:0') 
Episode: 127, v_vector: tensor([[1.0137]], device='cuda:0') 
Episode: 128, v_vector: tensor([[1.0140]], device='cuda:0') 
Episode: 129, v_vector: tensor([[1.0142]], device='cuda:0') 
Episode: 130, v_vector: tensor([[1.0144]], device='cuda:0') 
Episode: 131, v_vector: tensor([[1.0146]], device='cuda:0') 
Episode: 132, v_vector: tensor([[1.0147]], device='cuda:0') 
Episode: 133, v_vector: tensor([[1.0149]], device='cuda:0') 
Episode: 134, v_vector: tensor([[1.0150]], device='cuda:0') 
Episode: 135, v_vector: tensor([[1.0151]], device='cuda:0') 
Episode: 136, v_vector: tensor([[1.0153]], device='cuda:0') 
Episode: 137, v_vector: tensor([[1.0155]], device='cuda:0') 
Episode: 138, v_vector: tensor([[1.0156]], device='cuda:0') 
Episode: 139, v_vector: tensor([[1.0158]], device='cuda:0') 
Episode: 140, v_vector: tensor([[1.0160]], device='cuda:0') 
Episode: 141, v_vector: tensor([[1.0163]], device='cuda:0') 
Episode: 142, v_vector: tensor([[1.0165]], device='cuda:0') 
Episode: 143, v_vector: tensor([[1.0168]], device='cuda:0') 
Episode: 144, v_vector: tensor([[1.0170]], device='cuda:0') 
Episode: 145, v_vector: tensor([[1.0172]], device='cuda:0') 
Episode: 146, v_vector: tensor([[1.0174]], device='cuda:0') 
Episode: 147, v_vector: tensor([[1.0175]], device='cuda:0') 
Episode: 148, v_vector: tensor([[1.0175]], device='cuda:0') 
Episode: 149, v_vector: tensor([[1.0176]], device='cuda:0') 
Episode: 150, v_vector: tensor([[1.0175]], device='cuda:0') 
Episode: 151, v_vector: tensor([[1.0174]], device='cuda:0') 
Episode: 152, v_vector: tensor([[1.0173]], device='cuda:0') 
Episode: 153, v_vector: tensor([[1.0172]], device='cuda:0') 
Episode: 154, v_vector: tensor([[1.0171]], device='cuda:0') 
Episode: 155, v_vector: tensor([[1.0169]], device='cuda:0') 
Episode: 156, v_vector: tensor([[1.0168]], device='cuda:0') 
Episode: 157, v_vector: tensor([[1.0167]], device='cuda:0') 
Episode: 158, v_vector: tensor([[1.0167]], device='cuda:0') 
Episode: 159, v_vector: tensor([[1.0167]], device='cuda:0') 
Episode: 160, v_vector: tensor([[1.0167]], device='cuda:0') 
Episode: 161, v_vector: tensor([[1.0167]], device='cuda:0') 
Episode: 162, v_vector: tensor([[1.0166]], device='cuda:0') 
Episode: 163, v_vector: tensor([[1.0165]], device='cuda:0') 
Episode: 164, v_vector: tensor([[1.0165]], device='cuda:0') 
Episode: 165, v_vector: tensor([[1.0165]], device='cuda:0') 
Episode: 166, v_vector: tensor([[1.0164]], device='cuda:0') 
Episode: 167, v_vector: tensor([[1.0164]], device='cuda:0') 
Episode: 168, v_vector: tensor([[1.0164]], device='cuda:0') 
Episode: 169, v_vector: tensor([[1.0163]], device='cuda:0') 
Episode: 170, v_vector: tensor([[1.0163]], device='cuda:0') 
Episode: 171, v_vector: tensor([[1.0164]], device='cuda:0') 
Episode: 172, v_vector: tensor([[1.0164]], device='cuda:0') 
Episode: 173, v_vector: tensor([[1.0165]], device='cuda:0') 
Episode: 174, v_vector: tensor([[1.0160]], device='cuda:0') 
Episode: 175, v_vector: tensor([[1.0156]], device='cuda:0') 
Episode: 176, v_vector: tensor([[1.0153]], device='cuda:0') 
Episode: 177, v_vector: tensor([[1.0150]], device='cuda:0') 
Episode: 178, v_vector: tensor([[1.0147]], device='cuda:0') 
Episode: 179, v_vector: tensor([[1.0144]], device='cuda:0') 
Episode: 180, v_vector: tensor([[1.0142]], device='cuda:0') 
Episode: 181, v_vector: tensor([[1.0141]], device='cuda:0') 
Episode: 182, v_vector: tensor([[1.0139]], device='cuda:0') 
Episode: 183, v_vector: tensor([[1.0138]], device='cuda:0') 
Episode: 184, v_vector: tensor([[1.0136]], device='cuda:0') 
Episode: 185, v_vector: tensor([[1.0135]], device='cuda:0') 
Episode: 186, v_vector: tensor([[1.0134]], device='cuda:0') 
Episode: 187, v_vector: tensor([[1.0133]], device='cuda:0') 
Episode: 188, v_vector: tensor([[1.0132]], device='cuda:0') 
Episode: 189, v_vector: tensor([[1.0132]], device='cuda:0') 
Episode: 190, v_vector: tensor([[1.0131]], device='cuda:0') 
Episode: 191, v_vector: tensor([[1.0131]], device='cuda:0') 
Episode: 192, v_vector: tensor([[1.0130]], device='cuda:0') 
Episode: 193, v_vector: tensor([[1.0130]], device='cuda:0') 
Episode: 194, v_vector: tensor([[1.0129]], device='cuda:0') 
Episode: 195, v_vector: tensor([[1.0129]], device='cuda:0') 
Episode: 196, v_vector: tensor([[1.0128]], device='cuda:0') 
Episode: 197, v_vector: tensor([[1.0128]], device='cuda:0') 
Episode: 198, v_vector: tensor([[1.0128]], device='cuda:0') 
Episode: 199, v_vector: tensor([[1.0128]], device='cuda:0') 
Episode: 200, v_vector: tensor([[1.0129]], device='cuda:0') 
