Episode: 1, v_vector: tensor([[0.5000, 0.5000]], device='cuda:0') 
Episode: 2, v_vector: tensor([[0.4996, 0.4996]], device='cuda:0') 
Episode: 3, v_vector: tensor([[0.4992, 0.4993]], device='cuda:0') 
Episode: 4, v_vector: tensor([[0.4988, 0.4991]], device='cuda:0') 
Episode: 5, v_vector: tensor([[0.4986, 0.4988]], device='cuda:0') 
Episode: 6, v_vector: tensor([[0.4985, 0.4985]], device='cuda:0') 
Episode: 7, v_vector: tensor([[0.4986, 0.4982]], device='cuda:0') 
Episode: 8, v_vector: tensor([[0.4987, 0.4980]], device='cuda:0') 
Episode: 9, v_vector: tensor([[0.4990, 0.4978]], device='cuda:0') 
Episode: 10, v_vector: tensor([[0.4992, 0.4978]], device='cuda:0') 
Episode: 11, v_vector: tensor([[0.4994, 0.4977]], device='cuda:0') 
Episode: 12, v_vector: tensor([[0.4997, 0.4976]], device='cuda:0') 
Episode: 13, v_vector: tensor([[0.4999, 0.4976]], device='cuda:0') 
Episode: 14, v_vector: tensor([[0.5002, 0.4975]], device='cuda:0') 
Episode: 15, v_vector: tensor([[0.5005, 0.4976]], device='cuda:0') 
Episode: 16, v_vector: tensor([[0.5008, 0.4977]], device='cuda:0') 
Episode: 17, v_vector: tensor([[0.5012, 0.4977]], device='cuda:0') 
Episode: 18, v_vector: tensor([[0.5015, 0.4978]], device='cuda:0') 
Episode: 19, v_vector: tensor([[0.5019, 0.4979]], device='cuda:0') 
Episode: 20, v_vector: tensor([[0.5023, 0.4981]], device='cuda:0') 
Episode: 21, v_vector: tensor([[0.5026, 0.4984]], device='cuda:0') 
Episode: 22, v_vector: tensor([[0.5030, 0.4985]], device='cuda:0') 
Episode: 23, v_vector: tensor([[0.5033, 0.4986]], device='cuda:0') 
Episode: 24, v_vector: tensor([[0.5036, 0.4987]], device='cuda:0') 
Episode: 25, v_vector: tensor([[0.5039, 0.4987]], device='cuda:0') 
Episode: 26, v_vector: tensor([[0.5038, 0.4986]], device='cuda:0') 
Episode: 27, v_vector: tensor([[0.5039, 0.4985]], device='cuda:0') 
Episode: 28, v_vector: tensor([[0.5039, 0.4982]], device='cuda:0') 
Episode: 29, v_vector: tensor([[0.5040, 0.4981]], device='cuda:0') 
Episode: 30, v_vector: tensor([[0.5042, 0.4983]], device='cuda:0') 
Episode: 31, v_vector: tensor([[0.5045, 0.4985]], device='cuda:0') 
Episode: 32, v_vector: tensor([[0.5047, 0.4987]], device='cuda:0') 
Episode: 33, v_vector: tensor([[0.5050, 0.4990]], device='cuda:0') 
Episode: 34, v_vector: tensor([[0.5053, 0.4991]], device='cuda:0') 
