Train Episode: 1	Loss: 3.668136	Accuracy: 0.120
Train Episode: 2	Loss: 2.943388	Accuracy: 0.300
Train Episode: 3	Loss: 25.549694	Accuracy: 0.160
Train Episode: 4	Loss: 822.735107	Accuracy: 0.220
Train Episode: 5	Loss: 72.759888	Accuracy: 0.100
Train Episode: 6	Loss: 244.562302	Accuracy: 0.200
Train Episode: 7	Loss: 792.862671	Accuracy: 0.180
Train Episode: 8	Loss: 231.513855	Accuracy: 0.200
Train Episode: 9	Loss: 37.195351	Accuracy: 0.200
Train Episode: 10	Loss: 186.322662	Accuracy: 0.320
Train Episode: 11	Loss: 224.281403	Accuracy: 0.140
Train Episode: 12	Loss: 138.241058	Accuracy: 0.160
Train Episode: 13	Loss: 111.468124	Accuracy: 0.240
Train Episode: 14	Loss: 88.962914	Accuracy: 0.220
Train Episode: 15	Loss: 132.384430	Accuracy: 0.140
Train Episode: 16	Loss: 308.018799	Accuracy: 0.600
Train Episode: 17	Loss: 534.008850	Accuracy: 0.380
Train Episode: 18	Loss: 317.023468	Accuracy: 0.160
Train Episode: 19	Loss: 46.906578	Accuracy: 0.180
Train Episode: 20	Loss: 563.374146	Accuracy: 0.200
Train Episode: 21	Loss: 69.958275	Accuracy: 0.260
Train Episode: 22	Loss: 124.958847	Accuracy: 0.240
