Episode: 1, v_learner_vector: tensor([[-0.0030,  0.0268]], device='cuda:0') 
Episode: 2, v_learner_vector: tensor([[-0.0026,  0.0264]], device='cuda:0') 
Episode: 3, v_learner_vector: tensor([[-0.0023,  0.0261]], device='cuda:0') 
Episode: 4, v_learner_vector: tensor([[-0.0020,  0.0259]], device='cuda:0') 
Episode: 5, v_learner_vector: tensor([[-0.0019,  0.0257]], device='cuda:0') 
Episode: 6, v_learner_vector: tensor([[-0.0018,  0.0256]], device='cuda:0') 
Episode: 7, v_learner_vector: tensor([[-0.0017,  0.0254]], device='cuda:0') 
Episode: 8, v_learner_vector: tensor([[-0.0018,  0.0253]], device='cuda:0') 
Episode: 9, v_learner_vector: tensor([[-0.0019,  0.0252]], device='cuda:0') 
Episode: 10, v_learner_vector: tensor([[-0.0020,  0.0251]], device='cuda:0') 
Episode: 11, v_learner_vector: tensor([[-0.0021,  0.0250]], device='cuda:0') 
Episode: 12, v_learner_vector: tensor([[-0.0021,  0.0250]], device='cuda:0') 
Episode: 13, v_learner_vector: tensor([[-0.0022,  0.0249]], device='cuda:0') 
Episode: 14, v_learner_vector: tensor([[-0.0022,  0.0248]], device='cuda:0') 
Episode: 15, v_learner_vector: tensor([[-0.0023,  0.0248]], device='cuda:0') 
Episode: 16, v_learner_vector: tensor([[-0.0023,  0.0247]], device='cuda:0') 
Episode: 17, v_learner_vector: tensor([[-0.0023,  0.0247]], device='cuda:0') 
Episode: 18, v_learner_vector: tensor([[-0.0023,  0.0247]], device='cuda:0') 
Episode: 19, v_learner_vector: tensor([[-0.0023,  0.0246]], device='cuda:0') 
Episode: 20, v_learner_vector: tensor([[-0.0024,  0.0246]], device='cuda:0') 
Episode: 21, v_learner_vector: tensor([[-0.0025,  0.0245]], device='cuda:0') 
Episode: 22, v_learner_vector: tensor([[-0.0026,  0.0245]], device='cuda:0') 
Episode: 23, v_learner_vector: tensor([[-0.0028,  0.0244]], device='cuda:0') 
