Episode: 1, z_learner_vector: tensor([1.0000, 0.0200], device='cuda:0') 
Episode: 2, z_learner_vector: tensor([0.9996, 0.0204], device='cuda:0') 
Episode: 3, z_learner_vector: tensor([0.9993, 0.0207], device='cuda:0') 
Episode: 4, z_learner_vector: tensor([0.9991, 0.0208], device='cuda:0') 
Episode: 5, z_learner_vector: tensor([0.9989, 0.0211], device='cuda:0') 
Episode: 6, z_learner_vector: tensor([0.9988, 0.0213], device='cuda:0') 
Episode: 7, z_learner_vector: tensor([0.9987, 0.0215], device='cuda:0') 
Episode: 8, z_learner_vector: tensor([0.9987, 0.0218], device='cuda:0') 
Episode: 9, z_learner_vector: tensor([0.9987, 0.0221], device='cuda:0') 
Episode: 10, z_learner_vector: tensor([0.9988, 0.0224], device='cuda:0') 
Episode: 11, z_learner_vector: tensor([0.9988, 0.0226], device='cuda:0') 
Episode: 12, z_learner_vector: tensor([0.9988, 0.0228], device='cuda:0') 
Episode: 13, z_learner_vector: tensor([0.9989, 0.0230], device='cuda:0') 
Episode: 14, z_learner_vector: tensor([0.9989, 0.0232], device='cuda:0') 
Episode: 15, z_learner_vector: tensor([0.9989, 0.0234], device='cuda:0') 
Episode: 16, z_learner_vector: tensor([0.9989, 0.0235], device='cuda:0') 
Episode: 17, z_learner_vector: tensor([0.9988, 0.0237], device='cuda:0') 
Episode: 18, z_learner_vector: tensor([0.9988, 0.0238], device='cuda:0') 
Episode: 19, z_learner_vector: tensor([0.9988, 0.0240], device='cuda:0') 
Episode: 20, z_learner_vector: tensor([0.9989, 0.0242], device='cuda:0') 
Episode: 21, z_learner_vector: tensor([0.9990, 0.0244], device='cuda:0') 
Episode: 22, z_learner_vector: tensor([0.9991, 0.0246], device='cuda:0') 
Episode: 23, z_learner_vector: tensor([0.9992, 0.0249], device='cuda:0') 
Episode: 24, z_learner_vector: tensor([0.9993, 0.0251], device='cuda:0') 
Episode: 25, z_learner_vector: tensor([0.9995, 0.0253], device='cuda:0') 
Episode: 26, z_learner_vector: tensor([0.9996, 0.0255], device='cuda:0') 
Episode: 27, z_learner_vector: tensor([0.9997, 0.0257], device='cuda:0') 
Episode: 28, z_learner_vector: tensor([0.9998, 0.0259], device='cuda:0') 
Episode: 29, z_learner_vector: tensor([0.9999, 0.0261], device='cuda:0') 
Episode: 30, z_learner_vector: tensor([1.0000, 0.0263], device='cuda:0') 
Episode: 31, z_learner_vector: tensor([1.0001, 0.0265], device='cuda:0') 
Episode: 32, z_learner_vector: tensor([1.0002, 0.0267], device='cuda:0') 
Episode: 33, z_learner_vector: tensor([1.0002, 0.0268], device='cuda:0') 
