Train Episode: 1	Loss: 3.824374	Accuracy: 0.000
Train Episode: 2	Loss: 2.607118	Accuracy: 0.200
Train Episode: 3	Loss: 1.989710	Accuracy: 0.260
Train Episode: 4	Loss: 1.839083	Accuracy: 0.200
Train Episode: 5	Loss: 1.923821	Accuracy: 0.200
Train Episode: 6	Loss: 1.716905	Accuracy: 0.200
Train Episode: 7	Loss: 1.645031	Accuracy: 0.200
Train Episode: 8	Loss: 1.339433	Accuracy: 0.400
Train Episode: 9	Loss: 1.264795	Accuracy: 0.520
Train Episode: 10	Loss: 0.868185	Accuracy: 0.740
Train Episode: 11	Loss: 1.245034	Accuracy: 0.600
Train Episode: 12	Loss: 1.133370	Accuracy: 0.520
Train Episode: 13	Loss: 0.805865	Accuracy: 0.760
Train Episode: 14	Loss: 1.032574	Accuracy: 0.580
Train Episode: 15	Loss: 0.865689	Accuracy: 0.640
Train Episode: 16	Loss: 1.230397	Accuracy: 0.600
Train Episode: 17	Loss: 0.626015	Accuracy: 0.820
Train Episode: 18	Loss: 1.008349	Accuracy: 0.640
Train Episode: 19	Loss: 1.076061	Accuracy: 0.460
Train Episode: 20	Loss: 1.297272	Accuracy: 0.400
Train Episode: 21	Loss: 0.980113	Accuracy: 0.660
Train Episode: 22	Loss: 0.919236	Accuracy: 0.600
Train Episode: 23	Loss: 0.762200	Accuracy: 0.760
Train Episode: 24	Loss: 0.641882	Accuracy: 0.820
Train Episode: 25	Loss: 0.920579	Accuracy: 0.600
Train Episode: 26	Loss: 0.678101	Accuracy: 0.760
Train Episode: 27	Loss: 1.076432	Accuracy: 0.560
Train Episode: 28	Loss: 0.815587	Accuracy: 0.660
Train Episode: 29	Loss: 0.754084	Accuracy: 0.720
Train Episode: 30	Loss: 0.454553	Accuracy: 0.860
Train Episode: 31	Loss: 0.671020	Accuracy: 0.800
Train Episode: 32	Loss: 0.661675	Accuracy: 0.720
Train Episode: 33	Loss: 0.701487	Accuracy: 0.760
Train Episode: 34	Loss: 0.497435	Accuracy: 0.860
Train Episode: 35	Loss: 2.228186	Accuracy: 0.480
Train Episode: 36	Loss: 0.722721	Accuracy: 0.720
Train Episode: 37	Loss: 0.769559	Accuracy: 0.640
Train Episode: 38	Loss: 1.394730	Accuracy: 0.500
Train Episode: 39	Loss: 0.805976	Accuracy: 0.640
Train Episode: 40	Loss: 0.631871	Accuracy: 0.800
Train Episode: 41	Loss: 1.028274	Accuracy: 0.580
Train Episode: 42	Loss: 1.027328	Accuracy: 0.640
Train Episode: 43	Loss: 1.031304	Accuracy: 0.580
Train Episode: 44	Loss: 1.058846	Accuracy: 0.520
Train Episode: 45	Loss: 0.732344	Accuracy: 0.660
Train Episode: 46	Loss: 0.371569	Accuracy: 0.860
Train Episode: 47	Loss: 0.656656	Accuracy: 0.840
Train Episode: 48	Loss: 0.311205	Accuracy: 0.920
Train Episode: 49	Loss: 0.479554	Accuracy: 0.860
Train Episode: 50	Loss: 1.068952	Accuracy: 0.620
Train Episode: 51	Loss: 0.582618	Accuracy: 0.800
Train Episode: 52	Loss: 0.693652	Accuracy: 0.820
Train Episode: 53	Loss: 1.578066	Accuracy: 0.360
Train Episode: 54	Loss: 0.738931	Accuracy: 0.740
Train Episode: 55	Loss: 0.977570	Accuracy: 0.560
Train Episode: 56	Loss: 1.144582	Accuracy: 0.640
Train Episode: 57	Loss: 0.825184	Accuracy: 0.760
Train Episode: 58	Loss: 0.952752	Accuracy: 0.600
Train Episode: 59	Loss: 1.362594	Accuracy: 0.420
Train Episode: 60	Loss: 0.776987	Accuracy: 0.720
Train Episode: 61	Loss: 1.093109	Accuracy: 0.520
Train Episode: 62	Loss: 0.477047	Accuracy: 0.840
Train Episode: 63	Loss: 1.042306	Accuracy: 0.580
Train Episode: 64	Loss: 0.973488	Accuracy: 0.600
Train Episode: 65	Loss: 0.901626	Accuracy: 0.740
Train Episode: 66	Loss: 0.471184	Accuracy: 0.820
Train Episode: 67	Loss: 0.630103	Accuracy: 0.800
Train Episode: 68	Loss: 0.875171	Accuracy: 0.740
Train Episode: 69	Loss: 0.892513	Accuracy: 0.700
Train Episode: 70	Loss: 0.338979	Accuracy: 0.920
Train Episode: 71	Loss: 0.718327	Accuracy: 0.760
Train Episode: 72	Loss: 1.050466	Accuracy: 0.560
Train Episode: 73	Loss: 0.905727	Accuracy: 0.620
Train Episode: 74	Loss: 0.837730	Accuracy: 0.680
Train Episode: 75	Loss: 1.524994	Accuracy: 0.300
Train Episode: 76	Loss: 0.965231	Accuracy: 0.620
Train Episode: 77	Loss: 1.664288	Accuracy: 0.580
Train Episode: 78	Loss: 0.626723	Accuracy: 0.760
Train Episode: 79	Loss: 0.940555	Accuracy: 0.660
Train Episode: 80	Loss: 0.790790	Accuracy: 0.680
Train Episode: 81	Loss: 0.496248	Accuracy: 0.820
Train Episode: 82	Loss: 1.291044	Accuracy: 0.480
Train Episode: 83	Loss: 0.946898	Accuracy: 0.580
Train Episode: 84	Loss: 0.809446	Accuracy: 0.740
Train Episode: 85	Loss: 0.715930	Accuracy: 0.680
Train Episode: 86	Loss: 1.025273	Accuracy: 0.720
Train Episode: 87	Loss: 0.766081	Accuracy: 0.680
Train Episode: 88	Loss: 0.979907	Accuracy: 0.680
Train Episode: 89	Loss: 0.976865	Accuracy: 0.540
Train Episode: 90	Loss: 0.594315	Accuracy: 0.780
Train Episode: 91	Loss: 1.648003	Accuracy: 0.560
Train Episode: 92	Loss: 0.693321	Accuracy: 0.840
Train Episode: 93	Loss: 0.549625	Accuracy: 0.860
Train Episode: 94	Loss: 1.330014	Accuracy: 0.520
Train Episode: 95	Loss: 0.900517	Accuracy: 0.680
