Train Episode: 1	Loss: 3.838803	Accuracy: 0.000
Train Episode: 2	Loss: 2.564348	Accuracy: 0.200
Train Episode: 3	Loss: 1.854275	Accuracy: 0.320
Train Episode: 4	Loss: 1.696499	Accuracy: 0.220
Train Episode: 5	Loss: 1.712947	Accuracy: 0.200
Train Episode: 6	Loss: 1.408723	Accuracy: 0.500
Train Episode: 7	Loss: 1.348163	Accuracy: 0.240
Train Episode: 8	Loss: 1.128573	Accuracy: 0.520
Train Episode: 9	Loss: 1.457596	Accuracy: 0.440
Train Episode: 10	Loss: 1.244318	Accuracy: 0.300
Train Episode: 11	Loss: 1.167189	Accuracy: 0.540
Train Episode: 12	Loss: 1.165155	Accuracy: 0.520
Train Episode: 13	Loss: 0.911627	Accuracy: 0.620
Train Episode: 14	Loss: 1.363173	Accuracy: 0.360
Train Episode: 15	Loss: 1.032970	Accuracy: 0.560
Train Episode: 16	Loss: 0.853882	Accuracy: 0.600
Train Episode: 17	Loss: 0.824784	Accuracy: 0.740
Train Episode: 18	Loss: 1.379559	Accuracy: 0.620
Train Episode: 19	Loss: 1.212314	Accuracy: 0.420
Train Episode: 20	Loss: 1.319672	Accuracy: 0.360
Train Episode: 21	Loss: 0.973592	Accuracy: 0.720
Train Episode: 22	Loss: 0.950899	Accuracy: 0.600
Train Episode: 23	Loss: 0.837167	Accuracy: 0.760
Train Episode: 24	Loss: 0.836930	Accuracy: 0.720
Train Episode: 25	Loss: 1.182071	Accuracy: 0.440
Train Episode: 26	Loss: 0.696055	Accuracy: 0.800
Train Episode: 27	Loss: 0.976009	Accuracy: 0.620
Train Episode: 28	Loss: 0.950985	Accuracy: 0.600
Train Episode: 29	Loss: 0.902868	Accuracy: 0.700
Train Episode: 30	Loss: 0.603649	Accuracy: 0.780
Train Episode: 31	Loss: 0.635090	Accuracy: 0.760
Train Episode: 32	Loss: 0.575647	Accuracy: 0.760
Train Episode: 33	Loss: 0.675075	Accuracy: 0.840
Train Episode: 34	Loss: 0.582485	Accuracy: 0.820
Train Episode: 35	Loss: 0.653650	Accuracy: 0.720
Train Episode: 36	Loss: 0.834432	Accuracy: 0.620
Train Episode: 37	Loss: 0.838284	Accuracy: 0.660
Train Episode: 38	Loss: 1.220060	Accuracy: 0.480
Train Episode: 39	Loss: 0.750203	Accuracy: 0.720
Train Episode: 40	Loss: 0.522776	Accuracy: 0.840
Train Episode: 41	Loss: 0.906219	Accuracy: 0.700
Train Episode: 42	Loss: 0.846737	Accuracy: 0.720
Train Episode: 43	Loss: 0.881437	Accuracy: 0.620
Train Episode: 44	Loss: 0.628942	Accuracy: 0.740
Train Episode: 45	Loss: 0.666088	Accuracy: 0.740
Train Episode: 46	Loss: 0.403958	Accuracy: 0.900
Train Episode: 47	Loss: 0.648029	Accuracy: 0.860
Train Episode: 48	Loss: 0.221201	Accuracy: 0.960
Train Episode: 49	Loss: 0.422574	Accuracy: 0.920
Train Episode: 50	Loss: 0.864169	Accuracy: 0.620
Train Episode: 51	Loss: 0.599169	Accuracy: 0.780
Train Episode: 52	Loss: 0.716109	Accuracy: 0.740
Train Episode: 53	Loss: 1.085327	Accuracy: 0.400
Train Episode: 54	Loss: 0.770684	Accuracy: 0.720
Train Episode: 55	Loss: 0.933526	Accuracy: 0.680
Train Episode: 56	Loss: 1.019601	Accuracy: 0.640
Train Episode: 57	Loss: 0.968676	Accuracy: 0.760
Train Episode: 58	Loss: 0.925495	Accuracy: 0.580
Train Episode: 59	Loss: 1.330075	Accuracy: 0.460
Train Episode: 60	Loss: 0.688735	Accuracy: 0.680
Train Episode: 61	Loss: 0.909250	Accuracy: 0.680
Train Episode: 62	Loss: 0.306289	Accuracy: 0.940
Train Episode: 63	Loss: 0.892676	Accuracy: 0.640
Train Episode: 64	Loss: 0.894006	Accuracy: 0.660
Train Episode: 65	Loss: 0.761520	Accuracy: 0.760
Train Episode: 66	Loss: 0.510585	Accuracy: 0.800
Train Episode: 67	Loss: 0.619946	Accuracy: 0.800
Train Episode: 68	Loss: 0.946435	Accuracy: 0.640
Train Episode: 69	Loss: 0.784046	Accuracy: 0.720
Train Episode: 70	Loss: 0.273015	Accuracy: 0.920
Train Episode: 71	Loss: 0.657346	Accuracy: 0.780
Train Episode: 72	Loss: 0.948623	Accuracy: 0.620
Train Episode: 73	Loss: 0.792928	Accuracy: 0.680
Train Episode: 74	Loss: 0.667290	Accuracy: 0.760
Train Episode: 75	Loss: 1.417060	Accuracy: 0.420
Train Episode: 76	Loss: 0.839752	Accuracy: 0.740
Train Episode: 77	Loss: 1.268657	Accuracy: 0.640
Train Episode: 78	Loss: 0.569086	Accuracy: 0.820
Train Episode: 79	Loss: 0.486902	Accuracy: 0.840
Train Episode: 80	Loss: 0.666006	Accuracy: 0.820
Train Episode: 81	Loss: 0.444726	Accuracy: 0.860
Train Episode: 82	Loss: 1.370152	Accuracy: 0.520
Train Episode: 83	Loss: 0.667924	Accuracy: 0.720
Train Episode: 84	Loss: 0.751122	Accuracy: 0.760
Train Episode: 85	Loss: 0.751277	Accuracy: 0.760
Train Episode: 86	Loss: 0.931511	Accuracy: 0.740
Train Episode: 87	Loss: 0.961425	Accuracy: 0.580
Train Episode: 88	Loss: 1.314599	Accuracy: 0.460
Train Episode: 89	Loss: 1.597761	Accuracy: 0.400
Train Episode: 90	Loss: 0.841709	Accuracy: 0.580
Train Episode: 91	Loss: 1.567488	Accuracy: 0.500
Train Episode: 92	Loss: 0.938314	Accuracy: 0.540
Train Episode: 93	Loss: 1.106825	Accuracy: 0.560
Train Episode: 94	Loss: 1.323704	Accuracy: 0.540
Train Episode: 95	Loss: 1.338999	Accuracy: 0.480
Train Episode: 96	Loss: 1.038760	Accuracy: 0.540
Train Episode: 97	Loss: 0.787259	Accuracy: 0.700
Train Episode: 98	Loss: 1.276706	Accuracy: 0.460
Train Episode: 99	Loss: 0.878204	Accuracy: 0.640
Train Episode: 100	Loss: 0.958108	Accuracy: 0.680
Train Episode: 101	Loss: 0.656871	Accuracy: 0.740
Train Episode: 102	Loss: 0.862549	Accuracy: 0.680
Train Episode: 103	Loss: 0.501904	Accuracy: 0.800
Train Episode: 104	Loss: 0.799576	Accuracy: 0.660
Train Episode: 105	Loss: 1.156513	Accuracy: 0.560
Train Episode: 106	Loss: 1.531935	Accuracy: 0.540
Train Episode: 107	Loss: 0.626211	Accuracy: 0.740
Train Episode: 108	Loss: 0.576778	Accuracy: 0.840
Train Episode: 109	Loss: 0.803819	Accuracy: 0.680
Train Episode: 110	Loss: 1.029661	Accuracy: 0.640
Train Episode: 111	Loss: 1.117543	Accuracy: 0.540
Train Episode: 112	Loss: 0.692215	Accuracy: 0.740
Train Episode: 113	Loss: 1.009111	Accuracy: 0.640
Train Episode: 114	Loss: 1.151490	Accuracy: 0.560
Train Episode: 115	Loss: 0.577497	Accuracy: 0.800
Train Episode: 116	Loss: 0.939244	Accuracy: 0.540
Train Episode: 117	Loss: 0.372113	Accuracy: 0.820
Train Episode: 118	Loss: 0.442207	Accuracy: 0.820
Train Episode: 119	Loss: 1.111309	Accuracy: 0.660
Train Episode: 120	Loss: 0.753788	Accuracy: 0.680
Train Episode: 121	Loss: 0.592817	Accuracy: 0.740
Train Episode: 122	Loss: 0.488797	Accuracy: 0.820
Train Episode: 123	Loss: 0.772436	Accuracy: 0.700
Train Episode: 124	Loss: 0.602089	Accuracy: 0.720
Train Episode: 125	Loss: 0.665607	Accuracy: 0.780
Train Episode: 126	Loss: 0.739698	Accuracy: 0.700
Train Episode: 127	Loss: 1.055424	Accuracy: 0.720
Train Episode: 128	Loss: 0.997537	Accuracy: 0.740
Train Episode: 129	Loss: 0.774117	Accuracy: 0.760
Train Episode: 130	Loss: 0.447699	Accuracy: 0.820
Train Episode: 131	Loss: 0.701985	Accuracy: 0.820
Train Episode: 132	Loss: 0.823477	Accuracy: 0.720
Train Episode: 133	Loss: 0.311054	Accuracy: 0.880
Train Episode: 134	Loss: 0.984685	Accuracy: 0.720
Train Episode: 135	Loss: 0.563863	Accuracy: 0.720
Train Episode: 136	Loss: 0.736268	Accuracy: 0.720
Train Episode: 137	Loss: 0.553011	Accuracy: 0.800
Train Episode: 138	Loss: 0.882751	Accuracy: 0.620
Train Episode: 139	Loss: 0.664821	Accuracy: 0.740
Train Episode: 140	Loss: 0.535926	Accuracy: 0.800
Train Episode: 141	Loss: 0.910361	Accuracy: 0.680
Train Episode: 142	Loss: 0.971883	Accuracy: 0.780
Train Episode: 143	Loss: 0.528358	Accuracy: 0.820
