Train Episode: 1	Loss: 3.831805	Accuracy: 0.000
Train Episode: 2	Loss: 3.026525	Accuracy: 0.180
Train Episode: 3	Loss: 2.481546	Accuracy: 0.280
Train Episode: 4	Loss: 1.945755	Accuracy: 0.220
Train Episode: 5	Loss: 2.152298	Accuracy: 0.160
Train Episode: 6	Loss: 1.690452	Accuracy: 0.400
Train Episode: 7	Loss: 1.743570	Accuracy: 0.320
Train Episode: 8	Loss: 1.711587	Accuracy: 0.340
Train Episode: 9	Loss: 1.744664	Accuracy: 0.400
Train Episode: 10	Loss: 1.975926	Accuracy: 0.380
Train Episode: 11	Loss: 3.340884	Accuracy: 0.260
Train Episode: 12	Loss: 3.594825	Accuracy: 0.300
Train Episode: 13	Loss: 2.476440	Accuracy: 0.260
Train Episode: 14	Loss: 2.989026	Accuracy: 0.320
Train Episode: 15	Loss: 1.219279	Accuracy: 0.540
Train Episode: 16	Loss: 3.249681	Accuracy: 0.600
Train Episode: 17	Loss: 1.065936	Accuracy: 0.540
Train Episode: 18	Loss: 1.618764	Accuracy: 0.260
Train Episode: 19	Loss: 1.827743	Accuracy: 0.340
Train Episode: 20	Loss: 1.551558	Accuracy: 0.280
Train Episode: 21	Loss: 1.854899	Accuracy: 0.300
Train Episode: 22	Loss: 1.561013	Accuracy: 0.320
Train Episode: 23	Loss: 1.454497	Accuracy: 0.320
Train Episode: 24	Loss: 1.574201	Accuracy: 0.380
Train Episode: 25	Loss: 1.638871	Accuracy: 0.360
Train Episode: 26	Loss: 1.954653	Accuracy: 0.200
Train Episode: 27	Loss: 1.741610	Accuracy: 0.200
Train Episode: 28	Loss: 1.779131	Accuracy: 0.200
Train Episode: 29	Loss: 1.674147	Accuracy: 0.240
Train Episode: 30	Loss: 1.528387	Accuracy: 0.440
Train Episode: 31	Loss: 1.153893	Accuracy: 0.560
Train Episode: 32	Loss: 1.108637	Accuracy: 0.600
Train Episode: 33	Loss: 1.764213	Accuracy: 0.140
Train Episode: 34	Loss: 1.738720	Accuracy: 0.200
Train Episode: 35	Loss: 1.516647	Accuracy: 0.400
Train Episode: 36	Loss: 1.783643	Accuracy: 0.220
Train Episode: 37	Loss: 1.853293	Accuracy: 0.200
Train Episode: 38	Loss: 1.794048	Accuracy: 0.220
Train Episode: 39	Loss: 1.853132	Accuracy: 0.200
Train Episode: 40	Loss: 1.893474	Accuracy: 0.260
Train Episode: 41	Loss: 1.812030	Accuracy: 0.360
Train Episode: 42	Loss: 1.963888	Accuracy: 0.280
Train Episode: 43	Loss: 1.749480	Accuracy: 0.200
Train Episode: 44	Loss: 1.816879	Accuracy: 0.200
Train Episode: 45	Loss: 1.774108	Accuracy: 0.280
Train Episode: 46	Loss: 1.412669	Accuracy: 0.400
Train Episode: 47	Loss: 1.678944	Accuracy: 0.240
Train Episode: 48	Loss: 1.461837	Accuracy: 0.400
Train Episode: 49	Loss: 1.411028	Accuracy: 0.400
Train Episode: 50	Loss: 1.763136	Accuracy: 0.200
Train Episode: 51	Loss: 1.698224	Accuracy: 0.200
Train Episode: 52	Loss: 1.695269	Accuracy: 0.260
Train Episode: 53	Loss: 1.922827	Accuracy: 0.200
Train Episode: 54	Loss: 1.681203	Accuracy: 0.100
Train Episode: 55	Loss: 1.758073	Accuracy: 0.200
Train Episode: 56	Loss: 1.758408	Accuracy: 0.200
Train Episode: 57	Loss: 1.681053	Accuracy: 0.200
Train Episode: 58	Loss: 1.802500	Accuracy: 0.200
Train Episode: 59	Loss: 1.805871	Accuracy: 0.220
Train Episode: 60	Loss: 1.746086	Accuracy: 0.260
Train Episode: 61	Loss: 1.833235	Accuracy: 0.120
Train Episode: 62	Loss: 1.531489	Accuracy: 0.400
Train Episode: 63	Loss: 1.849231	Accuracy: 0.200
Train Episode: 64	Loss: 2.007104	Accuracy: 0.200
Train Episode: 65	Loss: 2.005458	Accuracy: 0.200
Train Episode: 66	Loss: 1.804826	Accuracy: 0.200
Train Episode: 67	Loss: 1.802889	Accuracy: 0.280
Train Episode: 68	Loss: 1.741446	Accuracy: 0.380
Train Episode: 69	Loss: 1.925182	Accuracy: 0.200
Train Episode: 70	Loss: 1.691114	Accuracy: 0.220
Train Episode: 71	Loss: 1.809340	Accuracy: 0.200
Train Episode: 72	Loss: 1.729669	Accuracy: 0.200
Train Episode: 73	Loss: 1.862251	Accuracy: 0.160
Train Episode: 74	Loss: 1.852487	Accuracy: 0.340
Train Episode: 75	Loss: 1.917818	Accuracy: 0.240
Train Episode: 76	Loss: 1.933363	Accuracy: 0.200
