Train Episode: 1	Loss: 3.824374	Accuracy: 0.000
Train Episode: 2	Loss: 2.994641	Accuracy: 0.200
Train Episode: 3	Loss: 2.647852	Accuracy: 0.160
Train Episode: 4	Loss: 1.952017	Accuracy: 0.180
Train Episode: 5	Loss: 1.925263	Accuracy: 0.300
Train Episode: 6	Loss: 1.887389	Accuracy: 0.180
Train Episode: 7	Loss: 1.826661	Accuracy: 0.320
Train Episode: 8	Loss: 1.943308	Accuracy: 0.160
Train Episode: 9	Loss: 2.254508	Accuracy: 0.240
Train Episode: 10	Loss: 1.770688	Accuracy: 0.100
Train Episode: 11	Loss: 1.767322	Accuracy: 0.360
Train Episode: 12	Loss: 2.237068	Accuracy: 0.060
Train Episode: 13	Loss: 2.164320	Accuracy: 0.160
Train Episode: 14	Loss: 1.641289	Accuracy: 0.260
Train Episode: 15	Loss: 2.443258	Accuracy: 0.180
Train Episode: 16	Loss: 1.121184	Accuracy: 0.620
Train Episode: 17	Loss: 1.240810	Accuracy: 0.560
Train Episode: 18	Loss: 1.922063	Accuracy: 0.300
Train Episode: 19	Loss: 1.486393	Accuracy: 0.520
Train Episode: 20	Loss: 2.012025	Accuracy: 0.160
Train Episode: 21	Loss: 1.943691	Accuracy: 0.240
Train Episode: 22	Loss: 1.507837	Accuracy: 0.280
Train Episode: 23	Loss: 1.614063	Accuracy: 0.320
Train Episode: 24	Loss: 2.065701	Accuracy: 0.300
Train Episode: 25	Loss: 1.437526	Accuracy: 0.420
Train Episode: 26	Loss: 1.368496	Accuracy: 0.480
Train Episode: 27	Loss: 1.839165	Accuracy: 0.240
Train Episode: 28	Loss: 1.413028	Accuracy: 0.500
Train Episode: 29	Loss: 1.507269	Accuracy: 0.280
Train Episode: 30	Loss: 1.769136	Accuracy: 0.240
Train Episode: 31	Loss: 0.877903	Accuracy: 0.700
Train Episode: 32	Loss: 0.885580	Accuracy: 0.640
Train Episode: 33	Loss: 1.588547	Accuracy: 0.320
Train Episode: 34	Loss: 1.050348	Accuracy: 0.440
Train Episode: 35	Loss: 0.978722	Accuracy: 0.660
Train Episode: 36	Loss: 1.225062	Accuracy: 0.460
Train Episode: 37	Loss: 1.079980	Accuracy: 0.640
Train Episode: 38	Loss: 1.800382	Accuracy: 0.420
Train Episode: 39	Loss: 0.977781	Accuracy: 0.580
Train Episode: 40	Loss: 0.735652	Accuracy: 0.660
Train Episode: 41	Loss: 0.880595	Accuracy: 0.540
Train Episode: 42	Loss: 1.478467	Accuracy: 0.560
Train Episode: 43	Loss: 1.152841	Accuracy: 0.400
Train Episode: 44	Loss: 0.987621	Accuracy: 0.620
Train Episode: 45	Loss: 0.753833	Accuracy: 0.680
