Train Episode: 1	Loss: 3.842598	Accuracy: 0.000
Train Episode: 2	Loss: 3.255030	Accuracy: 0.200
Train Episode: 3	Loss: 2.716889	Accuracy: 0.200
Train Episode: 4	Loss: 2.030879	Accuracy: 0.200
Train Episode: 5	Loss: 2.203194	Accuracy: 0.200
Train Episode: 6	Loss: 2.194301	Accuracy: 0.200
Train Episode: 7	Loss: 1.751503	Accuracy: 0.220
Train Episode: 8	Loss: 1.703252	Accuracy: 0.340
Train Episode: 9	Loss: 1.618843	Accuracy: 0.360
Train Episode: 10	Loss: 2.079363	Accuracy: 0.400
Train Episode: 11	Loss: 2.539265	Accuracy: 0.200
Train Episode: 12	Loss: 8.970059	Accuracy: 0.200
Train Episode: 13	Loss: 1.745528	Accuracy: 0.460
Train Episode: 14	Loss: 7.019027	Accuracy: 0.200
Train Episode: 15	Loss: 1.822599	Accuracy: 0.300
Train Episode: 16	Loss: 5.016504	Accuracy: 0.200
Train Episode: 17	Loss: 5.230328	Accuracy: 0.200
Train Episode: 18	Loss: 2.631416	Accuracy: 0.200
Train Episode: 19	Loss: 4.210028	Accuracy: 0.200
Train Episode: 20	Loss: 3.377853	Accuracy: 0.200
Train Episode: 21	Loss: 2.558929	Accuracy: 0.200
Train Episode: 22	Loss: 4.863909	Accuracy: 0.200
Train Episode: 23	Loss: 1.595244	Accuracy: 0.340
Train Episode: 24	Loss: 2.516375	Accuracy: 0.200
Train Episode: 25	Loss: 3.770720	Accuracy: 0.200
Train Episode: 26	Loss: 4.659672	Accuracy: 0.200
Train Episode: 27	Loss: 2.786450	Accuracy: 0.200
Train Episode: 28	Loss: 2.856070	Accuracy: 0.200
Train Episode: 29	Loss: 1.539298	Accuracy: 0.360
Train Episode: 30	Loss: 1.573326	Accuracy: 0.380
Train Episode: 31	Loss: 2.190971	Accuracy: 0.280
Train Episode: 32	Loss: 2.513750	Accuracy: 0.400
Train Episode: 33	Loss: 7.076399	Accuracy: 0.200
Train Episode: 34	Loss: 2.733075	Accuracy: 0.200
Train Episode: 35	Loss: 3.186248	Accuracy: 0.200
Train Episode: 36	Loss: 4.687537	Accuracy: 0.200
Train Episode: 37	Loss: 3.056997	Accuracy: 0.200
Train Episode: 38	Loss: 4.133384	Accuracy: 0.200
Train Episode: 39	Loss: 3.230485	Accuracy: 0.200
Train Episode: 40	Loss: 1.991958	Accuracy: 0.200
Train Episode: 41	Loss: 3.545376	Accuracy: 0.200
Train Episode: 42	Loss: 2.729655	Accuracy: 0.200
Train Episode: 43	Loss: 3.352990	Accuracy: 0.200
Train Episode: 44	Loss: 2.073757	Accuracy: 0.200
Train Episode: 45	Loss: 3.343326	Accuracy: 0.200
Train Episode: 46	Loss: 1.093799	Accuracy: 0.580
Train Episode: 47	Loss: 3.163896	Accuracy: 0.200
Train Episode: 48	Loss: 3.066182	Accuracy: 0.400
Train Episode: 49	Loss: 1.446553	Accuracy: 0.400
Train Episode: 50	Loss: 3.338812	Accuracy: 0.200
Train Episode: 51	Loss: 2.148433	Accuracy: 0.200
Train Episode: 52	Loss: 1.754189	Accuracy: 0.200
Train Episode: 53	Loss: 4.001704	Accuracy: 0.200
Train Episode: 54	Loss: 3.086328	Accuracy: 0.200
Train Episode: 55	Loss: 4.758099	Accuracy: 0.200
Train Episode: 56	Loss: 1.769431	Accuracy: 0.240
Train Episode: 57	Loss: 1.527947	Accuracy: 0.400
Train Episode: 58	Loss: 2.871288	Accuracy: 0.200
Train Episode: 59	Loss: 1.784744	Accuracy: 0.260
