Train Episode: 1	Loss: 3.835334	Accuracy: 0.000
Train Episode: 2	Loss: 2.526303	Accuracy: 0.200
Train Episode: 3	Loss: 2.133556	Accuracy: 0.200
Train Episode: 4	Loss: 1.911217	Accuracy: 0.200
Train Episode: 5	Loss: 1.705105	Accuracy: 0.300
Train Episode: 6	Loss: 2.463613	Accuracy: 0.200
Train Episode: 7	Loss: 1.419669	Accuracy: 0.440
Train Episode: 8	Loss: 1.371759	Accuracy: 0.480
Train Episode: 9	Loss: 1.498712	Accuracy: 0.480
Train Episode: 10	Loss: 2.567460	Accuracy: 0.400
Train Episode: 11	Loss: 2.052706	Accuracy: 0.380
Train Episode: 12	Loss: 2.742169	Accuracy: 0.360
Train Episode: 13	Loss: 1.259642	Accuracy: 0.560
Train Episode: 14	Loss: 3.190952	Accuracy: 0.200
Train Episode: 15	Loss: 1.211062	Accuracy: 0.400
Train Episode: 16	Loss: 1.338206	Accuracy: 0.600
Train Episode: 17	Loss: 2.894944	Accuracy: 0.220
Train Episode: 18	Loss: 2.410387	Accuracy: 0.200
Train Episode: 19	Loss: 2.552956	Accuracy: 0.200
Train Episode: 20	Loss: 1.910733	Accuracy: 0.200
Train Episode: 21	Loss: 2.197614	Accuracy: 0.200
Train Episode: 22	Loss: 2.053576	Accuracy: 0.200
Train Episode: 23	Loss: 2.167061	Accuracy: 0.200
Train Episode: 24	Loss: 2.163918	Accuracy: 0.200
Train Episode: 25	Loss: 2.164693	Accuracy: 0.200
Train Episode: 26	Loss: 2.478886	Accuracy: 0.200
Train Episode: 27	Loss: 2.403039	Accuracy: 0.200
Train Episode: 28	Loss: 2.261844	Accuracy: 0.200
Train Episode: 29	Loss: 2.089815	Accuracy: 0.200
Train Episode: 30	Loss: 2.206785	Accuracy: 0.200
Train Episode: 31	Loss: 1.472276	Accuracy: 0.500
Train Episode: 32	Loss: 1.975411	Accuracy: 0.400
Train Episode: 33	Loss: 2.016693	Accuracy: 0.200
