Episode: 1, z_vector: tensor([1., 1.], device='cuda:0') 
Episode: 2, z_vector: tensor([1.0004, 1.0004], device='cuda:0') 
Episode: 3, z_vector: tensor([1.0007, 1.0006], device='cuda:0') 
Episode: 4, z_vector: tensor([1.0008, 1.0008], device='cuda:0') 
Episode: 5, z_vector: tensor([1.0011, 1.0009], device='cuda:0') 
Episode: 6, z_vector: tensor([1.0013, 1.0010], device='cuda:0') 
Episode: 7, z_vector: tensor([1.0014, 1.0010], device='cuda:0') 
Episode: 8, z_vector: tensor([1.0017, 1.0011], device='cuda:0') 
Episode: 9, z_vector: tensor([1.0019, 1.0013], device='cuda:0') 
Episode: 10, z_vector: tensor([1.0021, 1.0015], device='cuda:0') 
Episode: 11, z_vector: tensor([1.0024, 1.0016], device='cuda:0') 
Episode: 12, z_vector: tensor([1.0026, 1.0017], device='cuda:0') 
Episode: 13, z_vector: tensor([1.0027, 1.0018], device='cuda:0') 
Episode: 14, z_vector: tensor([1.0029, 1.0020], device='cuda:0') 
Episode: 15, z_vector: tensor([1.0031, 1.0021], device='cuda:0') 
Episode: 16, z_vector: tensor([1.0032, 1.0021], device='cuda:0') 
Episode: 17, z_vector: tensor([1.0033, 1.0022], device='cuda:0') 
Episode: 18, z_vector: tensor([1.0034, 1.0022], device='cuda:0') 
Episode: 19, z_vector: tensor([1.0036, 1.0024], device='cuda:0') 
Episode: 20, z_vector: tensor([1.0038, 1.0026], device='cuda:0') 
Episode: 21, z_vector: tensor([1.0041, 1.0028], device='cuda:0') 
Episode: 22, z_vector: tensor([1.0043, 1.0031], device='cuda:0') 
Episode: 23, z_vector: tensor([1.0046, 1.0034], device='cuda:0') 
Episode: 24, z_vector: tensor([1.0048, 1.0037], device='cuda:0') 
Episode: 25, z_vector: tensor([1.0051, 1.0040], device='cuda:0') 
Episode: 26, z_vector: tensor([1.0054, 1.0043], device='cuda:0') 
Episode: 27, z_vector: tensor([1.0056, 1.0045], device='cuda:0') 
Episode: 28, z_vector: tensor([1.0058, 1.0049], device='cuda:0') 
Episode: 29, z_vector: tensor([1.0061, 1.0051], device='cuda:0') 
Episode: 30, z_vector: tensor([1.0063, 1.0055], device='cuda:0') 
Episode: 31, z_vector: tensor([1.0066, 1.0058], device='cuda:0') 
Episode: 32, z_vector: tensor([1.0068, 1.0061], device='cuda:0') 
Episode: 33, z_vector: tensor([1.0069, 1.0062], device='cuda:0') 
Episode: 34, z_vector: tensor([1.0071, 1.0064], device='cuda:0') 
Episode: 35, z_vector: tensor([1.0074, 1.0067], device='cuda:0') 
Episode: 36, z_vector: tensor([1.0076, 1.0069], device='cuda:0') 
Episode: 37, z_vector: tensor([1.0078, 1.0072], device='cuda:0') 
Episode: 38, z_vector: tensor([1.0081, 1.0075], device='cuda:0') 
Episode: 39, z_vector: tensor([1.0084, 1.0078], device='cuda:0') 
Episode: 40, z_vector: tensor([1.0087, 1.0081], device='cuda:0') 
Episode: 41, z_vector: tensor([1.0090, 1.0085], device='cuda:0') 
Episode: 42, z_vector: tensor([1.0094, 1.0089], device='cuda:0') 
Episode: 43, z_vector: tensor([1.0098, 1.0094], device='cuda:0') 
Episode: 44, z_vector: tensor([1.0102, 1.0098], device='cuda:0') 
Episode: 45, z_vector: tensor([1.0106, 1.0102], device='cuda:0') 
Episode: 46, z_vector: tensor([1.0110, 1.0107], device='cuda:0') 
Episode: 47, z_vector: tensor([1.0115, 1.0112], device='cuda:0') 
Episode: 48, z_vector: tensor([1.0120, 1.0117], device='cuda:0') 
Episode: 49, z_vector: tensor([1.0125, 1.0122], device='cuda:0') 
Episode: 50, z_vector: tensor([1.0128, 1.0124], device='cuda:0') 
Episode: 51, z_vector: tensor([1.0131, 1.0127], device='cuda:0') 
Episode: 52, z_vector: tensor([1.0132, 1.0128], device='cuda:0') 
Episode: 53, z_vector: tensor([1.0134, 1.0131], device='cuda:0') 
Episode: 54, z_vector: tensor([1.0136, 1.0133], device='cuda:0') 
Episode: 55, z_vector: tensor([1.0139, 1.0137], device='cuda:0') 
Episode: 56, z_vector: tensor([1.0136, 1.0134], device='cuda:0') 
Episode: 57, z_vector: tensor([1.0134, 1.0132], device='cuda:0') 
Episode: 58, z_vector: tensor([1.0131, 1.0129], device='cuda:0') 
Episode: 59, z_vector: tensor([1.0127, 1.0126], device='cuda:0') 
Episode: 60, z_vector: tensor([1.0124, 1.0122], device='cuda:0') 
Episode: 61, z_vector: tensor([1.0121, 1.0120], device='cuda:0') 
Episode: 62, z_vector: tensor([1.0118, 1.0117], device='cuda:0') 
Episode: 63, z_vector: tensor([1.0116, 1.0115], device='cuda:0') 
Episode: 64, z_vector: tensor([1.0114, 1.0113], device='cuda:0') 
Episode: 65, z_vector: tensor([1.0112, 1.0111], device='cuda:0') 
Episode: 66, z_vector: tensor([1.0110, 1.0109], device='cuda:0') 
Episode: 67, z_vector: tensor([1.0109, 1.0108], device='cuda:0') 
Episode: 68, z_vector: tensor([1.0107, 1.0107], device='cuda:0') 
Episode: 69, z_vector: tensor([1.0106, 1.0106], device='cuda:0') 
Episode: 70, z_vector: tensor([1.0105, 1.0105], device='cuda:0') 
Episode: 71, z_vector: tensor([1.0104, 1.0104], device='cuda:0') 
Episode: 72, z_vector: tensor([1.0103, 1.0103], device='cuda:0') 
Episode: 73, z_vector: tensor([1.0102, 1.0102], device='cuda:0') 
Episode: 74, z_vector: tensor([1.0102, 1.0102], device='cuda:0') 
Episode: 75, z_vector: tensor([1.0101, 1.0101], device='cuda:0') 
Episode: 76, z_vector: tensor([1.0101, 1.0100], device='cuda:0') 
Episode: 77, z_vector: tensor([1.0100, 1.0100], device='cuda:0') 
Episode: 78, z_vector: tensor([1.0100, 1.0100], device='cuda:0') 
Episode: 79, z_vector: tensor([1.0099, 1.0099], device='cuda:0') 
Episode: 80, z_vector: tensor([1.0099, 1.0099], device='cuda:0') 
Episode: 81, z_vector: tensor([1.0099, 1.0099], device='cuda:0') 
Episode: 82, z_vector: tensor([1.0098, 1.0099], device='cuda:0') 
Episode: 83, z_vector: tensor([1.0098, 1.0099], device='cuda:0') 
Episode: 84, z_vector: tensor([1.0098, 1.0098], device='cuda:0') 
Episode: 85, z_vector: tensor([1.0098, 1.0098], device='cuda:0') 
Episode: 86, z_vector: tensor([1.0098, 1.0098], device='cuda:0') 
Episode: 87, z_vector: tensor([1.0098, 1.0098], device='cuda:0') 
Episode: 88, z_vector: tensor([1.0097, 1.0098], device='cuda:0') 
Episode: 89, z_vector: tensor([1.0097, 1.0098], device='cuda:0') 
Episode: 90, z_vector: tensor([1.0097, 1.0098], device='cuda:0') 
Episode: 91, z_vector: tensor([1.0097, 1.0098], device='cuda:0') 
Episode: 92, z_vector: tensor([1.0097, 1.0098], device='cuda:0') 
Episode: 93, z_vector: tensor([1.0097, 1.0098], device='cuda:0') 
Episode: 94, z_vector: tensor([1.0097, 1.0098], device='cuda:0') 
Episode: 95, z_vector: tensor([1.0097, 1.0099], device='cuda:0') 
Episode: 96, z_vector: tensor([1.0097, 1.0099], device='cuda:0') 
Episode: 97, z_vector: tensor([1.0097, 1.0099], device='cuda:0') 
Episode: 98, z_vector: tensor([1.0098, 1.0099], device='cuda:0') 
Episode: 99, z_vector: tensor([1.0098, 1.0099], device='cuda:0') 
Episode: 100, z_vector: tensor([1.0098, 1.0100], device='cuda:0') 
Episode: 101, z_vector: tensor([1.0098, 1.0100], device='cuda:0') 
Episode: 102, z_vector: tensor([1.0099, 1.0101], device='cuda:0') 
Episode: 103, z_vector: tensor([1.0099, 1.0102], device='cuda:0') 
Episode: 104, z_vector: tensor([1.0100, 1.0102], device='cuda:0') 
Episode: 105, z_vector: tensor([1.0100, 1.0103], device='cuda:0') 
Episode: 106, z_vector: tensor([1.0100, 1.0104], device='cuda:0') 
Episode: 107, z_vector: tensor([1.0101, 1.0104], device='cuda:0') 
Episode: 108, z_vector: tensor([1.0101, 1.0105], device='cuda:0') 
Episode: 109, z_vector: tensor([1.0099, 1.0102], device='cuda:0') 
Episode: 110, z_vector: tensor([1.0097, 1.0098], device='cuda:0') 
Episode: 111, z_vector: tensor([1.0095, 1.0095], device='cuda:0') 
Episode: 112, z_vector: tensor([1.0094, 1.0093], device='cuda:0') 
Episode: 113, z_vector: tensor([1.0093, 1.0090], device='cuda:0') 
Episode: 114, z_vector: tensor([1.0092, 1.0088], device='cuda:0') 
Episode: 115, z_vector: tensor([1.0090, 1.0086], device='cuda:0') 
Episode: 116, z_vector: tensor([1.0090, 1.0085], device='cuda:0') 
Episode: 117, z_vector: tensor([1.0089, 1.0083], device='cuda:0') 
Episode: 118, z_vector: tensor([1.0089, 1.0082], device='cuda:0') 
Episode: 119, z_vector: tensor([1.0088, 1.0081], device='cuda:0') 
Episode: 120, z_vector: tensor([1.0088, 1.0080], device='cuda:0') 
Episode: 121, z_vector: tensor([1.0088, 1.0079], device='cuda:0') 
Episode: 122, z_vector: tensor([1.0088, 1.0078], device='cuda:0') 
Episode: 123, z_vector: tensor([1.0088, 1.0077], device='cuda:0') 
Episode: 124, z_vector: tensor([1.0088, 1.0077], device='cuda:0') 
Episode: 125, z_vector: tensor([1.0088, 1.0076], device='cuda:0') 
Episode: 126, z_vector: tensor([1.0088, 1.0076], device='cuda:0') 
Episode: 127, z_vector: tensor([1.0088, 1.0075], device='cuda:0') 
Episode: 128, z_vector: tensor([1.0088, 1.0075], device='cuda:0') 
Episode: 129, z_vector: tensor([1.0088, 1.0074], device='cuda:0') 
Episode: 130, z_vector: tensor([1.0088, 1.0074], device='cuda:0') 
Episode: 131, z_vector: tensor([1.0088, 1.0074], device='cuda:0') 
Episode: 132, z_vector: tensor([1.0088, 1.0074], device='cuda:0') 
Episode: 133, z_vector: tensor([1.0088, 1.0073], device='cuda:0') 
Episode: 134, z_vector: tensor([1.0088, 1.0073], device='cuda:0') 
Episode: 135, z_vector: tensor([1.0088, 1.0073], device='cuda:0') 
Episode: 136, z_vector: tensor([1.0088, 1.0073], device='cuda:0') 
Episode: 137, z_vector: tensor([1.0088, 1.0073], device='cuda:0') 
Episode: 138, z_vector: tensor([1.0088, 1.0072], device='cuda:0') 
Episode: 139, z_vector: tensor([1.0088, 1.0072], device='cuda:0') 
Episode: 140, z_vector: tensor([1.0088, 1.0072], device='cuda:0') 
Episode: 141, z_vector: tensor([1.0088, 1.0072], device='cuda:0') 
