Train Episode: 1	Loss: 47870.574219	Accuracy: 0.320
Train Episode: 2	Loss: 19.730253	Accuracy: 0.200
Train Episode: 3	Loss: 1.719092	Accuracy: 0.200
Train Episode: 4	Loss: 2.652493	Accuracy: 0.200
Train Episode: 5	Loss: 2.683643	Accuracy: 0.200
Train Episode: 6	Loss: 3.070541	Accuracy: 0.200
Train Episode: 7	Loss: 3.384036	Accuracy: 0.200
Train Episode: 8	Loss: 3.519417	Accuracy: 0.200
Train Episode: 9	Loss: 3.481353	Accuracy: 0.200
Train Episode: 10	Loss: 3.169735	Accuracy: 0.400
Train Episode: 11	Loss: 3.364623	Accuracy: 0.200
Train Episode: 12	Loss: 3.567845	Accuracy: 0.200
Train Episode: 13	Loss: 3.528357	Accuracy: 0.200
Train Episode: 14	Loss: 3.590882	Accuracy: 0.140
Train Episode: 15	Loss: 3.577935	Accuracy: 0.260
Train Episode: 16	Loss: 3.173242	Accuracy: 0.600
Train Episode: 17	Loss: 3.538084	Accuracy: 0.400
Train Episode: 18	Loss: 3.503282	Accuracy: 0.200
Train Episode: 19	Loss: 3.695416	Accuracy: 0.180
Train Episode: 20	Loss: 3.549043	Accuracy: 0.220
Train Episode: 21	Loss: 3.598271	Accuracy: 0.200
Train Episode: 22	Loss: 3.648171	Accuracy: 0.200
Train Episode: 23	Loss: 3.640284	Accuracy: 0.200
Train Episode: 24	Loss: 3.525307	Accuracy: 0.240
Train Episode: 25	Loss: 3.669726	Accuracy: 0.200
Train Episode: 26	Loss: 3.648815	Accuracy: 0.200
Train Episode: 27	Loss: 3.642713	Accuracy: 0.200
Train Episode: 28	Loss: 3.581778	Accuracy: 0.200
Train Episode: 29	Loss: 3.639908	Accuracy: 0.200
Train Episode: 30	Loss: 3.598239	Accuracy: 0.200
Train Episode: 31	Loss: 3.547056	Accuracy: 0.400
Train Episode: 32	Loss: 3.597159	Accuracy: 0.400
Train Episode: 33	Loss: 3.722879	Accuracy: 0.200
Train Episode: 34	Loss: 3.594392	Accuracy: 0.200
Train Episode: 35	Loss: 3.549797	Accuracy: 0.400
Train Episode: 36	Loss: 3.689304	Accuracy: 0.200
Train Episode: 37	Loss: 3.716468	Accuracy: 0.200
Train Episode: 38	Loss: 3.693697	Accuracy: 0.200
Train Episode: 39	Loss: 3.685370	Accuracy: 0.200
Train Episode: 40	Loss: 3.660665	Accuracy: 0.200
Train Episode: 41	Loss: 3.611830	Accuracy: 0.200
Train Episode: 42	Loss: 3.677427	Accuracy: 0.200
Train Episode: 43	Loss: 3.599566	Accuracy: 0.200
Train Episode: 44	Loss: 3.745291	Accuracy: 0.200
Train Episode: 45	Loss: 3.682457	Accuracy: 0.200
Train Episode: 46	Loss: 3.642501	Accuracy: 0.400
Train Episode: 47	Loss: 3.669606	Accuracy: 0.200
Train Episode: 48	Loss: 3.603410	Accuracy: 0.400
Train Episode: 49	Loss: 3.635878	Accuracy: 0.400
Train Episode: 50	Loss: 3.624325	Accuracy: 0.200
Train Episode: 51	Loss: 3.640829	Accuracy: 0.200
Train Episode: 52	Loss: 3.507314	Accuracy: 0.220
Train Episode: 53	Loss: 3.685144	Accuracy: 0.200
Train Episode: 54	Loss: 3.687881	Accuracy: 0.220
Train Episode: 55	Loss: 3.638746	Accuracy: 0.200
Train Episode: 56	Loss: 3.653630	Accuracy: 0.200
Train Episode: 57	Loss: 3.661193	Accuracy: 0.200
Train Episode: 58	Loss: 3.681431	Accuracy: 0.200
Train Episode: 59	Loss: 3.600347	Accuracy: 0.200
Train Episode: 60	Loss: 3.712097	Accuracy: 0.200
Train Episode: 61	Loss: 3.741674	Accuracy: 0.200
Train Episode: 62	Loss: 3.624812	Accuracy: 0.400
Train Episode: 63	Loss: 3.637202	Accuracy: 0.200
Train Episode: 64	Loss: 3.646090	Accuracy: 0.220
Train Episode: 65	Loss: 3.728828	Accuracy: 0.200
Train Episode: 66	Loss: 3.663036	Accuracy: 0.200
Train Episode: 67	Loss: 3.691865	Accuracy: 0.260
