Train Episode: 1	Loss: 1.961752	Accuracy: 0.100
Train Episode: 2	Loss: 1.448900	Accuracy: 0.340
Train Episode: 3	Loss: 2.811813	Accuracy: 0.020
Train Episode: 4	Loss: 60708296.000000	Accuracy: 0.200
Train Episode: 5	Loss: 37570972.000000	Accuracy: 0.200
Train Episode: 6	Loss: 6745540608.000000	Accuracy: 0.200
Train Episode: 7	Loss: 8032018944.000000	Accuracy: 0.200
Train Episode: 8	Loss: 3.845932	Accuracy: 0.000
Train Episode: 9	Loss: 3.846278	Accuracy: 0.220
Train Episode: 10	Loss: 3.188233	Accuracy: 0.400
Train Episode: 11	Loss: 3.640245	Accuracy: 0.180
Train Episode: 12	Loss: 2.995286	Accuracy: 0.200
Train Episode: 13	Loss: 3.710974	Accuracy: 0.200
Train Episode: 14	Loss: 3.625357	Accuracy: 0.200
Train Episode: 15	Loss: 3.729467	Accuracy: 0.200
Train Episode: 16	Loss: 2.919549	Accuracy: 0.600
Train Episode: 17	Loss: 3.667558	Accuracy: 0.400
Train Episode: 18	Loss: 3.734774	Accuracy: 0.200
Train Episode: 19	Loss: 3.748410	Accuracy: 0.200
Train Episode: 20	Loss: 3.725601	Accuracy: 0.200
Train Episode: 21	Loss: 3.769171	Accuracy: 0.200
Train Episode: 22	Loss: 3.755168	Accuracy: 0.200
Train Episode: 23	Loss: 3.766033	Accuracy: 0.180
Train Episode: 24	Loss: 3.750744	Accuracy: 0.200
Train Episode: 25	Loss: 3.695527	Accuracy: 0.200
Train Episode: 26	Loss: 3.740628	Accuracy: 0.200
Train Episode: 27	Loss: 3.789153	Accuracy: 0.200
Train Episode: 28	Loss: 3.751194	Accuracy: 0.200
Train Episode: 29	Loss: 3.773098	Accuracy: 0.160
Train Episode: 30	Loss: 3.761784	Accuracy: 0.200
Train Episode: 31	Loss: 3.719406	Accuracy: 0.400
Train Episode: 32	Loss: 3.723111	Accuracy: 0.400
Train Episode: 33	Loss: 3.770667	Accuracy: 0.200
Train Episode: 34	Loss: 3.780732	Accuracy: 0.200
Train Episode: 35	Loss: 3.694874	Accuracy: 0.400
Train Episode: 36	Loss: 3.752320	Accuracy: 0.200
Train Episode: 37	Loss: 3.775573	Accuracy: 0.200
Train Episode: 38	Loss: 3.787226	Accuracy: 0.220
Train Episode: 39	Loss: 3.787657	Accuracy: 0.200
Train Episode: 40	Loss: 3.754472	Accuracy: 0.200
Train Episode: 41	Loss: 3.771305	Accuracy: 0.200
Train Episode: 42	Loss: 3.772682	Accuracy: 0.200
Train Episode: 43	Loss: 3.748745	Accuracy: 0.200
Train Episode: 44	Loss: 3.757774	Accuracy: 0.200
Train Episode: 45	Loss: 3.762861	Accuracy: 0.200
Train Episode: 46	Loss: 3.737663	Accuracy: 0.400
Train Episode: 47	Loss: 3.780957	Accuracy: 0.200
Train Episode: 48	Loss: 3.707286	Accuracy: 0.400
Train Episode: 49	Loss: 3.739964	Accuracy: 0.400
Train Episode: 50	Loss: 3.753640	Accuracy: 0.200
Train Episode: 51	Loss: 3.776896	Accuracy: 0.200
Train Episode: 52	Loss: 3.760392	Accuracy: 0.200
Train Episode: 53	Loss: 3.755356	Accuracy: 0.220
Train Episode: 54	Loss: 3.748059	Accuracy: 0.200
Train Episode: 55	Loss: 3.756713	Accuracy: 0.200
Train Episode: 56	Loss: 3.760541	Accuracy: 0.200
Train Episode: 57	Loss: 3.749759	Accuracy: 0.200
Train Episode: 58	Loss: 3.742152	Accuracy: 0.200
Train Episode: 59	Loss: 3.763847	Accuracy: 0.200
Train Episode: 60	Loss: 3.751710	Accuracy: 0.200
Train Episode: 61	Loss: 3.741384	Accuracy: 0.200
Train Episode: 62	Loss: 3.731607	Accuracy: 0.400
Train Episode: 63	Loss: 3.727850	Accuracy: 0.200
Train Episode: 64	Loss: 3.763497	Accuracy: 0.200
Train Episode: 65	Loss: 3.739492	Accuracy: 0.260
Train Episode: 66	Loss: 3.774265	Accuracy: 0.200
Train Episode: 67	Loss: 3.766835	Accuracy: 0.200
Train Episode: 68	Loss: 3.766012	Accuracy: 0.280
Train Episode: 69	Loss: 3.760453	Accuracy: 0.220
Train Episode: 70	Loss: 3.760655	Accuracy: 0.200
Train Episode: 71	Loss: 3.778601	Accuracy: 0.200
Train Episode: 72	Loss: 3.745754	Accuracy: 0.200
