Train Episode: 1	Loss: 1.489640	Accuracy: 0.420	Current Training Data Per Class: 74
Train Episode: 2	Loss: 2.387815	Accuracy: 0.210	Current Training Data Per Class: 38
Train Episode: 3	Loss: 1.904251	Accuracy: 0.130	Current Training Data Per Class: 54
Train Episode: 4	Loss: 2.790231	Accuracy: 0.200	Current Training Data Per Class: 78
Train Episode: 5	Loss: 58.159584	Accuracy: 0.400	Current Training Data Per Class: 76
Train Episode: 6	Loss: 2.104087	Accuracy: 0.200	Current Training Data Per Class: 47
Train Episode: 7	Loss: 1.995905	Accuracy: 0.200	Current Training Data Per Class: 66
Train Episode: 8	Loss: 2.763311	Accuracy: 0.200	Current Training Data Per Class: 34
Train Episode: 9	Loss: 1.696316	Accuracy: 0.280	Current Training Data Per Class: 63
Train Episode: 10	Loss: 1.834648	Accuracy: 0.200	Current Training Data Per Class: 78
Train Episode: 11	Loss: 1.856374	Accuracy: 0.190	Current Training Data Per Class: 77
Train Episode: 12	Loss: 1.750665	Accuracy: 0.400	Current Training Data Per Class: 68
Train Episode: 13	Loss: 2.793246	Accuracy: 0.090	Current Training Data Per Class: 45
Train Episode: 14	Loss: 2.048788	Accuracy: 0.410	Current Training Data Per Class: 53
Train Episode: 15	Loss: 2.179901	Accuracy: 0.150	Current Training Data Per Class: 52
Train Episode: 16	Loss: 2.231930	Accuracy: 0.400	Current Training Data Per Class: 42
Train Episode: 17	Loss: 2.266303	Accuracy: 0.200	Current Training Data Per Class: 70
Train Episode: 18	Loss: 1.799504	Accuracy: 0.380	Current Training Data Per Class: 42
Train Episode: 19	Loss: 1.812078	Accuracy: 0.380	Current Training Data Per Class: 79
Train Episode: 20	Loss: 2.163099	Accuracy: 0.170	Current Training Data Per Class: 68
Train Episode: 21	Loss: 2.063093	Accuracy: 0.280	Current Training Data Per Class: 60
Train Episode: 22	Loss: 2.144062	Accuracy: 0.280	Current Training Data Per Class: 57
Train Episode: 23	Loss: 2.988654	Accuracy: 0.200	Current Training Data Per Class: 32
Train Episode: 24	Loss: 2.144172	Accuracy: 0.210	Current Training Data Per Class: 67
Train Episode: 25	Loss: 2.435251	Accuracy: 0.200	Current Training Data Per Class: 73
Train Episode: 26	Loss: 2.182765	Accuracy: 0.240	Current Training Data Per Class: 50
