Train Episode: 1	Loss: 1.475217	Accuracy: 0.420	Current Training Data Per Class: 74
Train Episode: 2	Loss: 2.646863	Accuracy: 0.280	Current Training Data Per Class: 38
Train Episode: 3	Loss: 1.873960	Accuracy: 0.160	Current Training Data Per Class: 54
Train Episode: 4	Loss: 3.850148	Accuracy: 0.270	Current Training Data Per Class: 78
Train Episode: 5	Loss: 16.623774	Accuracy: 0.400	Current Training Data Per Class: 76
Train Episode: 6	Loss: 2.242885	Accuracy: 0.180	Current Training Data Per Class: 47
Train Episode: 7	Loss: 2.126252	Accuracy: 0.210	Current Training Data Per Class: 66
Train Episode: 8	Loss: 2.907452	Accuracy: 0.200	Current Training Data Per Class: 34
Train Episode: 9	Loss: 1.668646	Accuracy: 0.240	Current Training Data Per Class: 63
Train Episode: 10	Loss: 1.773845	Accuracy: 0.200	Current Training Data Per Class: 78
Train Episode: 11	Loss: 1.769677	Accuracy: 0.230	Current Training Data Per Class: 77
Train Episode: 12	Loss: 1.589146	Accuracy: 0.400	Current Training Data Per Class: 68
Train Episode: 13	Loss: 2.696419	Accuracy: 0.180	Current Training Data Per Class: 45
Train Episode: 14	Loss: 2.197673	Accuracy: 0.380	Current Training Data Per Class: 53
Train Episode: 15	Loss: 2.248309	Accuracy: 0.200	Current Training Data Per Class: 52
Train Episode: 16	Loss: 2.426869	Accuracy: 0.400	Current Training Data Per Class: 42
Train Episode: 17	Loss: 2.270687	Accuracy: 0.200	Current Training Data Per Class: 70
Train Episode: 18	Loss: 2.026648	Accuracy: 0.400	Current Training Data Per Class: 42
Train Episode: 19	Loss: 1.786042	Accuracy: 0.390	Current Training Data Per Class: 79
Train Episode: 20	Loss: 2.103058	Accuracy: 0.230	Current Training Data Per Class: 68
Train Episode: 21	Loss: 2.208576	Accuracy: 0.210	Current Training Data Per Class: 60
Train Episode: 22	Loss: 2.185748	Accuracy: 0.320	Current Training Data Per Class: 57
Train Episode: 23	Loss: 3.055093	Accuracy: 0.200	Current Training Data Per Class: 32
Train Episode: 24	Loss: 2.132468	Accuracy: 0.210	Current Training Data Per Class: 67
Train Episode: 25	Loss: 2.323912	Accuracy: 0.200	Current Training Data Per Class: 73
Train Episode: 26	Loss: 2.482400	Accuracy: 0.200	Current Training Data Per Class: 50
