Episode: 1: [[0.33333334 0.33333334 0.33333334]] 
Episode: 2: [[0.33332536 0.33334133 0.33334133]] 
Episode: 3: [[0.33332   0.3333467 0.3333467]] 
Episode: 4: [[0.33331585 0.33335084 0.33335084]] 
Episode: 5: [[0.33331117 0.33335552 0.33335552]] 
Episode: 6: [[0.3333072  0.33335948 0.33335948]] 
Episode: 7: [[0.3333038  0.33336288 0.33336288]] 
Episode: 8: [[0.33330083 0.33336586 0.33336586]] 
Episode: 9: [[0.3332982  0.33336848 0.33336848]] 
Episode: 10: [[0.33329567 0.33337098 0.333371  ]] 
Episode: 11: [[0.3332934  0.33337325 0.33337328]] 
Episode: 12: [[0.3332934  0.33337325 0.33337328]] 
Episode: 13: [[0.3332934  0.33337325 0.33337328]] 
Episode: 14: [[0.3332934  0.33337325 0.33337328]] 
Episode: 15: [[0.3332934  0.33337325 0.33337328]] 
Episode: 16: [[0.3332934  0.33337325 0.33337328]] 
Episode: 17: [[0.3332934  0.33337325 0.33337328]] 
Episode: 18: [[0.3332934  0.33337325 0.33337328]] 
Episode: 19: [[0.3332934  0.33337325 0.33337328]] 
Episode: 20: [[0.3332934  0.33337325 0.33337328]] 
Episode: 21: [[0.3332934  0.33337325 0.33337328]] 
Episode: 22: [[0.3332934  0.33337325 0.33337328]] 
Episode: 23: [[0.3332934  0.33337325 0.33337328]] 
Episode: 24: [[0.3332934  0.33337325 0.33337328]] 
Episode: 25: [[0.3332934  0.33337325 0.33337328]] 
Episode: 26: [[0.3332934  0.33337325 0.33337328]] 
Episode: 27: [[0.3332934  0.33337325 0.33337328]] 
Episode: 28: [[0.3332934  0.33337325 0.33337328]] 
Episode: 29: [[0.3332934  0.33337325 0.33337328]] 
Episode: 30: [[0.3332934  0.33337325 0.33337328]] 
Episode: 31: [[0.3332934  0.33337325 0.33337328]] 
Episode: 32: [[0.3332934  0.33337325 0.33337328]] 
Episode: 33: [[0.3332934  0.33337325 0.33337328]] 
Episode: 34: [[0.3332934  0.33337325 0.33337328]] 
Episode: 35: [[0.3332934  0.33337325 0.33337328]] 
Episode: 36: [[0.3332934  0.33337325 0.33337328]] 
Episode: 37: [[0.3332934  0.33337325 0.33337328]] 
Episode: 38: [[0.3332934  0.33337325 0.33337328]] 
Episode: 39: [[0.3332934  0.33337325 0.33337328]] 
Episode: 40: [[0.3332934  0.33337325 0.33337328]] 
Episode: 41: [[0.3332934  0.33337325 0.33337328]] 
Episode: 42: [[0.3332934  0.33337325 0.33337328]] 
Episode: 43: [[0.3332934  0.33337325 0.33337328]] 
Episode: 44: [[0.3332934  0.33337325 0.33337328]] 
Episode: 45: [[0.3332934  0.33337325 0.33337328]] 
Episode: 46: [[0.3332934  0.33337325 0.33337328]] 
Episode: 47: [[0.3332934  0.33337325 0.33337328]] 
Episode: 48: [[0.3332934  0.33337325 0.33337328]] 
Episode: 49: [[0.3332934  0.33337325 0.33337328]] 
Episode: 50: [[0.3332934  0.33337325 0.33337328]] 
Episode: 51: [[0.3332934  0.33337325 0.33337328]] 
Episode: 52: [[0.3332934  0.33337325 0.33337328]] 
Episode: 53: [[0.3332934  0.33337325 0.33337328]] 
Episode: 54: [[0.3332934  0.33337325 0.33337328]] 
Episode: 55: [[0.3332934  0.33337325 0.33337328]] 
Episode: 56: [[0.3332934  0.33337325 0.33337328]] 
Episode: 57: [[0.3332934  0.33337325 0.33337328]] 
Episode: 58: [[0.3332934  0.33337325 0.33337328]] 
Episode: 59: [[0.3332934  0.33337325 0.33337328]] 
Episode: 60: [[0.3332934  0.33337325 0.33337328]] 
Episode: 61: [[0.3332934  0.33337325 0.33337328]] 
Episode: 62: [[0.3332934  0.33337325 0.33337328]] 
Episode: 63: [[0.3332934  0.33337325 0.33337328]] 
Episode: 64: [[0.3332934  0.33337325 0.33337328]] 
Episode: 65: [[0.3332934  0.33337325 0.33337328]] 
Episode: 66: [[0.3332934  0.33337325 0.33337328]] 
Episode: 67: [[0.3332934  0.33337325 0.33337328]] 
Episode: 68: [[0.3332934  0.33337325 0.33337328]] 
Episode: 69: [[0.3332934  0.33337325 0.33337328]] 
Episode: 70: [[0.3332934  0.33337325 0.33337328]] 
Episode: 71: [[0.3332934  0.33337325 0.33337328]] 
Episode: 72: [[0.3332934  0.33337325 0.33337328]] 
Episode: 73: [[0.3332934  0.33337325 0.33337328]] 
Episode: 74: [[0.3332934  0.33337325 0.33337328]] 
Episode: 75: [[0.3332934  0.33337325 0.33337328]] 
Episode: 76: [[0.3332934  0.33337325 0.33337328]] 
Episode: 77: [[0.3332934  0.33337325 0.33337328]] 
Episode: 78: [[0.3332934  0.33337325 0.33337328]] 
Episode: 79: [[0.3332934  0.33337325 0.33337328]] 
Episode: 80: [[0.3332934  0.33337325 0.33337328]] 
Episode: 81: [[0.3332934  0.33337325 0.33337328]] 
Episode: 82: [[0.3332934  0.33337325 0.33337328]] 
Episode: 83: [[0.3332934  0.33337325 0.33337328]] 
Episode: 84: [[0.3332934  0.33337325 0.33337328]] 
Episode: 85: [[0.3332934  0.33337325 0.33337328]] 
Episode: 86: [[0.3332934  0.33337325 0.33337328]] 
Episode: 87: [[0.3332934  0.33337325 0.33337328]] 
Episode: 88: [[0.3332934  0.33337325 0.33337328]] 
Episode: 89: [[0.3332934  0.33337325 0.33337328]] 
Episode: 90: [[0.3332934  0.33337325 0.33337328]] 
Episode: 91: [[0.3332934  0.33337325 0.33337328]] 
Episode: 92: [[0.3332934  0.33337325 0.33337328]] 
Episode: 93: [[0.3332934  0.33337325 0.33337328]] 
Episode: 94: [[0.3332934  0.33337325 0.33337328]] 
Episode: 95: [[0.3332934  0.33337325 0.33337328]] 
Episode: 96: [[0.3332934  0.33337325 0.33337328]] 
Episode: 97: [[0.3332934  0.33337325 0.33337328]] 
Episode: 98: [[0.3332934  0.33337325 0.33337328]] 
Episode: 99: [[0.3332934  0.33337325 0.33337328]] 
Episode: 100: [[0.3332934  0.33337325 0.33337328]] 
Episode: 101: [[0.3332934  0.33337325 0.33337328]] 
Episode: 102: [[0.3332934  0.33337325 0.33337328]] 
Episode: 103: [[0.3332934  0.33337325 0.33337328]] 
Episode: 104: [[0.3332934  0.33337325 0.33337328]] 
Episode: 105: [[0.3332934  0.33337325 0.33337328]] 
Episode: 106: [[0.3332934  0.33337325 0.33337328]] 
Episode: 107: [[0.3332934  0.33337325 0.33337328]] 
Episode: 108: [[0.3332934  0.33337325 0.33337328]] 
Episode: 109: [[0.3332934  0.33337325 0.33337328]] 
Episode: 110: [[0.3332934  0.33337325 0.33337328]] 
Episode: 111: [[0.3332934  0.33337325 0.33337328]] 
Episode: 112: [[0.3332934  0.33337325 0.33337328]] 
Episode: 113: [[0.3332934  0.33337325 0.33337328]] 
Episode: 114: [[0.3332934  0.33337325 0.33337328]] 
Episode: 115: [[0.3332934  0.33337325 0.33337328]] 
Episode: 116: [[0.3332934  0.33337325 0.33337328]] 
Episode: 117: [[0.3332934  0.33337325 0.33337328]] 
