Episode: 1, K_Matrix: tensor([[0.]], device='cuda:0') 
Episode: 2, K_Matrix: tensor([[-0.0004]], device='cuda:0') 
Episode: 3, K_Matrix: tensor([[-0.0007]], device='cuda:0') 
Episode: 4, K_Matrix: tensor([[-0.0011]], device='cuda:0') 
Episode: 5, K_Matrix: tensor([[-0.0013]], device='cuda:0') 
Episode: 6, K_Matrix: tensor([[-0.0015]], device='cuda:0') 
Episode: 7, K_Matrix: tensor([[-0.0016]], device='cuda:0') 
Episode: 8, K_Matrix: tensor([[-0.0015]], device='cuda:0') 
Episode: 9, K_Matrix: tensor([[-0.0014]], device='cuda:0') 
Episode: 10, K_Matrix: tensor([[-0.0012]], device='cuda:0') 
Episode: 11, K_Matrix: tensor([[-0.0011]], device='cuda:0') 
Episode: 12, K_Matrix: tensor([[-0.0010]], device='cuda:0') 
Episode: 13, K_Matrix: tensor([[-0.0009]], device='cuda:0') 
Episode: 14, K_Matrix: tensor([[-0.0007]], device='cuda:0') 
Episode: 15, K_Matrix: tensor([[-0.0006]], device='cuda:0') 
Episode: 16, K_Matrix: tensor([[-0.0004]], device='cuda:0') 
Episode: 17, K_Matrix: tensor([[-0.0001]], device='cuda:0') 
Episode: 18, K_Matrix: tensor([[0.0001]], device='cuda:0') 
Episode: 19, K_Matrix: tensor([[0.0004]], device='cuda:0') 
Episode: 20, K_Matrix: tensor([[0.0006]], device='cuda:0') 
Episode: 21, K_Matrix: tensor([[0.0009]], device='cuda:0') 
Episode: 22, K_Matrix: tensor([[0.0011]], device='cuda:0') 
Episode: 23, K_Matrix: tensor([[0.0013]], device='cuda:0') 
Episode: 24, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 25, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 26, K_Matrix: tensor([[0.0020]], device='cuda:0') 
Episode: 27, K_Matrix: tensor([[0.0023]], device='cuda:0') 
Episode: 28, K_Matrix: tensor([[0.0026]], device='cuda:0') 
Episode: 29, K_Matrix: tensor([[0.0029]], device='cuda:0') 
Episode: 30, K_Matrix: tensor([[0.0029]], device='cuda:0') 
Episode: 31, K_Matrix: tensor([[0.0028]], device='cuda:0') 
Episode: 32, K_Matrix: tensor([[0.0027]], device='cuda:0') 
Episode: 33, K_Matrix: tensor([[0.0026]], device='cuda:0') 
Episode: 34, K_Matrix: tensor([[0.0025]], device='cuda:0') 
Episode: 35, K_Matrix: tensor([[0.0024]], device='cuda:0') 
Episode: 36, K_Matrix: tensor([[0.0023]], device='cuda:0') 
Episode: 37, K_Matrix: tensor([[0.0023]], device='cuda:0') 
Episode: 38, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 39, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 40, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 41, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 42, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 43, K_Matrix: tensor([[0.0023]], device='cuda:0') 
Episode: 44, K_Matrix: tensor([[0.0023]], device='cuda:0') 
Episode: 45, K_Matrix: tensor([[0.0023]], device='cuda:0') 
Episode: 46, K_Matrix: tensor([[0.0024]], device='cuda:0') 
Episode: 47, K_Matrix: tensor([[0.0024]], device='cuda:0') 
Episode: 48, K_Matrix: tensor([[0.0025]], device='cuda:0') 
Episode: 49, K_Matrix: tensor([[0.0026]], device='cuda:0') 
Episode: 50, K_Matrix: tensor([[0.0027]], device='cuda:0') 
Episode: 51, K_Matrix: tensor([[0.0028]], device='cuda:0') 
Episode: 52, K_Matrix: tensor([[0.0029]], device='cuda:0') 
Episode: 53, K_Matrix: tensor([[0.0029]], device='cuda:0') 
Episode: 54, K_Matrix: tensor([[0.0028]], device='cuda:0') 
Episode: 55, K_Matrix: tensor([[0.0028]], device='cuda:0') 
Episode: 56, K_Matrix: tensor([[0.0027]], device='cuda:0') 
Episode: 57, K_Matrix: tensor([[0.0026]], device='cuda:0') 
Episode: 58, K_Matrix: tensor([[0.0026]], device='cuda:0') 
Episode: 59, K_Matrix: tensor([[0.0025]], device='cuda:0') 
Episode: 60, K_Matrix: tensor([[0.0024]], device='cuda:0') 
Episode: 61, K_Matrix: tensor([[0.0023]], device='cuda:0') 
Episode: 62, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 63, K_Matrix: tensor([[0.0021]], device='cuda:0') 
Episode: 64, K_Matrix: tensor([[0.0020]], device='cuda:0') 
Episode: 65, K_Matrix: tensor([[0.0019]], device='cuda:0') 
Episode: 66, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 67, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 68, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 69, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 70, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 71, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 72, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 73, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 74, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 75, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 76, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 77, K_Matrix: tensor([[0.0015]], device='cuda:0') 
Episode: 78, K_Matrix: tensor([[0.0015]], device='cuda:0') 
Episode: 79, K_Matrix: tensor([[0.0015]], device='cuda:0') 
Episode: 80, K_Matrix: tensor([[0.0015]], device='cuda:0') 
Episode: 81, K_Matrix: tensor([[0.0015]], device='cuda:0') 
Episode: 82, K_Matrix: tensor([[0.0015]], device='cuda:0') 
Episode: 83, K_Matrix: tensor([[0.0015]], device='cuda:0') 
Episode: 84, K_Matrix: tensor([[0.0015]], device='cuda:0') 
Episode: 85, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 86, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 87, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 88, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 89, K_Matrix: tensor([[0.0018]], device='cuda:0') 
