Runner Episode: 1	Loss: 3.732013	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 4.002578	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.646965	Accuracy: 0.080 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.946005	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.887972	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 4.031603	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.865327	Accuracy: 0.030 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.877480	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.943966	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.916470	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.846846	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.884103	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.783837	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.798286	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.882180	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.885972	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.947052	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.936943	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.903126	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.851730	Accuracy: 0.140 	 Current Training Data Per Class: 0
