Train Episode: 1	Loss: 0.664696	Accuracy: 0.780	 Current training data: 500
Train Episode: 2	Loss: 0.685128	Accuracy: 0.775	 Current training data: 500
Train Episode: 3	Loss: 0.761678	Accuracy: 0.730	 Current training data: 500
Train Episode: 4	Loss: 0.906342	Accuracy: 0.725	 Current training data: 500
Train Episode: 5	Loss: 0.784717	Accuracy: 0.675	 Current training data: 500
Train Episode: 6	Loss: 0.674644	Accuracy: 0.740	 Current training data: 500
Train Episode: 7	Loss: 0.866490	Accuracy: 0.715	 Current training data: 500
Train Episode: 8	Loss: 0.875409	Accuracy: 0.720	 Current training data: 500
Train Episode: 9	Loss: 0.647846	Accuracy: 0.745	 Current training data: 500
Train Episode: 10	Loss: 0.727806	Accuracy: 0.740	 Current training data: 500
Train Episode: 11	Loss: 0.716200	Accuracy: 0.745	 Current training data: 500
Train Episode: 12	Loss: 0.775576	Accuracy: 0.690	 Current training data: 500
Train Episode: 13	Loss: 0.649995	Accuracy: 0.730	 Current training data: 500
Train Episode: 14	Loss: 0.811295	Accuracy: 0.715	 Current training data: 500
Train Episode: 15	Loss: 0.746695	Accuracy: 0.720	 Current training data: 500
Train Episode: 16	Loss: 0.644360	Accuracy: 0.720	 Current training data: 500
Train Episode: 17	Loss: 0.681135	Accuracy: 0.740	 Current training data: 500
Train Episode: 18	Loss: 0.745587	Accuracy: 0.700	 Current training data: 500
Train Episode: 19	Loss: 0.584291	Accuracy: 0.785	 Current training data: 500
Train Episode: 20	Loss: 0.707480	Accuracy: 0.730	 Current training data: 500
