Runner Episode: 1	Loss: 2.310719	Accuracy: 0.100 	 Current Training Data Per Class: 200
Runner Episode: 2	Loss: 2.338531	Accuracy: 0.100 	 Current Training Data Per Class: 200
Runner Episode: 3	Loss: 2.348058	Accuracy: 0.100 	 Current Training Data Per Class: 200
Runner Episode: 4	Loss: 4.290971	Accuracy: 0.100 	 Current Training Data Per Class: 200
Runner Episode: 5	Loss: 2.412089	Accuracy: 0.100 	 Current Training Data Per Class: 200
Runner Episode: 6	Loss: 2.491112	Accuracy: 0.090 	 Current Training Data Per Class: 200
Runner Episode: 7	Loss: 2.326857	Accuracy: 0.110 	 Current Training Data Per Class: 200
Runner Episode: 8	Loss: 7.798652	Accuracy: 0.110 	 Current Training Data Per Class: 200
Runner Episode: 9	Loss: 8.060810	Accuracy: 0.100 	 Current Training Data Per Class: 200
Runner Episode: 10	Loss: 2.381746	Accuracy: 0.115 	 Current Training Data Per Class: 200
Runner Episode: 11	Loss: 7.135759	Accuracy: 0.155 	 Current Training Data Per Class: 200
Runner Episode: 12	Loss: 3.292468	Accuracy: 0.195 	 Current Training Data Per Class: 200
Runner Episode: 13	Loss: 2.984690	Accuracy: 0.040 	 Current Training Data Per Class: 200
Runner Episode: 14	Loss: 2.352218	Accuracy: 0.255 	 Current Training Data Per Class: 200
Runner Episode: 15	Loss: 5.371036	Accuracy: 0.100 	 Current Training Data Per Class: 200
Runner Episode: 16	Loss: 8.900902	Accuracy: 0.100 	 Current Training Data Per Class: 200
Runner Episode: 17	Loss: 3.493192	Accuracy: 0.080 	 Current Training Data Per Class: 200
Runner Episode: 18	Loss: 3.302267	Accuracy: 0.100 	 Current Training Data Per Class: 200
Runner Episode: 19	Loss: 3.357052	Accuracy: 0.100 	 Current Training Data Per Class: 200
Runner Episode: 20	Loss: 3.888199	Accuracy: 0.100 	 Current Training Data Per Class: 200
