Runner Episode: 1	Loss: 1.950923	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 1.982323	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 2.083740	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 1.913430	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 2.419051	Accuracy: 0.150 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.028838	Accuracy: 0.030 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 1.888069	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 1.989547	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 2.213000	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 2.271491	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 2.099836	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 1.986523	Accuracy: 0.260 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 1.959527	Accuracy: 0.250 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 1.939366	Accuracy: 0.040 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 2.076509	Accuracy: 0.040 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 1.507364	Accuracy: 0.600 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 1.917135	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 2.084393	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 2.108277	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 2.137352	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 21	Loss: 2.192391	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 22	Loss: 2.084781	Accuracy: 0.250 	 Current Training Data Per Class: 10
Runner Episode: 23	Loss: 2.246140	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 24	Loss: 1.873881	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 25	Loss: 2.077155	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 26	Loss: 2.293893	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 27	Loss: 2.359290	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 28	Loss: 2.158000	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 29	Loss: 2.097173	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 30	Loss: 1.937307	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 31	Loss: 1.903680	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 32	Loss: 1.732907	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 33	Loss: 1.933091	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 34	Loss: 2.058413	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 35	Loss: 2.205278	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 36	Loss: 1.954014	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 37	Loss: 2.078771	Accuracy: 0.160 	 Current Training Data Per Class: 10
Runner Episode: 38	Loss: 2.113937	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 39	Loss: 2.197131	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 40	Loss: 2.086495	Accuracy: 0.370 	 Current Training Data Per Class: 10
Runner Episode: 41	Loss: 2.116332	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 42	Loss: 2.165426	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 43	Loss: 2.098696	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 44	Loss: 2.029769	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 45	Loss: 2.237714	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 46	Loss: 1.798009	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 47	Loss: 1.853991	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 48	Loss: 1.718017	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 49	Loss: 1.582903	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 50	Loss: 2.245919	Accuracy: 0.200 	 Current Training Data Per Class: 10
