Runner Episode: 1	Loss: 15.929780	Accuracy: 0.370 	 Current Training Data Per Class: 250
Runner Episode: 2	Loss: 21.722115	Accuracy: 0.280 	 Current Training Data Per Class: 250
Runner Episode: 3	Loss: 15.330045	Accuracy: 0.420 	 Current Training Data Per Class: 250
Runner Episode: 4	Loss: 15.685372	Accuracy: 0.420 	 Current Training Data Per Class: 250
Runner Episode: 5	Loss: 16.352179	Accuracy: 0.325 	 Current Training Data Per Class: 250
Runner Episode: 6	Loss: 15.498038	Accuracy: 0.295 	 Current Training Data Per Class: 250
Runner Episode: 7	Loss: 21.957993	Accuracy: 0.335 	 Current Training Data Per Class: 250
Runner Episode: 8	Loss: 19.364819	Accuracy: 0.380 	 Current Training Data Per Class: 250
Runner Episode: 9	Loss: 21.937817	Accuracy: 0.305 	 Current Training Data Per Class: 250
Runner Episode: 10	Loss: 17.053413	Accuracy: 0.375 	 Current Training Data Per Class: 250
Runner Episode: 11	Loss: 13.919325	Accuracy: 0.365 	 Current Training Data Per Class: 250
Runner Episode: 12	Loss: 18.179403	Accuracy: 0.330 	 Current Training Data Per Class: 250
Runner Episode: 13	Loss: 15.831424	Accuracy: 0.360 	 Current Training Data Per Class: 250
Runner Episode: 14	Loss: 24.664583	Accuracy: 0.325 	 Current Training Data Per Class: 250
Runner Episode: 15	Loss: 20.039858	Accuracy: 0.325 	 Current Training Data Per Class: 250
Runner Episode: 16	Loss: 17.052509	Accuracy: 0.400 	 Current Training Data Per Class: 250
Runner Episode: 17	Loss: 12.460903	Accuracy: 0.445 	 Current Training Data Per Class: 250
Runner Episode: 18	Loss: 15.993960	Accuracy: 0.355 	 Current Training Data Per Class: 250
Runner Episode: 19	Loss: 24.212273	Accuracy: 0.295 	 Current Training Data Per Class: 250
Runner Episode: 20	Loss: 13.210346	Accuracy: 0.485 	 Current Training Data Per Class: 250
Runner Episode: 21	Loss: 22.149033	Accuracy: 0.335 	 Current Training Data Per Class: 250
Runner Episode: 22	Loss: 13.879529	Accuracy: 0.405 	 Current Training Data Per Class: 250
Runner Episode: 23	Loss: 17.912434	Accuracy: 0.335 	 Current Training Data Per Class: 250
Runner Episode: 24	Loss: 13.349535	Accuracy: 0.415 	 Current Training Data Per Class: 250
Runner Episode: 25	Loss: 16.294231	Accuracy: 0.360 	 Current Training Data Per Class: 250
Runner Episode: 26	Loss: 14.884143	Accuracy: 0.380 	 Current Training Data Per Class: 250
Runner Episode: 27	Loss: 18.152054	Accuracy: 0.365 	 Current Training Data Per Class: 250
Runner Episode: 28	Loss: 16.090998	Accuracy: 0.435 	 Current Training Data Per Class: 250
Runner Episode: 29	Loss: 20.359200	Accuracy: 0.320 	 Current Training Data Per Class: 250
Runner Episode: 30	Loss: 19.283363	Accuracy: 0.255 	 Current Training Data Per Class: 250
Runner Episode: 31	Loss: 20.162254	Accuracy: 0.330 	 Current Training Data Per Class: 250
Runner Episode: 32	Loss: 12.982050	Accuracy: 0.440 	 Current Training Data Per Class: 250
Runner Episode: 33	Loss: 16.414370	Accuracy: 0.355 	 Current Training Data Per Class: 250
Runner Episode: 34	Loss: 15.762202	Accuracy: 0.380 	 Current Training Data Per Class: 250
Runner Episode: 35	Loss: 21.658562	Accuracy: 0.330 	 Current Training Data Per Class: 250
Runner Episode: 36	Loss: 18.297222	Accuracy: 0.360 	 Current Training Data Per Class: 250
Runner Episode: 37	Loss: 15.458386	Accuracy: 0.330 	 Current Training Data Per Class: 250
Runner Episode: 38	Loss: 18.614946	Accuracy: 0.375 	 Current Training Data Per Class: 250
Runner Episode: 39	Loss: 18.195433	Accuracy: 0.445 	 Current Training Data Per Class: 250
Runner Episode: 40	Loss: 20.262863	Accuracy: 0.320 	 Current Training Data Per Class: 250
Runner Episode: 41	Loss: 16.696465	Accuracy: 0.380 	 Current Training Data Per Class: 250
Runner Episode: 42	Loss: 22.722971	Accuracy: 0.375 	 Current Training Data Per Class: 250
Runner Episode: 43	Loss: 18.142317	Accuracy: 0.355 	 Current Training Data Per Class: 250
Runner Episode: 44	Loss: 19.127966	Accuracy: 0.425 	 Current Training Data Per Class: 250
Runner Episode: 45	Loss: 16.416096	Accuracy: 0.335 	 Current Training Data Per Class: 250
Runner Episode: 46	Loss: 16.006161	Accuracy: 0.400 	 Current Training Data Per Class: 250
Runner Episode: 47	Loss: 12.574729	Accuracy: 0.430 	 Current Training Data Per Class: 250
Runner Episode: 48	Loss: 16.484106	Accuracy: 0.365 	 Current Training Data Per Class: 250
Runner Episode: 49	Loss: 14.283346	Accuracy: 0.425 	 Current Training Data Per Class: 250
Runner Episode: 50	Loss: 21.184656	Accuracy: 0.365 	 Current Training Data Per Class: 250
