Runner Episode: 1	Loss: 0.593071	Accuracy: 0.800 	 Current Training Data Per Class: 275
Runner Episode: 2	Loss: 1.158427	Accuracy: 0.780 	 Current Training Data Per Class: 275
Runner Episode: 3	Loss: 0.391736	Accuracy: 0.880 	 Current Training Data Per Class: 275
Runner Episode: 4	Loss: 0.699989	Accuracy: 0.810 	 Current Training Data Per Class: 275
Runner Episode: 5	Loss: 1.060631	Accuracy: 0.710 	 Current Training Data Per Class: 275
Runner Episode: 6	Loss: 0.547084	Accuracy: 0.830 	 Current Training Data Per Class: 275
Runner Episode: 7	Loss: 0.490154	Accuracy: 0.850 	 Current Training Data Per Class: 275
Runner Episode: 8	Loss: 0.289987	Accuracy: 0.900 	 Current Training Data Per Class: 275
Runner Episode: 9	Loss: 1.384709	Accuracy: 0.670 	 Current Training Data Per Class: 275
Runner Episode: 10	Loss: 1.494048	Accuracy: 0.750 	 Current Training Data Per Class: 275
Runner Episode: 11	Loss: 0.810985	Accuracy: 0.770 	 Current Training Data Per Class: 275
Runner Episode: 12	Loss: 0.380820	Accuracy: 0.870 	 Current Training Data Per Class: 275
Runner Episode: 13	Loss: 0.450540	Accuracy: 0.880 	 Current Training Data Per Class: 275
Runner Episode: 14	Loss: 1.514746	Accuracy: 0.710 	 Current Training Data Per Class: 275
Runner Episode: 15	Loss: 0.579630	Accuracy: 0.820 	 Current Training Data Per Class: 275
Runner Episode: 16	Loss: 0.143929	Accuracy: 0.960 	 Current Training Data Per Class: 275
Runner Episode: 17	Loss: 0.444823	Accuracy: 0.900 	 Current Training Data Per Class: 275
Runner Episode: 18	Loss: 0.818438	Accuracy: 0.820 	 Current Training Data Per Class: 275
Runner Episode: 19	Loss: 1.169371	Accuracy: 0.730 	 Current Training Data Per Class: 275
Runner Episode: 20	Loss: 0.906392	Accuracy: 0.770 	 Current Training Data Per Class: 275
Runner Episode: 21	Loss: 3.055964	Accuracy: 0.610 	 Current Training Data Per Class: 275
Runner Episode: 22	Loss: 0.934505	Accuracy: 0.840 	 Current Training Data Per Class: 275
Runner Episode: 23	Loss: 0.853632	Accuracy: 0.820 	 Current Training Data Per Class: 275
Runner Episode: 24	Loss: 0.414694	Accuracy: 0.860 	 Current Training Data Per Class: 275
Runner Episode: 25	Loss: 2.285382	Accuracy: 0.610 	 Current Training Data Per Class: 275
Runner Episode: 26	Loss: 1.376463	Accuracy: 0.800 	 Current Training Data Per Class: 275
Runner Episode: 27	Loss: 1.062051	Accuracy: 0.760 	 Current Training Data Per Class: 275
Runner Episode: 28	Loss: 0.731767	Accuracy: 0.830 	 Current Training Data Per Class: 275
Runner Episode: 29	Loss: 1.163969	Accuracy: 0.750 	 Current Training Data Per Class: 275
Runner Episode: 30	Loss: 0.553925	Accuracy: 0.820 	 Current Training Data Per Class: 275
Runner Episode: 31	Loss: 0.506884	Accuracy: 0.850 	 Current Training Data Per Class: 275
Runner Episode: 32	Loss: 0.651057	Accuracy: 0.820 	 Current Training Data Per Class: 275
Runner Episode: 33	Loss: 0.964732	Accuracy: 0.780 	 Current Training Data Per Class: 275
Runner Episode: 34	Loss: 0.527384	Accuracy: 0.870 	 Current Training Data Per Class: 275
Runner Episode: 35	Loss: 0.525698	Accuracy: 0.820 	 Current Training Data Per Class: 275
Runner Episode: 36	Loss: 1.060703	Accuracy: 0.740 	 Current Training Data Per Class: 275
Runner Episode: 37	Loss: 0.523265	Accuracy: 0.860 	 Current Training Data Per Class: 275
Runner Episode: 38	Loss: 0.940829	Accuracy: 0.800 	 Current Training Data Per Class: 275
Runner Episode: 39	Loss: 0.776687	Accuracy: 0.820 	 Current Training Data Per Class: 275
Runner Episode: 40	Loss: 0.554725	Accuracy: 0.840 	 Current Training Data Per Class: 275
Runner Episode: 41	Loss: 2.637342	Accuracy: 0.610 	 Current Training Data Per Class: 275
Runner Episode: 42	Loss: 0.511215	Accuracy: 0.790 	 Current Training Data Per Class: 275
Runner Episode: 43	Loss: 0.720064	Accuracy: 0.770 	 Current Training Data Per Class: 275
Runner Episode: 44	Loss: 1.064700	Accuracy: 0.770 	 Current Training Data Per Class: 275
Runner Episode: 45	Loss: 2.260859	Accuracy: 0.510 	 Current Training Data Per Class: 275
Runner Episode: 46	Loss: 0.433743	Accuracy: 0.860 	 Current Training Data Per Class: 275
Runner Episode: 47	Loss: 0.692018	Accuracy: 0.850 	 Current Training Data Per Class: 275
Runner Episode: 48	Loss: 0.750329	Accuracy: 0.840 	 Current Training Data Per Class: 275
Runner Episode: 49	Loss: 0.394205	Accuracy: 0.860 	 Current Training Data Per Class: 275
Runner Episode: 50	Loss: 1.772496	Accuracy: 0.640 	 Current Training Data Per Class: 275
