Runner Episode: 1	Loss: 0.766025	Accuracy: 0.780 	 Current Training Data Per Class: 100
Runner Episode: 2	Loss: 1.428674	Accuracy: 0.690 	 Current Training Data Per Class: 100
Runner Episode: 3	Loss: 0.346354	Accuracy: 0.890 	 Current Training Data Per Class: 100
Runner Episode: 4	Loss: 0.439161	Accuracy: 0.850 	 Current Training Data Per Class: 100
Runner Episode: 5	Loss: 0.704570	Accuracy: 0.750 	 Current Training Data Per Class: 100
Runner Episode: 6	Loss: 0.515035	Accuracy: 0.850 	 Current Training Data Per Class: 100
Runner Episode: 7	Loss: 0.516361	Accuracy: 0.840 	 Current Training Data Per Class: 100
Runner Episode: 8	Loss: 0.306751	Accuracy: 0.920 	 Current Training Data Per Class: 100
Runner Episode: 9	Loss: 1.081744	Accuracy: 0.730 	 Current Training Data Per Class: 100
Runner Episode: 10	Loss: 0.628614	Accuracy: 0.800 	 Current Training Data Per Class: 100
Runner Episode: 11	Loss: 0.536012	Accuracy: 0.850 	 Current Training Data Per Class: 100
Runner Episode: 12	Loss: 0.469544	Accuracy: 0.820 	 Current Training Data Per Class: 100
Runner Episode: 13	Loss: 0.298435	Accuracy: 0.910 	 Current Training Data Per Class: 100
Runner Episode: 14	Loss: 0.610997	Accuracy: 0.740 	 Current Training Data Per Class: 100
Runner Episode: 15	Loss: 0.687283	Accuracy: 0.810 	 Current Training Data Per Class: 100
Runner Episode: 16	Loss: 0.354460	Accuracy: 0.910 	 Current Training Data Per Class: 100
Runner Episode: 17	Loss: 0.468980	Accuracy: 0.860 	 Current Training Data Per Class: 100
Runner Episode: 18	Loss: 0.691948	Accuracy: 0.730 	 Current Training Data Per Class: 100
Runner Episode: 19	Loss: 0.576206	Accuracy: 0.840 	 Current Training Data Per Class: 100
Runner Episode: 20	Loss: 0.582599	Accuracy: 0.820 	 Current Training Data Per Class: 100
Runner Episode: 21	Loss: 0.891509	Accuracy: 0.780 	 Current Training Data Per Class: 100
Runner Episode: 22	Loss: 0.836451	Accuracy: 0.740 	 Current Training Data Per Class: 100
Runner Episode: 23	Loss: 0.559938	Accuracy: 0.810 	 Current Training Data Per Class: 100
Runner Episode: 24	Loss: 0.525406	Accuracy: 0.810 	 Current Training Data Per Class: 100
Runner Episode: 25	Loss: 1.184052	Accuracy: 0.650 	 Current Training Data Per Class: 100
Runner Episode: 26	Loss: 0.641060	Accuracy: 0.820 	 Current Training Data Per Class: 100
Runner Episode: 27	Loss: 0.528853	Accuracy: 0.830 	 Current Training Data Per Class: 100
Runner Episode: 28	Loss: 0.695023	Accuracy: 0.720 	 Current Training Data Per Class: 100
Runner Episode: 29	Loss: 0.684773	Accuracy: 0.780 	 Current Training Data Per Class: 100
Runner Episode: 30	Loss: 0.384303	Accuracy: 0.830 	 Current Training Data Per Class: 100
Runner Episode: 31	Loss: 0.432423	Accuracy: 0.860 	 Current Training Data Per Class: 100
Runner Episode: 32	Loss: 0.300660	Accuracy: 0.880 	 Current Training Data Per Class: 100
Runner Episode: 33	Loss: 0.579018	Accuracy: 0.780 	 Current Training Data Per Class: 100
Runner Episode: 34	Loss: 0.808243	Accuracy: 0.740 	 Current Training Data Per Class: 100
Runner Episode: 35	Loss: 0.346541	Accuracy: 0.850 	 Current Training Data Per Class: 100
Runner Episode: 36	Loss: 0.962016	Accuracy: 0.730 	 Current Training Data Per Class: 100
Runner Episode: 37	Loss: 0.500851	Accuracy: 0.830 	 Current Training Data Per Class: 100
Runner Episode: 38	Loss: 0.690825	Accuracy: 0.750 	 Current Training Data Per Class: 100
Runner Episode: 39	Loss: 0.597116	Accuracy: 0.830 	 Current Training Data Per Class: 100
Runner Episode: 40	Loss: 0.521015	Accuracy: 0.810 	 Current Training Data Per Class: 100
Runner Episode: 41	Loss: 0.947088	Accuracy: 0.730 	 Current Training Data Per Class: 100
Runner Episode: 42	Loss: 0.995740	Accuracy: 0.680 	 Current Training Data Per Class: 100
Runner Episode: 43	Loss: 0.654562	Accuracy: 0.780 	 Current Training Data Per Class: 100
Runner Episode: 44	Loss: 0.686485	Accuracy: 0.840 	 Current Training Data Per Class: 100
Runner Episode: 45	Loss: 0.803370	Accuracy: 0.740 	 Current Training Data Per Class: 100
Runner Episode: 46	Loss: 0.546485	Accuracy: 0.840 	 Current Training Data Per Class: 100
Runner Episode: 47	Loss: 1.111308	Accuracy: 0.690 	 Current Training Data Per Class: 100
Runner Episode: 48	Loss: 0.434851	Accuracy: 0.850 	 Current Training Data Per Class: 100
Runner Episode: 49	Loss: 0.296151	Accuracy: 0.900 	 Current Training Data Per Class: 100
Runner Episode: 50	Loss: 1.198305	Accuracy: 0.650 	 Current Training Data Per Class: 100
