Runner Episode: 1	Loss: 0.604108	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 2	Loss: 0.512936	Accuracy: 0.810 	 Current Training Data Per Class: 80
Runner Episode: 3	Loss: 0.438448	Accuracy: 0.870 	 Current Training Data Per Class: 80
Runner Episode: 4	Loss: 0.841952	Accuracy: 0.780 	 Current Training Data Per Class: 80
Runner Episode: 5	Loss: 0.708588	Accuracy: 0.690 	 Current Training Data Per Class: 80
Runner Episode: 6	Loss: 0.642985	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 7	Loss: 0.393052	Accuracy: 0.870 	 Current Training Data Per Class: 80
Runner Episode: 8	Loss: 0.310329	Accuracy: 0.890 	 Current Training Data Per Class: 80
Runner Episode: 9	Loss: 1.051273	Accuracy: 0.690 	 Current Training Data Per Class: 80
Runner Episode: 10	Loss: 0.442080	Accuracy: 0.850 	 Current Training Data Per Class: 80
Runner Episode: 11	Loss: 0.627930	Accuracy: 0.790 	 Current Training Data Per Class: 80
Runner Episode: 12	Loss: 0.322381	Accuracy: 0.940 	 Current Training Data Per Class: 80
Runner Episode: 13	Loss: 0.354489	Accuracy: 0.880 	 Current Training Data Per Class: 80
Runner Episode: 14	Loss: 0.665771	Accuracy: 0.780 	 Current Training Data Per Class: 80
Runner Episode: 15	Loss: 0.711249	Accuracy: 0.820 	 Current Training Data Per Class: 80
Runner Episode: 16	Loss: 0.403119	Accuracy: 0.900 	 Current Training Data Per Class: 80
Runner Episode: 17	Loss: 0.277370	Accuracy: 0.920 	 Current Training Data Per Class: 80
Runner Episode: 18	Loss: 0.364993	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 19	Loss: 0.642910	Accuracy: 0.760 	 Current Training Data Per Class: 80
Runner Episode: 20	Loss: 0.545464	Accuracy: 0.850 	 Current Training Data Per Class: 80
Runner Episode: 21	Loss: 0.977715	Accuracy: 0.720 	 Current Training Data Per Class: 80
Runner Episode: 22	Loss: 0.831536	Accuracy: 0.780 	 Current Training Data Per Class: 80
Runner Episode: 23	Loss: 0.457175	Accuracy: 0.870 	 Current Training Data Per Class: 80
Runner Episode: 24	Loss: 0.400908	Accuracy: 0.890 	 Current Training Data Per Class: 80
Runner Episode: 25	Loss: 1.028622	Accuracy: 0.700 	 Current Training Data Per Class: 80
Runner Episode: 26	Loss: 0.575576	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 27	Loss: 0.608901	Accuracy: 0.800 	 Current Training Data Per Class: 80
Runner Episode: 28	Loss: 0.643390	Accuracy: 0.870 	 Current Training Data Per Class: 80
Runner Episode: 29	Loss: 0.450279	Accuracy: 0.900 	 Current Training Data Per Class: 80
Runner Episode: 30	Loss: 0.471529	Accuracy: 0.870 	 Current Training Data Per Class: 80
Runner Episode: 31	Loss: 0.761285	Accuracy: 0.720 	 Current Training Data Per Class: 80
Runner Episode: 32	Loss: 0.277096	Accuracy: 0.940 	 Current Training Data Per Class: 80
Runner Episode: 33	Loss: 0.679758	Accuracy: 0.790 	 Current Training Data Per Class: 80
Runner Episode: 34	Loss: 0.500575	Accuracy: 0.810 	 Current Training Data Per Class: 80
Runner Episode: 35	Loss: 0.411373	Accuracy: 0.820 	 Current Training Data Per Class: 80
Runner Episode: 36	Loss: 0.980245	Accuracy: 0.740 	 Current Training Data Per Class: 80
Runner Episode: 37	Loss: 0.676143	Accuracy: 0.770 	 Current Training Data Per Class: 80
Runner Episode: 38	Loss: 0.842083	Accuracy: 0.770 	 Current Training Data Per Class: 80
Runner Episode: 39	Loss: 0.586453	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 40	Loss: 0.487920	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 41	Loss: 1.201748	Accuracy: 0.690 	 Current Training Data Per Class: 80
Runner Episode: 42	Loss: 0.506094	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 43	Loss: 0.837397	Accuracy: 0.740 	 Current Training Data Per Class: 80
Runner Episode: 44	Loss: 0.729027	Accuracy: 0.760 	 Current Training Data Per Class: 80
Runner Episode: 45	Loss: 0.657136	Accuracy: 0.760 	 Current Training Data Per Class: 80
Runner Episode: 46	Loss: 0.635724	Accuracy: 0.710 	 Current Training Data Per Class: 80
Runner Episode: 47	Loss: 0.658386	Accuracy: 0.850 	 Current Training Data Per Class: 80
Runner Episode: 48	Loss: 0.357291	Accuracy: 0.880 	 Current Training Data Per Class: 80
Runner Episode: 49	Loss: 0.257520	Accuracy: 0.920 	 Current Training Data Per Class: 80
Runner Episode: 50	Loss: 1.064574	Accuracy: 0.690 	 Current Training Data Per Class: 80
