Runner Episode: 1	Loss: 0.631165	Accuracy: 0.690 	 Current Training Data Per Class: 140
Runner Episode: 2	Loss: 0.277954	Accuracy: 0.910 	 Current Training Data Per Class: 140
Runner Episode: 3	Loss: 0.484750	Accuracy: 0.790 	 Current Training Data Per Class: 140
Runner Episode: 4	Loss: 0.587306	Accuracy: 0.810 	 Current Training Data Per Class: 140
Runner Episode: 5	Loss: 0.727634	Accuracy: 0.730 	 Current Training Data Per Class: 140
Runner Episode: 6	Loss: 0.317401	Accuracy: 0.930 	 Current Training Data Per Class: 140
Runner Episode: 7	Loss: 0.732615	Accuracy: 0.720 	 Current Training Data Per Class: 140
Runner Episode: 8	Loss: 0.515103	Accuracy: 0.790 	 Current Training Data Per Class: 140
Runner Episode: 9	Loss: 0.607544	Accuracy: 0.820 	 Current Training Data Per Class: 140
Runner Episode: 10	Loss: 0.417004	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 11	Loss: 0.564013	Accuracy: 0.810 	 Current Training Data Per Class: 140
Runner Episode: 12	Loss: 0.732365	Accuracy: 0.720 	 Current Training Data Per Class: 140
Runner Episode: 13	Loss: 0.332332	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 14	Loss: 0.465445	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 15	Loss: 0.562406	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 16	Loss: 0.555569	Accuracy: 0.750 	 Current Training Data Per Class: 140
Runner Episode: 17	Loss: 0.550437	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 18	Loss: 0.601013	Accuracy: 0.770 	 Current Training Data Per Class: 140
Runner Episode: 19	Loss: 0.560094	Accuracy: 0.840 	 Current Training Data Per Class: 140
Runner Episode: 20	Loss: 0.574550	Accuracy: 0.790 	 Current Training Data Per Class: 140
Runner Episode: 21	Loss: 0.466661	Accuracy: 0.820 	 Current Training Data Per Class: 140
Runner Episode: 22	Loss: 0.490628	Accuracy: 0.790 	 Current Training Data Per Class: 140
Runner Episode: 23	Loss: 0.641569	Accuracy: 0.780 	 Current Training Data Per Class: 140
Runner Episode: 24	Loss: 0.504608	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 25	Loss: 0.157336	Accuracy: 0.920 	 Current Training Data Per Class: 140
Runner Episode: 26	Loss: 0.671619	Accuracy: 0.810 	 Current Training Data Per Class: 140
Runner Episode: 27	Loss: 0.546329	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 28	Loss: 0.426888	Accuracy: 0.900 	 Current Training Data Per Class: 140
Runner Episode: 29	Loss: 0.570222	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 30	Loss: 0.616016	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 31	Loss: 0.495536	Accuracy: 0.850 	 Current Training Data Per Class: 140
Runner Episode: 32	Loss: 0.610581	Accuracy: 0.810 	 Current Training Data Per Class: 140
Runner Episode: 33	Loss: 0.770087	Accuracy: 0.670 	 Current Training Data Per Class: 140
Runner Episode: 34	Loss: 0.511307	Accuracy: 0.750 	 Current Training Data Per Class: 140
Runner Episode: 35	Loss: 0.512338	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 36	Loss: 0.285883	Accuracy: 0.910 	 Current Training Data Per Class: 140
Runner Episode: 37	Loss: 0.429074	Accuracy: 0.840 	 Current Training Data Per Class: 140
Runner Episode: 38	Loss: 0.619117	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 39	Loss: 0.612877	Accuracy: 0.810 	 Current Training Data Per Class: 140
Runner Episode: 40	Loss: 0.729330	Accuracy: 0.710 	 Current Training Data Per Class: 140
Runner Episode: 41	Loss: 0.623947	Accuracy: 0.820 	 Current Training Data Per Class: 140
Runner Episode: 42	Loss: 0.385668	Accuracy: 0.880 	 Current Training Data Per Class: 140
Runner Episode: 43	Loss: 0.444683	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 44	Loss: 1.004073	Accuracy: 0.550 	 Current Training Data Per Class: 140
Runner Episode: 45	Loss: 0.631589	Accuracy: 0.750 	 Current Training Data Per Class: 140
Runner Episode: 46	Loss: 0.409132	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 47	Loss: 0.472605	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 48	Loss: 0.576193	Accuracy: 0.750 	 Current Training Data Per Class: 140
Runner Episode: 49	Loss: 0.920442	Accuracy: 0.690 	 Current Training Data Per Class: 140
Runner Episode: 50	Loss: 0.450341	Accuracy: 0.870 	 Current Training Data Per Class: 140
