Runner Episode: 1	Loss: 0.468910	Accuracy: 0.830 	 Current Training Data Per Class: 325
Runner Episode: 2	Loss: 0.410461	Accuracy: 0.850 	 Current Training Data Per Class: 325
Runner Episode: 3	Loss: 0.277743	Accuracy: 0.880 	 Current Training Data Per Class: 325
Runner Episode: 4	Loss: 0.352744	Accuracy: 0.880 	 Current Training Data Per Class: 325
Runner Episode: 5	Loss: 0.988075	Accuracy: 0.600 	 Current Training Data Per Class: 325
Runner Episode: 6	Loss: 0.459256	Accuracy: 0.850 	 Current Training Data Per Class: 325
Runner Episode: 7	Loss: 0.518610	Accuracy: 0.810 	 Current Training Data Per Class: 325
Runner Episode: 8	Loss: 0.580254	Accuracy: 0.800 	 Current Training Data Per Class: 325
Runner Episode: 9	Loss: 0.531852	Accuracy: 0.850 	 Current Training Data Per Class: 325
Runner Episode: 10	Loss: 0.445951	Accuracy: 0.830 	 Current Training Data Per Class: 325
Runner Episode: 11	Loss: 0.628991	Accuracy: 0.800 	 Current Training Data Per Class: 325
Runner Episode: 12	Loss: 0.612982	Accuracy: 0.780 	 Current Training Data Per Class: 325
Runner Episode: 13	Loss: 0.322803	Accuracy: 0.890 	 Current Training Data Per Class: 325
Runner Episode: 14	Loss: 0.328535	Accuracy: 0.880 	 Current Training Data Per Class: 325
Runner Episode: 15	Loss: 0.268958	Accuracy: 0.890 	 Current Training Data Per Class: 325
Runner Episode: 16	Loss: 0.280664	Accuracy: 0.920 	 Current Training Data Per Class: 325
Runner Episode: 17	Loss: 0.342693	Accuracy: 0.870 	 Current Training Data Per Class: 325
Runner Episode: 18	Loss: 0.758545	Accuracy: 0.750 	 Current Training Data Per Class: 325
Runner Episode: 19	Loss: 0.418127	Accuracy: 0.870 	 Current Training Data Per Class: 325
Runner Episode: 20	Loss: 0.506595	Accuracy: 0.800 	 Current Training Data Per Class: 325
Runner Episode: 21	Loss: 0.260795	Accuracy: 0.920 	 Current Training Data Per Class: 325
Runner Episode: 22	Loss: 0.254122	Accuracy: 0.930 	 Current Training Data Per Class: 325
Runner Episode: 23	Loss: 0.398291	Accuracy: 0.830 	 Current Training Data Per Class: 325
Runner Episode: 24	Loss: 0.547695	Accuracy: 0.800 	 Current Training Data Per Class: 325
Runner Episode: 25	Loss: 0.185884	Accuracy: 0.970 	 Current Training Data Per Class: 325
Runner Episode: 26	Loss: 0.491422	Accuracy: 0.850 	 Current Training Data Per Class: 325
Runner Episode: 27	Loss: 0.657389	Accuracy: 0.750 	 Current Training Data Per Class: 325
Runner Episode: 28	Loss: 0.258092	Accuracy: 0.900 	 Current Training Data Per Class: 325
Runner Episode: 29	Loss: 0.616339	Accuracy: 0.860 	 Current Training Data Per Class: 325
Runner Episode: 30	Loss: 0.502871	Accuracy: 0.860 	 Current Training Data Per Class: 325
Runner Episode: 31	Loss: 0.369633	Accuracy: 0.870 	 Current Training Data Per Class: 325
Runner Episode: 32	Loss: 0.533262	Accuracy: 0.840 	 Current Training Data Per Class: 325
Runner Episode: 33	Loss: 0.486911	Accuracy: 0.800 	 Current Training Data Per Class: 325
Runner Episode: 34	Loss: 0.367224	Accuracy: 0.870 	 Current Training Data Per Class: 325
Runner Episode: 35	Loss: 0.868203	Accuracy: 0.650 	 Current Training Data Per Class: 325
Runner Episode: 36	Loss: 0.485896	Accuracy: 0.850 	 Current Training Data Per Class: 325
Runner Episode: 37	Loss: 0.530166	Accuracy: 0.840 	 Current Training Data Per Class: 325
Runner Episode: 38	Loss: 0.770417	Accuracy: 0.730 	 Current Training Data Per Class: 325
Runner Episode: 39	Loss: 0.541414	Accuracy: 0.850 	 Current Training Data Per Class: 325
Runner Episode: 40	Loss: 0.666132	Accuracy: 0.750 	 Current Training Data Per Class: 325
Runner Episode: 41	Loss: 0.662349	Accuracy: 0.800 	 Current Training Data Per Class: 325
Runner Episode: 42	Loss: 0.197961	Accuracy: 0.940 	 Current Training Data Per Class: 325
Runner Episode: 43	Loss: 0.435034	Accuracy: 0.800 	 Current Training Data Per Class: 325
Runner Episode: 44	Loss: 0.668041	Accuracy: 0.720 	 Current Training Data Per Class: 325
Runner Episode: 45	Loss: 0.614047	Accuracy: 0.810 	 Current Training Data Per Class: 325
Runner Episode: 46	Loss: 0.369748	Accuracy: 0.890 	 Current Training Data Per Class: 325
Runner Episode: 47	Loss: 0.350071	Accuracy: 0.880 	 Current Training Data Per Class: 325
Runner Episode: 48	Loss: 0.439956	Accuracy: 0.830 	 Current Training Data Per Class: 325
Runner Episode: 49	Loss: 0.710486	Accuracy: 0.780 	 Current Training Data Per Class: 325
Runner Episode: 50	Loss: 0.490645	Accuracy: 0.810 	 Current Training Data Per Class: 325
