Runner Episode: 1	Loss: 2.008933	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 2.180910	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 1.548442	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 1.979754	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 1.617997	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.428028	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 2.127269	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 2.182177	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 2.042363	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 2.213954	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 2.120661	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 2.219459	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 1.680401	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 1.916320	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 2.254854	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 2.463856	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 1.773422	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 2.305410	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 2.437972	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 2.225010	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 21	Loss: 2.093198	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 22	Loss: 1.718398	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 23	Loss: 1.995690	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 24	Loss: 2.028203	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 25	Loss: 2.235807	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 26	Loss: 2.100987	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 27	Loss: 2.149710	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 28	Loss: 2.218524	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 29	Loss: 2.267700	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 30	Loss: 1.993222	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 31	Loss: 1.655655	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 32	Loss: 2.049032	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 33	Loss: 1.554756	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 34	Loss: 1.931527	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 35	Loss: 2.116068	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 36	Loss: 2.394879	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 37	Loss: 2.051137	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 38	Loss: 2.060906	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 39	Loss: 2.169330	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 40	Loss: 2.093182	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 41	Loss: 1.940668	Accuracy: 0.250 	 Current Training Data Per Class: 10
Runner Episode: 42	Loss: 2.242576	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 43	Loss: 1.982944	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 44	Loss: 1.646000	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 45	Loss: 1.997118	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 46	Loss: 2.237969	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 47	Loss: 1.968024	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 48	Loss: 2.115488	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 49	Loss: 2.135883	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 50	Loss: 2.313373	Accuracy: 0.200 	 Current Training Data Per Class: 10
