Runner Episode: 1	Loss: 0.362332	Accuracy: 0.860 	 Current Training Data Per Class: 180
Runner Episode: 2	Loss: 0.801239	Accuracy: 0.790 	 Current Training Data Per Class: 180
Runner Episode: 3	Loss: 0.231360	Accuracy: 0.920 	 Current Training Data Per Class: 180
Runner Episode: 4	Loss: 0.456050	Accuracy: 0.810 	 Current Training Data Per Class: 180
Runner Episode: 5	Loss: 0.201798	Accuracy: 0.930 	 Current Training Data Per Class: 180
Runner Episode: 6	Loss: 0.431805	Accuracy: 0.860 	 Current Training Data Per Class: 180
Runner Episode: 7	Loss: 0.430059	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 8	Loss: 0.436054	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 9	Loss: 0.390722	Accuracy: 0.880 	 Current Training Data Per Class: 180
Runner Episode: 10	Loss: 0.506515	Accuracy: 0.820 	 Current Training Data Per Class: 180
Runner Episode: 11	Loss: 0.693082	Accuracy: 0.800 	 Current Training Data Per Class: 180
Runner Episode: 12	Loss: 0.334724	Accuracy: 0.900 	 Current Training Data Per Class: 180
Runner Episode: 13	Loss: 0.275484	Accuracy: 0.900 	 Current Training Data Per Class: 180
Runner Episode: 14	Loss: 0.636510	Accuracy: 0.780 	 Current Training Data Per Class: 180
Runner Episode: 15	Loss: 0.338026	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 16	Loss: 0.711979	Accuracy: 0.800 	 Current Training Data Per Class: 180
Runner Episode: 17	Loss: 0.743049	Accuracy: 0.820 	 Current Training Data Per Class: 180
Runner Episode: 18	Loss: 1.110594	Accuracy: 0.670 	 Current Training Data Per Class: 180
Runner Episode: 19	Loss: 0.479362	Accuracy: 0.800 	 Current Training Data Per Class: 180
Runner Episode: 20	Loss: 0.943496	Accuracy: 0.740 	 Current Training Data Per Class: 180
Runner Episode: 21	Loss: 0.258976	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 22	Loss: 0.409121	Accuracy: 0.860 	 Current Training Data Per Class: 180
Runner Episode: 23	Loss: 0.503069	Accuracy: 0.870 	 Current Training Data Per Class: 180
Runner Episode: 24	Loss: 0.317837	Accuracy: 0.930 	 Current Training Data Per Class: 180
Runner Episode: 25	Loss: 0.334501	Accuracy: 0.900 	 Current Training Data Per Class: 180
Runner Episode: 26	Loss: 0.405098	Accuracy: 0.870 	 Current Training Data Per Class: 180
Runner Episode: 27	Loss: 0.427210	Accuracy: 0.870 	 Current Training Data Per Class: 180
Runner Episode: 28	Loss: 0.254591	Accuracy: 0.940 	 Current Training Data Per Class: 180
Runner Episode: 29	Loss: 0.480781	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 30	Loss: 0.232089	Accuracy: 0.940 	 Current Training Data Per Class: 180
Runner Episode: 31	Loss: 0.120197	Accuracy: 0.970 	 Current Training Data Per Class: 180
Runner Episode: 32	Loss: 0.453997	Accuracy: 0.860 	 Current Training Data Per Class: 180
Runner Episode: 33	Loss: 0.371751	Accuracy: 0.900 	 Current Training Data Per Class: 180
Runner Episode: 34	Loss: 0.925273	Accuracy: 0.750 	 Current Training Data Per Class: 180
Runner Episode: 35	Loss: 0.451405	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 36	Loss: 0.480822	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 37	Loss: 0.385692	Accuracy: 0.860 	 Current Training Data Per Class: 180
Runner Episode: 38	Loss: 0.288780	Accuracy: 0.890 	 Current Training Data Per Class: 180
Runner Episode: 39	Loss: 0.690498	Accuracy: 0.790 	 Current Training Data Per Class: 180
Runner Episode: 40	Loss: 0.468370	Accuracy: 0.830 	 Current Training Data Per Class: 180
Runner Episode: 41	Loss: 0.781023	Accuracy: 0.780 	 Current Training Data Per Class: 180
Runner Episode: 42	Loss: 0.463940	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 43	Loss: 0.338818	Accuracy: 0.900 	 Current Training Data Per Class: 180
Runner Episode: 44	Loss: 0.275955	Accuracy: 0.890 	 Current Training Data Per Class: 180
Runner Episode: 45	Loss: 0.642434	Accuracy: 0.830 	 Current Training Data Per Class: 180
Runner Episode: 46	Loss: 0.679382	Accuracy: 0.810 	 Current Training Data Per Class: 180
Runner Episode: 47	Loss: 0.379125	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 48	Loss: 0.187999	Accuracy: 0.930 	 Current Training Data Per Class: 180
Runner Episode: 49	Loss: 0.750832	Accuracy: 0.810 	 Current Training Data Per Class: 180
Runner Episode: 50	Loss: 0.397144	Accuracy: 0.860 	 Current Training Data Per Class: 180
