Runner Episode: 1	Loss: 0.633576	Accuracy: 0.800 	 Current Training Data Per Class: 60
Runner Episode: 2	Loss: 0.382023	Accuracy: 0.870 	 Current Training Data Per Class: 60
Runner Episode: 3	Loss: 0.981863	Accuracy: 0.750 	 Current Training Data Per Class: 60
Runner Episode: 4	Loss: 0.891918	Accuracy: 0.660 	 Current Training Data Per Class: 60
Runner Episode: 5	Loss: 0.600554	Accuracy: 0.810 	 Current Training Data Per Class: 60
Runner Episode: 6	Loss: 0.952135	Accuracy: 0.670 	 Current Training Data Per Class: 60
Runner Episode: 7	Loss: 0.993929	Accuracy: 0.610 	 Current Training Data Per Class: 60
Runner Episode: 8	Loss: 0.611905	Accuracy: 0.830 	 Current Training Data Per Class: 60
Runner Episode: 9	Loss: 0.520639	Accuracy: 0.820 	 Current Training Data Per Class: 60
Runner Episode: 10	Loss: 0.458743	Accuracy: 0.870 	 Current Training Data Per Class: 60
Runner Episode: 11	Loss: 0.619873	Accuracy: 0.740 	 Current Training Data Per Class: 60
Runner Episode: 12	Loss: 0.908641	Accuracy: 0.730 	 Current Training Data Per Class: 60
Runner Episode: 13	Loss: 0.545175	Accuracy: 0.840 	 Current Training Data Per Class: 60
Runner Episode: 14	Loss: 0.381294	Accuracy: 0.840 	 Current Training Data Per Class: 60
Runner Episode: 15	Loss: 0.394560	Accuracy: 0.870 	 Current Training Data Per Class: 60
Runner Episode: 16	Loss: 0.418548	Accuracy: 0.850 	 Current Training Data Per Class: 60
Runner Episode: 17	Loss: 0.175257	Accuracy: 0.940 	 Current Training Data Per Class: 60
Runner Episode: 18	Loss: 0.858443	Accuracy: 0.720 	 Current Training Data Per Class: 60
Runner Episode: 19	Loss: 0.574558	Accuracy: 0.850 	 Current Training Data Per Class: 60
Runner Episode: 20	Loss: 0.572444	Accuracy: 0.810 	 Current Training Data Per Class: 60
Runner Episode: 21	Loss: 0.491663	Accuracy: 0.880 	 Current Training Data Per Class: 60
Runner Episode: 22	Loss: 0.727541	Accuracy: 0.800 	 Current Training Data Per Class: 60
Runner Episode: 23	Loss: 0.742283	Accuracy: 0.700 	 Current Training Data Per Class: 60
Runner Episode: 24	Loss: 0.780201	Accuracy: 0.780 	 Current Training Data Per Class: 60
Runner Episode: 25	Loss: 0.486487	Accuracy: 0.870 	 Current Training Data Per Class: 60
Runner Episode: 26	Loss: 0.606134	Accuracy: 0.800 	 Current Training Data Per Class: 60
Runner Episode: 27	Loss: 0.760049	Accuracy: 0.750 	 Current Training Data Per Class: 60
Runner Episode: 28	Loss: 0.646821	Accuracy: 0.810 	 Current Training Data Per Class: 60
Runner Episode: 29	Loss: 0.605556	Accuracy: 0.820 	 Current Training Data Per Class: 60
Runner Episode: 30	Loss: 0.541825	Accuracy: 0.820 	 Current Training Data Per Class: 60
Runner Episode: 31	Loss: 0.657256	Accuracy: 0.800 	 Current Training Data Per Class: 60
Runner Episode: 32	Loss: 0.463356	Accuracy: 0.830 	 Current Training Data Per Class: 60
Runner Episode: 33	Loss: 0.689959	Accuracy: 0.750 	 Current Training Data Per Class: 60
Runner Episode: 34	Loss: 0.640488	Accuracy: 0.820 	 Current Training Data Per Class: 60
Runner Episode: 35	Loss: 0.219239	Accuracy: 0.930 	 Current Training Data Per Class: 60
Runner Episode: 36	Loss: 0.968650	Accuracy: 0.650 	 Current Training Data Per Class: 60
Runner Episode: 37	Loss: 0.470656	Accuracy: 0.850 	 Current Training Data Per Class: 60
Runner Episode: 38	Loss: 0.816367	Accuracy: 0.790 	 Current Training Data Per Class: 60
Runner Episode: 39	Loss: 0.818613	Accuracy: 0.720 	 Current Training Data Per Class: 60
Runner Episode: 40	Loss: 0.437397	Accuracy: 0.880 	 Current Training Data Per Class: 60
Runner Episode: 41	Loss: 0.773710	Accuracy: 0.800 	 Current Training Data Per Class: 60
Runner Episode: 42	Loss: 0.358905	Accuracy: 0.870 	 Current Training Data Per Class: 60
Runner Episode: 43	Loss: 0.449006	Accuracy: 0.840 	 Current Training Data Per Class: 60
Runner Episode: 44	Loss: 0.853218	Accuracy: 0.670 	 Current Training Data Per Class: 60
Runner Episode: 45	Loss: 0.752767	Accuracy: 0.770 	 Current Training Data Per Class: 60
Runner Episode: 46	Loss: 0.539252	Accuracy: 0.870 	 Current Training Data Per Class: 60
Runner Episode: 47	Loss: 1.088527	Accuracy: 0.630 	 Current Training Data Per Class: 60
Runner Episode: 48	Loss: 0.381707	Accuracy: 0.880 	 Current Training Data Per Class: 60
Runner Episode: 49	Loss: 0.440703	Accuracy: 0.860 	 Current Training Data Per Class: 60
Runner Episode: 50	Loss: 0.564972	Accuracy: 0.810 	 Current Training Data Per Class: 60
Runner Episode: 51	Loss: 0.720338	Accuracy: 0.770 	 Current Training Data Per Class: 60
Runner Episode: 52	Loss: 0.616549	Accuracy: 0.820 	 Current Training Data Per Class: 60
Runner Episode: 53	Loss: 1.457573	Accuracy: 0.610 	 Current Training Data Per Class: 60
Runner Episode: 54	Loss: 0.257614	Accuracy: 0.890 	 Current Training Data Per Class: 60
Runner Episode: 55	Loss: 1.077418	Accuracy: 0.670 	 Current Training Data Per Class: 60
Runner Episode: 56	Loss: 0.646418	Accuracy: 0.780 	 Current Training Data Per Class: 60
Runner Episode: 57	Loss: 0.306504	Accuracy: 0.890 	 Current Training Data Per Class: 60
Runner Episode: 58	Loss: 0.663982	Accuracy: 0.670 	 Current Training Data Per Class: 60
Runner Episode: 59	Loss: 0.392489	Accuracy: 0.880 	 Current Training Data Per Class: 60
Runner Episode: 60	Loss: 0.692146	Accuracy: 0.770 	 Current Training Data Per Class: 60
Runner Episode: 61	Loss: 0.374203	Accuracy: 0.880 	 Current Training Data Per Class: 60
Runner Episode: 62	Loss: 0.569930	Accuracy: 0.840 	 Current Training Data Per Class: 60
Runner Episode: 63	Loss: 0.644731	Accuracy: 0.810 	 Current Training Data Per Class: 60
Runner Episode: 64	Loss: 0.443824	Accuracy: 0.830 	 Current Training Data Per Class: 60
Runner Episode: 65	Loss: 0.781918	Accuracy: 0.710 	 Current Training Data Per Class: 60
Runner Episode: 66	Loss: 0.926072	Accuracy: 0.750 	 Current Training Data Per Class: 60
Runner Episode: 67	Loss: 0.649528	Accuracy: 0.790 	 Current Training Data Per Class: 60
Runner Episode: 68	Loss: 0.463423	Accuracy: 0.810 	 Current Training Data Per Class: 60
Runner Episode: 69	Loss: 0.809319	Accuracy: 0.730 	 Current Training Data Per Class: 60
Runner Episode: 70	Loss: 0.557508	Accuracy: 0.840 	 Current Training Data Per Class: 60
Runner Episode: 71	Loss: 0.336996	Accuracy: 0.910 	 Current Training Data Per Class: 60
Runner Episode: 72	Loss: 0.822961	Accuracy: 0.690 	 Current Training Data Per Class: 60
Runner Episode: 73	Loss: 0.742673	Accuracy: 0.730 	 Current Training Data Per Class: 60
Runner Episode: 74	Loss: 0.458606	Accuracy: 0.850 	 Current Training Data Per Class: 60
Runner Episode: 75	Loss: 0.849873	Accuracy: 0.730 	 Current Training Data Per Class: 60
Runner Episode: 76	Loss: 0.648645	Accuracy: 0.780 	 Current Training Data Per Class: 60
Runner Episode: 77	Loss: 0.724455	Accuracy: 0.800 	 Current Training Data Per Class: 60
Runner Episode: 78	Loss: 0.908961	Accuracy: 0.680 	 Current Training Data Per Class: 60
Runner Episode: 79	Loss: 0.920987	Accuracy: 0.750 	 Current Training Data Per Class: 60
Runner Episode: 80	Loss: 0.897475	Accuracy: 0.730 	 Current Training Data Per Class: 60
Runner Episode: 81	Loss: 0.317184	Accuracy: 0.900 	 Current Training Data Per Class: 60
