Runner Episode: 1	Loss: 2.021136	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 1.938275	Accuracy: 0.250 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 1.965301	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 1.863837	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 2.435430	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 1.906827	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 1.791267	Accuracy: 0.330 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 1.888922	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 2.147860	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 1.896851	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 2.118612	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 1.845588	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 1.880927	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 1.815767	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 2.032851	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 1.832054	Accuracy: 0.600 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 1.909522	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 2.055106	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 1.896139	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 2.051393	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 21	Loss: 2.017150	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 22	Loss: 2.091976	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 23	Loss: 2.321487	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 24	Loss: 1.817639	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 25	Loss: 1.994792	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 26	Loss: 2.044649	Accuracy: 0.230 	 Current Training Data Per Class: 10
Runner Episode: 27	Loss: 2.175685	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 28	Loss: 2.047156	Accuracy: 0.240 	 Current Training Data Per Class: 10
Runner Episode: 29	Loss: 1.944523	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 30	Loss: 1.910247	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 31	Loss: 1.743555	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 32	Loss: 1.691841	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 33	Loss: 1.797508	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 34	Loss: 1.898590	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 35	Loss: 2.074122	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 36	Loss: 1.897649	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 37	Loss: 1.978819	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 38	Loss: 2.047764	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 39	Loss: 2.055507	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 40	Loss: 1.856918	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 41	Loss: 1.992520	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 42	Loss: 1.943351	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 43	Loss: 2.047536	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 44	Loss: 1.995696	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 45	Loss: 2.010810	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 46	Loss: 1.490513	Accuracy: 0.300 	 Current Training Data Per Class: 10
Runner Episode: 47	Loss: 1.789115	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 48	Loss: 1.802059	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 49	Loss: 1.596661	Accuracy: 0.410 	 Current Training Data Per Class: 10
Runner Episode: 50	Loss: 2.390742	Accuracy: 0.200 	 Current Training Data Per Class: 10
