Runner Episode: 1	Loss: 1.463804	Accuracy: 0.770 	 Current Training Data Per Class: 110
Runner Episode: 2	Loss: 3.574006	Accuracy: 0.620 	 Current Training Data Per Class: 110
Runner Episode: 3	Loss: 3.950639	Accuracy: 0.430 	 Current Training Data Per Class: 110
Runner Episode: 4	Loss: 3.430849	Accuracy: 0.530 	 Current Training Data Per Class: 110
Runner Episode: 5	Loss: 3.137189	Accuracy: 0.490 	 Current Training Data Per Class: 110
Runner Episode: 6	Loss: 2.284856	Accuracy: 0.670 	 Current Training Data Per Class: 110
Runner Episode: 7	Loss: 2.872553	Accuracy: 0.580 	 Current Training Data Per Class: 110
Runner Episode: 8	Loss: 2.700429	Accuracy: 0.680 	 Current Training Data Per Class: 110
Runner Episode: 9	Loss: 3.109569	Accuracy: 0.600 	 Current Training Data Per Class: 110
Runner Episode: 10	Loss: 2.439331	Accuracy: 0.610 	 Current Training Data Per Class: 110
Runner Episode: 11	Loss: 1.878427	Accuracy: 0.650 	 Current Training Data Per Class: 110
Runner Episode: 12	Loss: 2.989690	Accuracy: 0.460 	 Current Training Data Per Class: 110
Runner Episode: 13	Loss: 4.480740	Accuracy: 0.490 	 Current Training Data Per Class: 110
Runner Episode: 14	Loss: 3.118297	Accuracy: 0.540 	 Current Training Data Per Class: 110
Runner Episode: 15	Loss: 1.673653	Accuracy: 0.770 	 Current Training Data Per Class: 110
Runner Episode: 16	Loss: 2.671035	Accuracy: 0.720 	 Current Training Data Per Class: 110
Runner Episode: 17	Loss: 2.870028	Accuracy: 0.580 	 Current Training Data Per Class: 110
Runner Episode: 18	Loss: 2.668740	Accuracy: 0.560 	 Current Training Data Per Class: 110
Runner Episode: 19	Loss: 2.702708	Accuracy: 0.610 	 Current Training Data Per Class: 110
Runner Episode: 20	Loss: 4.858133	Accuracy: 0.440 	 Current Training Data Per Class: 110
Runner Episode: 21	Loss: 4.000167	Accuracy: 0.520 	 Current Training Data Per Class: 110
Runner Episode: 22	Loss: 2.549313	Accuracy: 0.650 	 Current Training Data Per Class: 110
Runner Episode: 23	Loss: 4.305058	Accuracy: 0.400 	 Current Training Data Per Class: 110
Runner Episode: 24	Loss: 2.950710	Accuracy: 0.570 	 Current Training Data Per Class: 110
Runner Episode: 25	Loss: 2.979936	Accuracy: 0.520 	 Current Training Data Per Class: 110
Runner Episode: 26	Loss: 2.725128	Accuracy: 0.540 	 Current Training Data Per Class: 110
Runner Episode: 27	Loss: 2.116908	Accuracy: 0.630 	 Current Training Data Per Class: 110
