Runner Episode: 1	Loss: 0.601014	Accuracy: 0.760 	 Current Training Data Per Class: 120
Runner Episode: 2	Loss: 0.783694	Accuracy: 0.740 	 Current Training Data Per Class: 120
Runner Episode: 3	Loss: 0.324022	Accuracy: 0.880 	 Current Training Data Per Class: 120
Runner Episode: 4	Loss: 0.415500	Accuracy: 0.900 	 Current Training Data Per Class: 120
Runner Episode: 5	Loss: 0.645183	Accuracy: 0.730 	 Current Training Data Per Class: 120
Runner Episode: 6	Loss: 0.453015	Accuracy: 0.820 	 Current Training Data Per Class: 120
Runner Episode: 7	Loss: 0.293756	Accuracy: 0.890 	 Current Training Data Per Class: 120
Runner Episode: 8	Loss: 0.293462	Accuracy: 0.910 	 Current Training Data Per Class: 120
Runner Episode: 9	Loss: 0.672853	Accuracy: 0.760 	 Current Training Data Per Class: 120
Runner Episode: 10	Loss: 1.051275	Accuracy: 0.740 	 Current Training Data Per Class: 120
Runner Episode: 11	Loss: 0.894909	Accuracy: 0.730 	 Current Training Data Per Class: 120
Runner Episode: 12	Loss: 0.336483	Accuracy: 0.910 	 Current Training Data Per Class: 120
Runner Episode: 13	Loss: 0.220867	Accuracy: 0.950 	 Current Training Data Per Class: 120
Runner Episode: 14	Loss: 0.753678	Accuracy: 0.720 	 Current Training Data Per Class: 120
Runner Episode: 15	Loss: 0.470245	Accuracy: 0.840 	 Current Training Data Per Class: 120
Runner Episode: 16	Loss: 0.249224	Accuracy: 0.910 	 Current Training Data Per Class: 120
Runner Episode: 17	Loss: 0.268924	Accuracy: 0.900 	 Current Training Data Per Class: 120
Runner Episode: 18	Loss: 0.539366	Accuracy: 0.790 	 Current Training Data Per Class: 120
Runner Episode: 19	Loss: 0.667959	Accuracy: 0.840 	 Current Training Data Per Class: 120
Runner Episode: 20	Loss: 0.520229	Accuracy: 0.800 	 Current Training Data Per Class: 120
Runner Episode: 21	Loss: 0.701694	Accuracy: 0.740 	 Current Training Data Per Class: 120
Runner Episode: 22	Loss: 0.703130	Accuracy: 0.790 	 Current Training Data Per Class: 120
Runner Episode: 23	Loss: 0.432336	Accuracy: 0.800 	 Current Training Data Per Class: 120
Runner Episode: 24	Loss: 0.349533	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 25	Loss: 0.723266	Accuracy: 0.700 	 Current Training Data Per Class: 120
Runner Episode: 26	Loss: 0.495030	Accuracy: 0.810 	 Current Training Data Per Class: 120
Runner Episode: 27	Loss: 0.499183	Accuracy: 0.840 	 Current Training Data Per Class: 120
Runner Episode: 28	Loss: 1.028269	Accuracy: 0.690 	 Current Training Data Per Class: 120
Runner Episode: 29	Loss: 0.962704	Accuracy: 0.700 	 Current Training Data Per Class: 120
Runner Episode: 30	Loss: 0.413048	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 31	Loss: 0.489958	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 32	Loss: 0.568900	Accuracy: 0.810 	 Current Training Data Per Class: 120
Runner Episode: 33	Loss: 0.467845	Accuracy: 0.830 	 Current Training Data Per Class: 120
Runner Episode: 34	Loss: 0.300818	Accuracy: 0.880 	 Current Training Data Per Class: 120
Runner Episode: 35	Loss: 0.465391	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 36	Loss: 0.906982	Accuracy: 0.700 	 Current Training Data Per Class: 120
Runner Episode: 37	Loss: 0.567910	Accuracy: 0.820 	 Current Training Data Per Class: 120
Runner Episode: 38	Loss: 0.750815	Accuracy: 0.700 	 Current Training Data Per Class: 120
Runner Episode: 39	Loss: 0.389159	Accuracy: 0.890 	 Current Training Data Per Class: 120
Runner Episode: 40	Loss: 0.519968	Accuracy: 0.870 	 Current Training Data Per Class: 120
Runner Episode: 41	Loss: 0.868096	Accuracy: 0.740 	 Current Training Data Per Class: 120
Runner Episode: 42	Loss: 0.598284	Accuracy: 0.790 	 Current Training Data Per Class: 120
Runner Episode: 43	Loss: 0.583533	Accuracy: 0.780 	 Current Training Data Per Class: 120
Runner Episode: 44	Loss: 0.440409	Accuracy: 0.860 	 Current Training Data Per Class: 120
Runner Episode: 45	Loss: 0.632390	Accuracy: 0.750 	 Current Training Data Per Class: 120
Runner Episode: 46	Loss: 0.370251	Accuracy: 0.880 	 Current Training Data Per Class: 120
Runner Episode: 47	Loss: 0.491592	Accuracy: 0.870 	 Current Training Data Per Class: 120
Runner Episode: 48	Loss: 0.403316	Accuracy: 0.840 	 Current Training Data Per Class: 120
Runner Episode: 49	Loss: 0.229405	Accuracy: 0.930 	 Current Training Data Per Class: 120
Runner Episode: 50	Loss: 0.948182	Accuracy: 0.700 	 Current Training Data Per Class: 120
