Runner Episode: 1	Loss: 2.359031	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 2.150156	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 2.231745	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 2.174646	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 2.852594	Accuracy: 0.160 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.276382	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 2.090345	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 2.381056	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 2.179239	Accuracy: 0.130 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 2.095963	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 2.661815	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 2.170898	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 2.250385	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 2.090011	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 2.312952	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 1.414073	Accuracy: 0.600 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 2.185447	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 2.271175	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 2.149985	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 2.296162	Accuracy: 0.230 	 Current Training Data Per Class: 10
