Runner Episode: 1	Loss: 2.279800	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 2.141153	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 2.192960	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 2.228498	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 2.815282	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.222839	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 2.020043	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 2.204653	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 2.090607	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 2.120464	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 2.709906	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 2.109870	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 2.219676	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 2.118200	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 2.287625	Accuracy: 0.240 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 1.375860	Accuracy: 0.600 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 2.109003	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 2.278934	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 2.136856	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 2.306076	Accuracy: 0.200 	 Current Training Data Per Class: 10
