Runner Episode: 1	Loss: 1.638432	Accuracy: 0.700 	 Current Training Data Per Class: 350
Runner Episode: 2	Loss: 2.592313	Accuracy: 0.700 	 Current Training Data Per Class: 350
Runner Episode: 3	Loss: 1.972535	Accuracy: 0.730 	 Current Training Data Per Class: 350
Runner Episode: 4	Loss: 2.758233	Accuracy: 0.590 	 Current Training Data Per Class: 350
Runner Episode: 5	Loss: 1.384856	Accuracy: 0.800 	 Current Training Data Per Class: 350
Runner Episode: 6	Loss: 2.021638	Accuracy: 0.710 	 Current Training Data Per Class: 350
Runner Episode: 7	Loss: 2.196828	Accuracy: 0.660 	 Current Training Data Per Class: 350
Runner Episode: 8	Loss: 1.300569	Accuracy: 0.740 	 Current Training Data Per Class: 350
Runner Episode: 9	Loss: 1.595327	Accuracy: 0.800 	 Current Training Data Per Class: 350
Runner Episode: 10	Loss: 1.133355	Accuracy: 0.700 	 Current Training Data Per Class: 350
Runner Episode: 11	Loss: 1.411510	Accuracy: 0.720 	 Current Training Data Per Class: 350
Runner Episode: 12	Loss: 1.479171	Accuracy: 0.710 	 Current Training Data Per Class: 350
Runner Episode: 13	Loss: 1.420400	Accuracy: 0.830 	 Current Training Data Per Class: 350
Runner Episode: 14	Loss: 1.634467	Accuracy: 0.780 	 Current Training Data Per Class: 350
Runner Episode: 15	Loss: 1.625230	Accuracy: 0.750 	 Current Training Data Per Class: 350
Runner Episode: 16	Loss: 2.249365	Accuracy: 0.710 	 Current Training Data Per Class: 350
Runner Episode: 17	Loss: 3.622853	Accuracy: 0.480 	 Current Training Data Per Class: 350
Runner Episode: 18	Loss: 1.758363	Accuracy: 0.690 	 Current Training Data Per Class: 350
Runner Episode: 19	Loss: 2.045751	Accuracy: 0.660 	 Current Training Data Per Class: 350
Runner Episode: 20	Loss: 2.381035	Accuracy: 0.730 	 Current Training Data Per Class: 350
Runner Episode: 21	Loss: 2.423790	Accuracy: 0.640 	 Current Training Data Per Class: 350
Runner Episode: 22	Loss: 1.946536	Accuracy: 0.680 	 Current Training Data Per Class: 350
Runner Episode: 23	Loss: 1.912943	Accuracy: 0.720 	 Current Training Data Per Class: 350
Runner Episode: 24	Loss: 1.914289	Accuracy: 0.680 	 Current Training Data Per Class: 350
Runner Episode: 25	Loss: 2.394690	Accuracy: 0.630 	 Current Training Data Per Class: 350
Runner Episode: 26	Loss: 1.961579	Accuracy: 0.680 	 Current Training Data Per Class: 350
Runner Episode: 27	Loss: 2.738414	Accuracy: 0.750 	 Current Training Data Per Class: 350
Runner Episode: 28	Loss: 0.750237	Accuracy: 0.860 	 Current Training Data Per Class: 350
Runner Episode: 29	Loss: 2.075648	Accuracy: 0.660 	 Current Training Data Per Class: 350
Runner Episode: 30	Loss: 1.553297	Accuracy: 0.750 	 Current Training Data Per Class: 350
Runner Episode: 31	Loss: 0.658012	Accuracy: 0.840 	 Current Training Data Per Class: 350
Runner Episode: 32	Loss: 0.740754	Accuracy: 0.860 	 Current Training Data Per Class: 350
Runner Episode: 33	Loss: 3.105406	Accuracy: 0.600 	 Current Training Data Per Class: 350
Runner Episode: 34	Loss: 0.613333	Accuracy: 0.860 	 Current Training Data Per Class: 350
Runner Episode: 35	Loss: 1.335360	Accuracy: 0.740 	 Current Training Data Per Class: 350
Runner Episode: 36	Loss: 1.999880	Accuracy: 0.660 	 Current Training Data Per Class: 350
Runner Episode: 37	Loss: 1.723560	Accuracy: 0.720 	 Current Training Data Per Class: 350
Runner Episode: 38	Loss: 1.301978	Accuracy: 0.760 	 Current Training Data Per Class: 350
Runner Episode: 39	Loss: 3.570954	Accuracy: 0.580 	 Current Training Data Per Class: 350
Runner Episode: 40	Loss: 1.027673	Accuracy: 0.770 	 Current Training Data Per Class: 350
Runner Episode: 41	Loss: 1.944587	Accuracy: 0.670 	 Current Training Data Per Class: 350
Runner Episode: 42	Loss: 1.231100	Accuracy: 0.770 	 Current Training Data Per Class: 350
Runner Episode: 43	Loss: 3.054700	Accuracy: 0.630 	 Current Training Data Per Class: 350
Runner Episode: 44	Loss: 1.615126	Accuracy: 0.700 	 Current Training Data Per Class: 350
Runner Episode: 45	Loss: 2.744480	Accuracy: 0.560 	 Current Training Data Per Class: 350
Runner Episode: 46	Loss: 1.207187	Accuracy: 0.780 	 Current Training Data Per Class: 350
Runner Episode: 47	Loss: 2.011538	Accuracy: 0.660 	 Current Training Data Per Class: 350
Runner Episode: 48	Loss: 1.836900	Accuracy: 0.730 	 Current Training Data Per Class: 350
Runner Episode: 49	Loss: 1.579993	Accuracy: 0.720 	 Current Training Data Per Class: 350
Runner Episode: 50	Loss: 2.119266	Accuracy: 0.700 	 Current Training Data Per Class: 350
