Runner Episode: 1	Loss: 5.095663	Accuracy: 0.470 	 Current Training Data Per Class: 170
Runner Episode: 2	Loss: 5.207120	Accuracy: 0.460 	 Current Training Data Per Class: 170
Runner Episode: 3	Loss: 4.131916	Accuracy: 0.450 	 Current Training Data Per Class: 170
Runner Episode: 4	Loss: 5.604932	Accuracy: 0.390 	 Current Training Data Per Class: 170
Runner Episode: 5	Loss: 7.766514	Accuracy: 0.390 	 Current Training Data Per Class: 170
Runner Episode: 6	Loss: 16.960672	Accuracy: 0.220 	 Current Training Data Per Class: 170
Runner Episode: 7	Loss: 5.431501	Accuracy: 0.410 	 Current Training Data Per Class: 170
Runner Episode: 8	Loss: 7.095881	Accuracy: 0.430 	 Current Training Data Per Class: 170
Runner Episode: 9	Loss: 7.391986	Accuracy: 0.320 	 Current Training Data Per Class: 170
Runner Episode: 10	Loss: 9.379027	Accuracy: 0.550 	 Current Training Data Per Class: 170
Runner Episode: 11	Loss: 12.789155	Accuracy: 0.230 	 Current Training Data Per Class: 170
Runner Episode: 12	Loss: 4.703807	Accuracy: 0.470 	 Current Training Data Per Class: 170
Runner Episode: 13	Loss: 8.277716	Accuracy: 0.370 	 Current Training Data Per Class: 170
Runner Episode: 14	Loss: 6.267240	Accuracy: 0.410 	 Current Training Data Per Class: 170
Runner Episode: 15	Loss: 5.908267	Accuracy: 0.390 	 Current Training Data Per Class: 170
Runner Episode: 16	Loss: 1.612966	Accuracy: 0.820 	 Current Training Data Per Class: 170
Runner Episode: 17	Loss: 6.355266	Accuracy: 0.410 	 Current Training Data Per Class: 170
Runner Episode: 18	Loss: 6.953893	Accuracy: 0.290 	 Current Training Data Per Class: 170
Runner Episode: 19	Loss: 7.904478	Accuracy: 0.470 	 Current Training Data Per Class: 170
Runner Episode: 20	Loss: 8.808291	Accuracy: 0.370 	 Current Training Data Per Class: 170
Runner Episode: 21	Loss: 6.364086	Accuracy: 0.470 	 Current Training Data Per Class: 170
Runner Episode: 22	Loss: 10.381772	Accuracy: 0.290 	 Current Training Data Per Class: 170
Runner Episode: 23	Loss: 6.658249	Accuracy: 0.290 	 Current Training Data Per Class: 170
Runner Episode: 24	Loss: 5.086164	Accuracy: 0.470 	 Current Training Data Per Class: 170
Runner Episode: 25	Loss: 8.007607	Accuracy: 0.330 	 Current Training Data Per Class: 170
Runner Episode: 26	Loss: 7.817191	Accuracy: 0.350 	 Current Training Data Per Class: 170
Runner Episode: 27	Loss: 7.420076	Accuracy: 0.350 	 Current Training Data Per Class: 170
Runner Episode: 28	Loss: 6.360439	Accuracy: 0.400 	 Current Training Data Per Class: 170
Runner Episode: 29	Loss: 5.233878	Accuracy: 0.530 	 Current Training Data Per Class: 170
Runner Episode: 30	Loss: 3.326083	Accuracy: 0.490 	 Current Training Data Per Class: 170
Runner Episode: 31	Loss: 6.857981	Accuracy: 0.490 	 Current Training Data Per Class: 170
Runner Episode: 32	Loss: 5.065917	Accuracy: 0.510 	 Current Training Data Per Class: 170
Runner Episode: 33	Loss: 5.727556	Accuracy: 0.400 	 Current Training Data Per Class: 170
Runner Episode: 34	Loss: 6.505456	Accuracy: 0.370 	 Current Training Data Per Class: 170
Runner Episode: 35	Loss: 3.207101	Accuracy: 0.620 	 Current Training Data Per Class: 170
Runner Episode: 36	Loss: 6.569113	Accuracy: 0.290 	 Current Training Data Per Class: 170
Runner Episode: 37	Loss: 8.262618	Accuracy: 0.370 	 Current Training Data Per Class: 170
Runner Episode: 38	Loss: 9.946890	Accuracy: 0.320 	 Current Training Data Per Class: 170
Runner Episode: 39	Loss: 8.359045	Accuracy: 0.300 	 Current Training Data Per Class: 170
Runner Episode: 40	Loss: 6.791728	Accuracy: 0.390 	 Current Training Data Per Class: 170
Runner Episode: 41	Loss: 8.386286	Accuracy: 0.380 	 Current Training Data Per Class: 170
Runner Episode: 42	Loss: 7.193487	Accuracy: 0.380 	 Current Training Data Per Class: 170
Runner Episode: 43	Loss: 10.286943	Accuracy: 0.350 	 Current Training Data Per Class: 170
Runner Episode: 44	Loss: 7.799321	Accuracy: 0.410 	 Current Training Data Per Class: 170
Runner Episode: 45	Loss: 5.281908	Accuracy: 0.400 	 Current Training Data Per Class: 170
Runner Episode: 46	Loss: 6.001121	Accuracy: 0.520 	 Current Training Data Per Class: 170
Runner Episode: 47	Loss: 7.116971	Accuracy: 0.380 	 Current Training Data Per Class: 170
Runner Episode: 48	Loss: 8.224072	Accuracy: 0.500 	 Current Training Data Per Class: 170
Runner Episode: 49	Loss: 6.258512	Accuracy: 0.520 	 Current Training Data Per Class: 170
Runner Episode: 50	Loss: 4.819641	Accuracy: 0.430 	 Current Training Data Per Class: 170
