Runner Episode: 1	Loss: 0.735953	Accuracy: 0.740 	 Current Training Data Per Class: 150
Runner Episode: 2	Loss: 0.379462	Accuracy: 0.870 	 Current Training Data Per Class: 150
Runner Episode: 3	Loss: 0.517483	Accuracy: 0.820 	 Current Training Data Per Class: 150
Runner Episode: 4	Loss: 0.615887	Accuracy: 0.740 	 Current Training Data Per Class: 150
Runner Episode: 5	Loss: 0.504265	Accuracy: 0.850 	 Current Training Data Per Class: 150
Runner Episode: 6	Loss: 0.843324	Accuracy: 0.750 	 Current Training Data Per Class: 150
Runner Episode: 7	Loss: 0.938572	Accuracy: 0.710 	 Current Training Data Per Class: 150
Runner Episode: 8	Loss: 0.365317	Accuracy: 0.870 	 Current Training Data Per Class: 150
Runner Episode: 9	Loss: 0.677872	Accuracy: 0.800 	 Current Training Data Per Class: 150
Runner Episode: 10	Loss: 0.310989	Accuracy: 0.920 	 Current Training Data Per Class: 150
Runner Episode: 11	Loss: 0.707000	Accuracy: 0.810 	 Current Training Data Per Class: 150
Runner Episode: 12	Loss: 0.910666	Accuracy: 0.700 	 Current Training Data Per Class: 150
Runner Episode: 13	Loss: 0.502946	Accuracy: 0.870 	 Current Training Data Per Class: 150
Runner Episode: 14	Loss: 0.478572	Accuracy: 0.860 	 Current Training Data Per Class: 150
Runner Episode: 15	Loss: 0.474077	Accuracy: 0.830 	 Current Training Data Per Class: 150
Runner Episode: 16	Loss: 0.334762	Accuracy: 0.820 	 Current Training Data Per Class: 150
Runner Episode: 17	Loss: 0.270086	Accuracy: 0.920 	 Current Training Data Per Class: 150
Runner Episode: 18	Loss: 0.859339	Accuracy: 0.760 	 Current Training Data Per Class: 150
Runner Episode: 19	Loss: 0.659704	Accuracy: 0.820 	 Current Training Data Per Class: 150
Runner Episode: 20	Loss: 0.927674	Accuracy: 0.750 	 Current Training Data Per Class: 150
Runner Episode: 21	Loss: 0.542880	Accuracy: 0.810 	 Current Training Data Per Class: 150
Runner Episode: 22	Loss: 0.839392	Accuracy: 0.740 	 Current Training Data Per Class: 150
Runner Episode: 23	Loss: 0.415544	Accuracy: 0.810 	 Current Training Data Per Class: 150
Runner Episode: 24	Loss: 0.814035	Accuracy: 0.760 	 Current Training Data Per Class: 150
Runner Episode: 25	Loss: 0.353264	Accuracy: 0.870 	 Current Training Data Per Class: 150
Runner Episode: 26	Loss: 0.423711	Accuracy: 0.860 	 Current Training Data Per Class: 150
Runner Episode: 27	Loss: 0.410737	Accuracy: 0.880 	 Current Training Data Per Class: 150
Runner Episode: 28	Loss: 0.388908	Accuracy: 0.840 	 Current Training Data Per Class: 150
Runner Episode: 29	Loss: 0.878879	Accuracy: 0.730 	 Current Training Data Per Class: 150
Runner Episode: 30	Loss: 0.384692	Accuracy: 0.870 	 Current Training Data Per Class: 150
Runner Episode: 31	Loss: 0.591714	Accuracy: 0.790 	 Current Training Data Per Class: 150
Runner Episode: 32	Loss: 0.656542	Accuracy: 0.810 	 Current Training Data Per Class: 150
Runner Episode: 33	Loss: 0.391389	Accuracy: 0.880 	 Current Training Data Per Class: 150
Runner Episode: 34	Loss: 0.558059	Accuracy: 0.830 	 Current Training Data Per Class: 150
Runner Episode: 35	Loss: 0.337830	Accuracy: 0.880 	 Current Training Data Per Class: 150
Runner Episode: 36	Loss: 0.727609	Accuracy: 0.700 	 Current Training Data Per Class: 150
Runner Episode: 37	Loss: 0.519242	Accuracy: 0.800 	 Current Training Data Per Class: 150
Runner Episode: 38	Loss: 0.226147	Accuracy: 0.910 	 Current Training Data Per Class: 150
Runner Episode: 39	Loss: 0.669048	Accuracy: 0.720 	 Current Training Data Per Class: 150
Runner Episode: 40	Loss: 0.394130	Accuracy: 0.880 	 Current Training Data Per Class: 150
Runner Episode: 41	Loss: 0.388696	Accuracy: 0.870 	 Current Training Data Per Class: 150
Runner Episode: 42	Loss: 0.329604	Accuracy: 0.880 	 Current Training Data Per Class: 150
Runner Episode: 43	Loss: 0.339574	Accuracy: 0.860 	 Current Training Data Per Class: 150
Runner Episode: 44	Loss: 0.626475	Accuracy: 0.830 	 Current Training Data Per Class: 150
Runner Episode: 45	Loss: 0.361561	Accuracy: 0.880 	 Current Training Data Per Class: 150
Runner Episode: 46	Loss: 0.668299	Accuracy: 0.800 	 Current Training Data Per Class: 150
Runner Episode: 47	Loss: 0.712824	Accuracy: 0.770 	 Current Training Data Per Class: 150
Runner Episode: 48	Loss: 0.307620	Accuracy: 0.920 	 Current Training Data Per Class: 150
Runner Episode: 49	Loss: 0.800958	Accuracy: 0.770 	 Current Training Data Per Class: 150
Runner Episode: 50	Loss: 0.367563	Accuracy: 0.860 	 Current Training Data Per Class: 150
