Runner Episode: 1	Loss: 0.744052	Accuracy: 0.780 	 Current Training Data Per Class: 190
Runner Episode: 2	Loss: 0.690661	Accuracy: 0.810 	 Current Training Data Per Class: 190
Runner Episode: 3	Loss: 0.430598	Accuracy: 0.840 	 Current Training Data Per Class: 190
Runner Episode: 4	Loss: 0.760854	Accuracy: 0.750 	 Current Training Data Per Class: 190
Runner Episode: 5	Loss: 0.777994	Accuracy: 0.650 	 Current Training Data Per Class: 190
Runner Episode: 6	Loss: 0.633032	Accuracy: 0.870 	 Current Training Data Per Class: 190
Runner Episode: 7	Loss: 0.358647	Accuracy: 0.890 	 Current Training Data Per Class: 190
Runner Episode: 8	Loss: 0.333542	Accuracy: 0.920 	 Current Training Data Per Class: 190
Runner Episode: 9	Loss: 0.471594	Accuracy: 0.810 	 Current Training Data Per Class: 190
Runner Episode: 10	Loss: 0.769814	Accuracy: 0.790 	 Current Training Data Per Class: 190
Runner Episode: 11	Loss: 0.570597	Accuracy: 0.760 	 Current Training Data Per Class: 190
Runner Episode: 12	Loss: 0.379743	Accuracy: 0.900 	 Current Training Data Per Class: 190
Runner Episode: 13	Loss: 0.450498	Accuracy: 0.890 	 Current Training Data Per Class: 190
Runner Episode: 14	Loss: 0.668293	Accuracy: 0.760 	 Current Training Data Per Class: 190
Runner Episode: 15	Loss: 0.516378	Accuracy: 0.820 	 Current Training Data Per Class: 190
Runner Episode: 16	Loss: 0.322583	Accuracy: 0.910 	 Current Training Data Per Class: 190
Runner Episode: 17	Loss: 0.311145	Accuracy: 0.850 	 Current Training Data Per Class: 190
Runner Episode: 18	Loss: 0.433166	Accuracy: 0.850 	 Current Training Data Per Class: 190
Runner Episode: 19	Loss: 0.859742	Accuracy: 0.800 	 Current Training Data Per Class: 190
Runner Episode: 20	Loss: 0.505285	Accuracy: 0.830 	 Current Training Data Per Class: 190
Runner Episode: 21	Loss: 0.614446	Accuracy: 0.770 	 Current Training Data Per Class: 190
Runner Episode: 22	Loss: 0.776318	Accuracy: 0.760 	 Current Training Data Per Class: 190
Runner Episode: 23	Loss: 0.732460	Accuracy: 0.780 	 Current Training Data Per Class: 190
Runner Episode: 24	Loss: 0.692605	Accuracy: 0.860 	 Current Training Data Per Class: 190
Runner Episode: 25	Loss: 1.292297	Accuracy: 0.630 	 Current Training Data Per Class: 190
Runner Episode: 26	Loss: 1.413011	Accuracy: 0.690 	 Current Training Data Per Class: 190
Runner Episode: 27	Loss: 0.709808	Accuracy: 0.820 	 Current Training Data Per Class: 190
Runner Episode: 28	Loss: 0.557702	Accuracy: 0.880 	 Current Training Data Per Class: 190
Runner Episode: 29	Loss: 1.026069	Accuracy: 0.750 	 Current Training Data Per Class: 190
Runner Episode: 30	Loss: 0.454175	Accuracy: 0.890 	 Current Training Data Per Class: 190
Runner Episode: 31	Loss: 0.411763	Accuracy: 0.800 	 Current Training Data Per Class: 190
Runner Episode: 32	Loss: 0.210453	Accuracy: 0.920 	 Current Training Data Per Class: 190
Runner Episode: 33	Loss: 0.356134	Accuracy: 0.860 	 Current Training Data Per Class: 190
Runner Episode: 34	Loss: 0.256270	Accuracy: 0.890 	 Current Training Data Per Class: 190
Runner Episode: 35	Loss: 0.475367	Accuracy: 0.810 	 Current Training Data Per Class: 190
Runner Episode: 36	Loss: 1.522074	Accuracy: 0.680 	 Current Training Data Per Class: 190
Runner Episode: 37	Loss: 0.472988	Accuracy: 0.840 	 Current Training Data Per Class: 190
Runner Episode: 38	Loss: 0.677015	Accuracy: 0.780 	 Current Training Data Per Class: 190
Runner Episode: 39	Loss: 0.805081	Accuracy: 0.800 	 Current Training Data Per Class: 190
Runner Episode: 40	Loss: 0.408634	Accuracy: 0.870 	 Current Training Data Per Class: 190
Runner Episode: 41	Loss: 0.852177	Accuracy: 0.680 	 Current Training Data Per Class: 190
Runner Episode: 42	Loss: 0.745319	Accuracy: 0.800 	 Current Training Data Per Class: 190
Runner Episode: 43	Loss: 0.505124	Accuracy: 0.790 	 Current Training Data Per Class: 190
Runner Episode: 44	Loss: 0.705837	Accuracy: 0.780 	 Current Training Data Per Class: 190
Runner Episode: 45	Loss: 0.687682	Accuracy: 0.780 	 Current Training Data Per Class: 190
Runner Episode: 46	Loss: 0.374456	Accuracy: 0.850 	 Current Training Data Per Class: 190
Runner Episode: 47	Loss: 1.191299	Accuracy: 0.730 	 Current Training Data Per Class: 190
Runner Episode: 48	Loss: 0.239565	Accuracy: 0.920 	 Current Training Data Per Class: 190
Runner Episode: 49	Loss: 0.417542	Accuracy: 0.820 	 Current Training Data Per Class: 190
Runner Episode: 50	Loss: 1.148410	Accuracy: 0.650 	 Current Training Data Per Class: 190
