Runner Episode: 1	Loss: 0.342823	Accuracy: 0.920 	 Current Training Data Per Class: 170
Runner Episode: 2	Loss: 0.543382	Accuracy: 0.820 	 Current Training Data Per Class: 170
Runner Episode: 3	Loss: 0.175801	Accuracy: 0.950 	 Current Training Data Per Class: 170
Runner Episode: 4	Loss: 0.299981	Accuracy: 0.930 	 Current Training Data Per Class: 170
Runner Episode: 5	Loss: 0.502044	Accuracy: 0.740 	 Current Training Data Per Class: 170
Runner Episode: 6	Loss: 0.389404	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 7	Loss: 0.311131	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 8	Loss: 0.404718	Accuracy: 0.830 	 Current Training Data Per Class: 170
Runner Episode: 9	Loss: 0.447582	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 10	Loss: 0.454724	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 11	Loss: 0.397978	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 12	Loss: 0.791649	Accuracy: 0.700 	 Current Training Data Per Class: 170
Runner Episode: 13	Loss: 0.262599	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 14	Loss: 0.602937	Accuracy: 0.860 	 Current Training Data Per Class: 170
Runner Episode: 15	Loss: 0.434966	Accuracy: 0.830 	 Current Training Data Per Class: 170
Runner Episode: 16	Loss: 0.242724	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 17	Loss: 0.161188	Accuracy: 0.980 	 Current Training Data Per Class: 170
Runner Episode: 18	Loss: 0.564092	Accuracy: 0.790 	 Current Training Data Per Class: 170
Runner Episode: 19	Loss: 0.504891	Accuracy: 0.810 	 Current Training Data Per Class: 170
Runner Episode: 20	Loss: 0.493152	Accuracy: 0.850 	 Current Training Data Per Class: 170
Runner Episode: 21	Loss: 0.429442	Accuracy: 0.820 	 Current Training Data Per Class: 170
Runner Episode: 22	Loss: 0.664554	Accuracy: 0.660 	 Current Training Data Per Class: 170
Runner Episode: 23	Loss: 0.413936	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 24	Loss: 0.313158	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 25	Loss: 0.726387	Accuracy: 0.690 	 Current Training Data Per Class: 170
Runner Episode: 26	Loss: 0.458828	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 27	Loss: 0.457271	Accuracy: 0.870 	 Current Training Data Per Class: 170
Runner Episode: 28	Loss: 0.541305	Accuracy: 0.760 	 Current Training Data Per Class: 170
Runner Episode: 29	Loss: 0.593664	Accuracy: 0.760 	 Current Training Data Per Class: 170
Runner Episode: 30	Loss: 0.332932	Accuracy: 0.890 	 Current Training Data Per Class: 170
Runner Episode: 31	Loss: 0.294529	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 32	Loss: 0.399512	Accuracy: 0.900 	 Current Training Data Per Class: 170
Runner Episode: 33	Loss: 0.337427	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 34	Loss: 0.368796	Accuracy: 0.860 	 Current Training Data Per Class: 170
Runner Episode: 35	Loss: 0.213139	Accuracy: 0.950 	 Current Training Data Per Class: 170
Runner Episode: 36	Loss: 0.762807	Accuracy: 0.700 	 Current Training Data Per Class: 170
Runner Episode: 37	Loss: 0.299583	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 38	Loss: 0.581410	Accuracy: 0.770 	 Current Training Data Per Class: 170
Runner Episode: 39	Loss: 0.430854	Accuracy: 0.860 	 Current Training Data Per Class: 170
Runner Episode: 40	Loss: 0.482106	Accuracy: 0.840 	 Current Training Data Per Class: 170
Runner Episode: 41	Loss: 0.607187	Accuracy: 0.760 	 Current Training Data Per Class: 170
Runner Episode: 42	Loss: 0.411735	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 43	Loss: 0.639035	Accuracy: 0.750 	 Current Training Data Per Class: 170
Runner Episode: 44	Loss: 0.460225	Accuracy: 0.860 	 Current Training Data Per Class: 170
Runner Episode: 45	Loss: 0.468474	Accuracy: 0.720 	 Current Training Data Per Class: 170
Runner Episode: 46	Loss: 0.267389	Accuracy: 0.930 	 Current Training Data Per Class: 170
Runner Episode: 47	Loss: 0.600086	Accuracy: 0.770 	 Current Training Data Per Class: 170
Runner Episode: 48	Loss: 0.313207	Accuracy: 0.880 	 Current Training Data Per Class: 170
Runner Episode: 49	Loss: 0.261338	Accuracy: 0.940 	 Current Training Data Per Class: 170
Runner Episode: 50	Loss: 0.648819	Accuracy: 0.740 	 Current Training Data Per Class: 170
