Runner Episode: 1	Loss: 0.745341	Accuracy: 0.810 	 Current Training Data Per Class: 40
Runner Episode: 2	Loss: 0.693203	Accuracy: 0.690 	 Current Training Data Per Class: 40
Runner Episode: 3	Loss: 0.424643	Accuracy: 0.870 	 Current Training Data Per Class: 40
Runner Episode: 4	Loss: 0.875205	Accuracy: 0.730 	 Current Training Data Per Class: 40
Runner Episode: 5	Loss: 0.789706	Accuracy: 0.720 	 Current Training Data Per Class: 40
Runner Episode: 6	Loss: 0.369767	Accuracy: 0.870 	 Current Training Data Per Class: 40
Runner Episode: 7	Loss: 0.375959	Accuracy: 0.890 	 Current Training Data Per Class: 40
Runner Episode: 8	Loss: 0.316000	Accuracy: 0.840 	 Current Training Data Per Class: 40
Runner Episode: 9	Loss: 0.782198	Accuracy: 0.700 	 Current Training Data Per Class: 40
Runner Episode: 10	Loss: 0.437868	Accuracy: 0.850 	 Current Training Data Per Class: 40
Runner Episode: 11	Loss: 0.853969	Accuracy: 0.650 	 Current Training Data Per Class: 40
Runner Episode: 12	Loss: 0.665362	Accuracy: 0.680 	 Current Training Data Per Class: 40
Runner Episode: 13	Loss: 0.396122	Accuracy: 0.870 	 Current Training Data Per Class: 40
Runner Episode: 14	Loss: 0.625069	Accuracy: 0.720 	 Current Training Data Per Class: 40
Runner Episode: 15	Loss: 0.571139	Accuracy: 0.760 	 Current Training Data Per Class: 40
Runner Episode: 16	Loss: 0.446556	Accuracy: 0.800 	 Current Training Data Per Class: 40
Runner Episode: 17	Loss: 0.423159	Accuracy: 0.860 	 Current Training Data Per Class: 40
Runner Episode: 18	Loss: 0.976055	Accuracy: 0.670 	 Current Training Data Per Class: 40
Runner Episode: 19	Loss: 0.672102	Accuracy: 0.810 	 Current Training Data Per Class: 40
Runner Episode: 20	Loss: 0.924094	Accuracy: 0.670 	 Current Training Data Per Class: 40
Runner Episode: 21	Loss: 0.611864	Accuracy: 0.720 	 Current Training Data Per Class: 40
Runner Episode: 22	Loss: 0.842255	Accuracy: 0.630 	 Current Training Data Per Class: 40
Runner Episode: 23	Loss: 0.747616	Accuracy: 0.780 	 Current Training Data Per Class: 40
Runner Episode: 24	Loss: 0.408482	Accuracy: 0.890 	 Current Training Data Per Class: 40
Runner Episode: 25	Loss: 0.836830	Accuracy: 0.690 	 Current Training Data Per Class: 40
Runner Episode: 26	Loss: 0.551354	Accuracy: 0.850 	 Current Training Data Per Class: 40
Runner Episode: 27	Loss: 0.713144	Accuracy: 0.740 	 Current Training Data Per Class: 40
Runner Episode: 28	Loss: 0.548570	Accuracy: 0.810 	 Current Training Data Per Class: 40
Runner Episode: 29	Loss: 0.691781	Accuracy: 0.780 	 Current Training Data Per Class: 40
Runner Episode: 30	Loss: 0.356411	Accuracy: 0.870 	 Current Training Data Per Class: 40
Runner Episode: 31	Loss: 0.761131	Accuracy: 0.670 	 Current Training Data Per Class: 40
Runner Episode: 32	Loss: 0.449063	Accuracy: 0.830 	 Current Training Data Per Class: 40
Runner Episode: 33	Loss: 0.430891	Accuracy: 0.870 	 Current Training Data Per Class: 40
Runner Episode: 34	Loss: 0.585468	Accuracy: 0.770 	 Current Training Data Per Class: 40
Runner Episode: 35	Loss: 0.714460	Accuracy: 0.760 	 Current Training Data Per Class: 40
Runner Episode: 36	Loss: 0.621135	Accuracy: 0.800 	 Current Training Data Per Class: 40
Runner Episode: 37	Loss: 0.563523	Accuracy: 0.760 	 Current Training Data Per Class: 40
Runner Episode: 38	Loss: 0.890200	Accuracy: 0.690 	 Current Training Data Per Class: 40
Runner Episode: 39	Loss: 0.603149	Accuracy: 0.790 	 Current Training Data Per Class: 40
Runner Episode: 40	Loss: 0.474793	Accuracy: 0.790 	 Current Training Data Per Class: 40
Runner Episode: 41	Loss: 0.770077	Accuracy: 0.690 	 Current Training Data Per Class: 40
Runner Episode: 42	Loss: 0.626134	Accuracy: 0.690 	 Current Training Data Per Class: 40
Runner Episode: 43	Loss: 0.787786	Accuracy: 0.670 	 Current Training Data Per Class: 40
Runner Episode: 44	Loss: 0.730757	Accuracy: 0.670 	 Current Training Data Per Class: 40
Runner Episode: 45	Loss: 0.625093	Accuracy: 0.700 	 Current Training Data Per Class: 40
Runner Episode: 46	Loss: 0.388667	Accuracy: 0.840 	 Current Training Data Per Class: 40
Runner Episode: 47	Loss: 0.639203	Accuracy: 0.730 	 Current Training Data Per Class: 40
Runner Episode: 48	Loss: 0.417564	Accuracy: 0.880 	 Current Training Data Per Class: 40
Runner Episode: 49	Loss: 0.583771	Accuracy: 0.770 	 Current Training Data Per Class: 40
Runner Episode: 50	Loss: 0.859569	Accuracy: 0.610 	 Current Training Data Per Class: 40
