Runner Episode: 1	Loss: 0.710956	Accuracy: 0.780 	 Current Training Data Per Class: 40
Runner Episode: 2	Loss: 0.854110	Accuracy: 0.710 	 Current Training Data Per Class: 40
Runner Episode: 3	Loss: 0.562751	Accuracy: 0.860 	 Current Training Data Per Class: 40
Runner Episode: 4	Loss: 0.924036	Accuracy: 0.660 	 Current Training Data Per Class: 40
Runner Episode: 5	Loss: 0.876671	Accuracy: 0.690 	 Current Training Data Per Class: 40
Runner Episode: 6	Loss: 0.565295	Accuracy: 0.790 	 Current Training Data Per Class: 40
Runner Episode: 7	Loss: 0.525496	Accuracy: 0.860 	 Current Training Data Per Class: 40
Runner Episode: 8	Loss: 0.541835	Accuracy: 0.840 	 Current Training Data Per Class: 40
Runner Episode: 9	Loss: 1.023408	Accuracy: 0.660 	 Current Training Data Per Class: 40
Runner Episode: 10	Loss: 0.438119	Accuracy: 0.930 	 Current Training Data Per Class: 40
Runner Episode: 11	Loss: 0.860690	Accuracy: 0.670 	 Current Training Data Per Class: 40
Runner Episode: 12	Loss: 0.753793	Accuracy: 0.720 	 Current Training Data Per Class: 40
Runner Episode: 13	Loss: 0.513677	Accuracy: 0.850 	 Current Training Data Per Class: 40
Runner Episode: 14	Loss: 0.746811	Accuracy: 0.720 	 Current Training Data Per Class: 40
Runner Episode: 15	Loss: 0.570553	Accuracy: 0.800 	 Current Training Data Per Class: 40
Runner Episode: 16	Loss: 0.572471	Accuracy: 0.730 	 Current Training Data Per Class: 40
Runner Episode: 17	Loss: 0.466576	Accuracy: 0.860 	 Current Training Data Per Class: 40
Runner Episode: 18	Loss: 0.878454	Accuracy: 0.590 	 Current Training Data Per Class: 40
Runner Episode: 19	Loss: 0.695876	Accuracy: 0.790 	 Current Training Data Per Class: 40
Runner Episode: 20	Loss: 0.982452	Accuracy: 0.640 	 Current Training Data Per Class: 40
Runner Episode: 21	Loss: 0.690071	Accuracy: 0.780 	 Current Training Data Per Class: 40
Runner Episode: 22	Loss: 1.285825	Accuracy: 0.550 	 Current Training Data Per Class: 40
Runner Episode: 23	Loss: 0.686023	Accuracy: 0.800 	 Current Training Data Per Class: 40
Runner Episode: 24	Loss: 0.683422	Accuracy: 0.820 	 Current Training Data Per Class: 40
Runner Episode: 25	Loss: 0.855264	Accuracy: 0.690 	 Current Training Data Per Class: 40
Runner Episode: 26	Loss: 0.653744	Accuracy: 0.820 	 Current Training Data Per Class: 40
Runner Episode: 27	Loss: 0.779407	Accuracy: 0.790 	 Current Training Data Per Class: 40
Runner Episode: 28	Loss: 0.638820	Accuracy: 0.780 	 Current Training Data Per Class: 40
Runner Episode: 29	Loss: 0.627753	Accuracy: 0.800 	 Current Training Data Per Class: 40
Runner Episode: 30	Loss: 0.510825	Accuracy: 0.890 	 Current Training Data Per Class: 40
Runner Episode: 31	Loss: 0.814249	Accuracy: 0.670 	 Current Training Data Per Class: 40
Runner Episode: 32	Loss: 0.419246	Accuracy: 0.840 	 Current Training Data Per Class: 40
Runner Episode: 33	Loss: 0.540804	Accuracy: 0.850 	 Current Training Data Per Class: 40
Runner Episode: 34	Loss: 0.640334	Accuracy: 0.720 	 Current Training Data Per Class: 40
Runner Episode: 35	Loss: 0.624001	Accuracy: 0.730 	 Current Training Data Per Class: 40
Runner Episode: 36	Loss: 0.718024	Accuracy: 0.760 	 Current Training Data Per Class: 40
Runner Episode: 37	Loss: 0.684011	Accuracy: 0.720 	 Current Training Data Per Class: 40
Runner Episode: 38	Loss: 0.823479	Accuracy: 0.700 	 Current Training Data Per Class: 40
Runner Episode: 39	Loss: 0.646227	Accuracy: 0.800 	 Current Training Data Per Class: 40
Runner Episode: 40	Loss: 0.636515	Accuracy: 0.750 	 Current Training Data Per Class: 40
Runner Episode: 41	Loss: 0.836183	Accuracy: 0.720 	 Current Training Data Per Class: 40
Runner Episode: 42	Loss: 0.747619	Accuracy: 0.680 	 Current Training Data Per Class: 40
Runner Episode: 43	Loss: 0.972071	Accuracy: 0.630 	 Current Training Data Per Class: 40
Runner Episode: 44	Loss: 0.773515	Accuracy: 0.690 	 Current Training Data Per Class: 40
Runner Episode: 45	Loss: 0.776351	Accuracy: 0.690 	 Current Training Data Per Class: 40
Runner Episode: 46	Loss: 0.689603	Accuracy: 0.730 	 Current Training Data Per Class: 40
Runner Episode: 47	Loss: 0.720863	Accuracy: 0.730 	 Current Training Data Per Class: 40
Runner Episode: 48	Loss: 0.464239	Accuracy: 0.860 	 Current Training Data Per Class: 40
Runner Episode: 49	Loss: 0.544596	Accuracy: 0.820 	 Current Training Data Per Class: 40
Runner Episode: 50	Loss: 0.912612	Accuracy: 0.640 	 Current Training Data Per Class: 40
