Runner Episode: 1	Loss: 0.644393	Accuracy: 0.780 	 Current Training Data Per Class: 130
Runner Episode: 2	Loss: 0.669351	Accuracy: 0.770 	 Current Training Data Per Class: 130
Runner Episode: 3	Loss: 0.296141	Accuracy: 0.900 	 Current Training Data Per Class: 130
Runner Episode: 4	Loss: 0.625519	Accuracy: 0.810 	 Current Training Data Per Class: 130
Runner Episode: 5	Loss: 0.788451	Accuracy: 0.640 	 Current Training Data Per Class: 130
Runner Episode: 6	Loss: 0.564262	Accuracy: 0.840 	 Current Training Data Per Class: 130
Runner Episode: 7	Loss: 0.327209	Accuracy: 0.880 	 Current Training Data Per Class: 130
Runner Episode: 8	Loss: 0.350598	Accuracy: 0.920 	 Current Training Data Per Class: 130
Runner Episode: 9	Loss: 0.639218	Accuracy: 0.800 	 Current Training Data Per Class: 130
Runner Episode: 10	Loss: 0.485532	Accuracy: 0.840 	 Current Training Data Per Class: 130
Runner Episode: 11	Loss: 0.491732	Accuracy: 0.820 	 Current Training Data Per Class: 130
Runner Episode: 12	Loss: 0.488097	Accuracy: 0.830 	 Current Training Data Per Class: 130
Runner Episode: 13	Loss: 0.235301	Accuracy: 0.940 	 Current Training Data Per Class: 130
Runner Episode: 14	Loss: 0.867512	Accuracy: 0.710 	 Current Training Data Per Class: 130
Runner Episode: 15	Loss: 0.438372	Accuracy: 0.850 	 Current Training Data Per Class: 130
Runner Episode: 16	Loss: 0.228265	Accuracy: 0.880 	 Current Training Data Per Class: 130
Runner Episode: 17	Loss: 0.312537	Accuracy: 0.860 	 Current Training Data Per Class: 130
Runner Episode: 18	Loss: 0.738124	Accuracy: 0.720 	 Current Training Data Per Class: 130
Runner Episode: 19	Loss: 0.511026	Accuracy: 0.860 	 Current Training Data Per Class: 130
Runner Episode: 20	Loss: 0.541012	Accuracy: 0.860 	 Current Training Data Per Class: 130
Runner Episode: 21	Loss: 0.945096	Accuracy: 0.640 	 Current Training Data Per Class: 130
Runner Episode: 22	Loss: 0.690957	Accuracy: 0.740 	 Current Training Data Per Class: 130
Runner Episode: 23	Loss: 0.399733	Accuracy: 0.880 	 Current Training Data Per Class: 130
Runner Episode: 24	Loss: 0.596309	Accuracy: 0.820 	 Current Training Data Per Class: 130
Runner Episode: 25	Loss: 0.694588	Accuracy: 0.710 	 Current Training Data Per Class: 130
Runner Episode: 26	Loss: 0.734888	Accuracy: 0.750 	 Current Training Data Per Class: 130
Runner Episode: 27	Loss: 0.733651	Accuracy: 0.720 	 Current Training Data Per Class: 130
Runner Episode: 28	Loss: 0.614474	Accuracy: 0.770 	 Current Training Data Per Class: 130
Runner Episode: 29	Loss: 0.591158	Accuracy: 0.830 	 Current Training Data Per Class: 130
Runner Episode: 30	Loss: 0.507202	Accuracy: 0.790 	 Current Training Data Per Class: 130
Runner Episode: 31	Loss: 0.353979	Accuracy: 0.860 	 Current Training Data Per Class: 130
Runner Episode: 32	Loss: 0.345526	Accuracy: 0.840 	 Current Training Data Per Class: 130
Runner Episode: 33	Loss: 0.605611	Accuracy: 0.810 	 Current Training Data Per Class: 130
Runner Episode: 34	Loss: 0.567832	Accuracy: 0.780 	 Current Training Data Per Class: 130
Runner Episode: 35	Loss: 0.286654	Accuracy: 0.900 	 Current Training Data Per Class: 130
Runner Episode: 36	Loss: 0.569719	Accuracy: 0.840 	 Current Training Data Per Class: 130
Runner Episode: 37	Loss: 0.534177	Accuracy: 0.880 	 Current Training Data Per Class: 130
Runner Episode: 38	Loss: 0.596198	Accuracy: 0.770 	 Current Training Data Per Class: 130
Runner Episode: 39	Loss: 0.527494	Accuracy: 0.800 	 Current Training Data Per Class: 130
Runner Episode: 40	Loss: 0.474054	Accuracy: 0.870 	 Current Training Data Per Class: 130
Runner Episode: 41	Loss: 0.886618	Accuracy: 0.660 	 Current Training Data Per Class: 130
Runner Episode: 42	Loss: 0.546616	Accuracy: 0.830 	 Current Training Data Per Class: 130
Runner Episode: 43	Loss: 0.727602	Accuracy: 0.780 	 Current Training Data Per Class: 130
Runner Episode: 44	Loss: 0.642007	Accuracy: 0.800 	 Current Training Data Per Class: 130
Runner Episode: 45	Loss: 0.492819	Accuracy: 0.770 	 Current Training Data Per Class: 130
Runner Episode: 46	Loss: 0.332916	Accuracy: 0.890 	 Current Training Data Per Class: 130
Runner Episode: 47	Loss: 0.637873	Accuracy: 0.800 	 Current Training Data Per Class: 130
Runner Episode: 48	Loss: 0.339123	Accuracy: 0.920 	 Current Training Data Per Class: 130
Runner Episode: 49	Loss: 0.299600	Accuracy: 0.910 	 Current Training Data Per Class: 130
Runner Episode: 50	Loss: 0.704038	Accuracy: 0.720 	 Current Training Data Per Class: 130
