Runner Episode: 1	Loss: 0.697803	Accuracy: 0.790 	 Current Training Data Per Class: 300
Runner Episode: 2	Loss: 3.316691	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 3	Loss: 0.394400	Accuracy: 0.890 	 Current Training Data Per Class: 300
Runner Episode: 4	Loss: 2.392674	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 5	Loss: 1.521102	Accuracy: 0.310 	 Current Training Data Per Class: 300
Runner Episode: 6	Loss: 3.290475	Accuracy: 0.240 	 Current Training Data Per Class: 300
Runner Episode: 7	Loss: 1.314427	Accuracy: 0.450 	 Current Training Data Per Class: 300
Runner Episode: 8	Loss: 1.838490	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 9	Loss: 3.398082	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 10	Loss: 3.274851	Accuracy: 0.400 	 Current Training Data Per Class: 300
Runner Episode: 11	Loss: 3.362063	Accuracy: 0.240 	 Current Training Data Per Class: 300
Runner Episode: 12	Loss: 2.454587	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 13	Loss: 3.421503	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 14	Loss: 3.409789	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 15	Loss: 3.456794	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 16	Loss: 0.157655	Accuracy: 0.950 	 Current Training Data Per Class: 300
Runner Episode: 17	Loss: 0.264831	Accuracy: 0.930 	 Current Training Data Per Class: 300
Runner Episode: 18	Loss: 3.411439	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 19	Loss: 2.344912	Accuracy: 0.270 	 Current Training Data Per Class: 300
Runner Episode: 20	Loss: 3.410702	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 21	Loss: 3.413054	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 22	Loss: 3.372470	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 23	Loss: 0.460541	Accuracy: 0.900 	 Current Training Data Per Class: 300
Runner Episode: 24	Loss: 1.644579	Accuracy: 0.290 	 Current Training Data Per Class: 300
Runner Episode: 25	Loss: 3.407405	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 26	Loss: 1.211623	Accuracy: 0.660 	 Current Training Data Per Class: 300
Runner Episode: 27	Loss: 2.635221	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 28	Loss: 0.561999	Accuracy: 0.840 	 Current Training Data Per Class: 300
Runner Episode: 29	Loss: 1.442401	Accuracy: 0.560 	 Current Training Data Per Class: 300
Runner Episode: 30	Loss: 1.654710	Accuracy: 0.390 	 Current Training Data Per Class: 300
Runner Episode: 31	Loss: 0.272689	Accuracy: 0.930 	 Current Training Data Per Class: 300
Runner Episode: 32	Loss: 0.382871	Accuracy: 0.910 	 Current Training Data Per Class: 300
Runner Episode: 33	Loss: 2.157504	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 34	Loss: 1.663797	Accuracy: 0.210 	 Current Training Data Per Class: 300
Runner Episode: 35	Loss: 0.524175	Accuracy: 0.840 	 Current Training Data Per Class: 300
Runner Episode: 36	Loss: 2.833128	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 37	Loss: 1.761015	Accuracy: 0.380 	 Current Training Data Per Class: 300
Runner Episode: 38	Loss: 3.406465	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 39	Loss: 1.021117	Accuracy: 0.630 	 Current Training Data Per Class: 300
Runner Episode: 40	Loss: 0.464756	Accuracy: 0.900 	 Current Training Data Per Class: 300
Runner Episode: 41	Loss: 1.609655	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 42	Loss: 3.391378	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 43	Loss: 3.242448	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 44	Loss: 0.581981	Accuracy: 0.920 	 Current Training Data Per Class: 300
Runner Episode: 45	Loss: 3.440049	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 46	Loss: 0.159681	Accuracy: 0.950 	 Current Training Data Per Class: 300
Runner Episode: 47	Loss: 3.442557	Accuracy: 0.200 	 Current Training Data Per Class: 300
Runner Episode: 48	Loss: 3.261983	Accuracy: 0.400 	 Current Training Data Per Class: 300
Runner Episode: 49	Loss: 0.826032	Accuracy: 0.800 	 Current Training Data Per Class: 300
Runner Episode: 50	Loss: 3.416119	Accuracy: 0.200 	 Current Training Data Per Class: 300
