Runner Episode: 1	Loss: 0.319558	Accuracy: 0.920 	 Current Training Data Per Class: 275
Runner Episode: 2	Loss: 0.369548	Accuracy: 0.880 	 Current Training Data Per Class: 275
Runner Episode: 3	Loss: 0.278076	Accuracy: 0.900 	 Current Training Data Per Class: 275
Runner Episode: 4	Loss: 0.325105	Accuracy: 0.920 	 Current Training Data Per Class: 275
Runner Episode: 5	Loss: 0.385394	Accuracy: 0.810 	 Current Training Data Per Class: 275
Runner Episode: 6	Loss: 0.253398	Accuracy: 0.950 	 Current Training Data Per Class: 275
Runner Episode: 7	Loss: 0.326710	Accuracy: 0.880 	 Current Training Data Per Class: 275
Runner Episode: 8	Loss: 0.251786	Accuracy: 0.930 	 Current Training Data Per Class: 275
Runner Episode: 9	Loss: 0.583650	Accuracy: 0.780 	 Current Training Data Per Class: 275
Runner Episode: 10	Loss: 0.506065	Accuracy: 0.790 	 Current Training Data Per Class: 275
Runner Episode: 11	Loss: 0.491350	Accuracy: 0.850 	 Current Training Data Per Class: 275
Runner Episode: 12	Loss: 0.323817	Accuracy: 0.900 	 Current Training Data Per Class: 275
Runner Episode: 13	Loss: 0.244572	Accuracy: 0.890 	 Current Training Data Per Class: 275
Runner Episode: 14	Loss: 0.571629	Accuracy: 0.800 	 Current Training Data Per Class: 275
Runner Episode: 15	Loss: 0.289751	Accuracy: 0.920 	 Current Training Data Per Class: 275
Runner Episode: 16	Loss: 0.152059	Accuracy: 0.960 	 Current Training Data Per Class: 275
Runner Episode: 17	Loss: 0.239596	Accuracy: 0.930 	 Current Training Data Per Class: 275
Runner Episode: 18	Loss: 0.573967	Accuracy: 0.800 	 Current Training Data Per Class: 275
Runner Episode: 19	Loss: 0.447244	Accuracy: 0.870 	 Current Training Data Per Class: 275
Runner Episode: 20	Loss: 0.306096	Accuracy: 0.880 	 Current Training Data Per Class: 275
Runner Episode: 21	Loss: 0.467867	Accuracy: 0.830 	 Current Training Data Per Class: 275
Runner Episode: 22	Loss: 0.375960	Accuracy: 0.850 	 Current Training Data Per Class: 275
Runner Episode: 23	Loss: 0.306282	Accuracy: 0.900 	 Current Training Data Per Class: 275
Runner Episode: 24	Loss: 0.272652	Accuracy: 0.900 	 Current Training Data Per Class: 275
Runner Episode: 25	Loss: 0.696499	Accuracy: 0.670 	 Current Training Data Per Class: 275
Runner Episode: 26	Loss: 0.373893	Accuracy: 0.880 	 Current Training Data Per Class: 275
Runner Episode: 27	Loss: 0.549535	Accuracy: 0.770 	 Current Training Data Per Class: 275
Runner Episode: 28	Loss: 0.423306	Accuracy: 0.850 	 Current Training Data Per Class: 275
Runner Episode: 29	Loss: 0.455962	Accuracy: 0.850 	 Current Training Data Per Class: 275
Runner Episode: 30	Loss: 0.330378	Accuracy: 0.930 	 Current Training Data Per Class: 275
Runner Episode: 31	Loss: 0.208062	Accuracy: 0.960 	 Current Training Data Per Class: 275
Runner Episode: 32	Loss: 0.280012	Accuracy: 0.910 	 Current Training Data Per Class: 275
Runner Episode: 33	Loss: 0.430024	Accuracy: 0.860 	 Current Training Data Per Class: 275
Runner Episode: 34	Loss: 0.376272	Accuracy: 0.890 	 Current Training Data Per Class: 275
Runner Episode: 35	Loss: 0.313731	Accuracy: 0.880 	 Current Training Data Per Class: 275
Runner Episode: 36	Loss: 0.772306	Accuracy: 0.660 	 Current Training Data Per Class: 275
Runner Episode: 37	Loss: 0.477804	Accuracy: 0.820 	 Current Training Data Per Class: 275
Runner Episode: 38	Loss: 0.424591	Accuracy: 0.890 	 Current Training Data Per Class: 275
Runner Episode: 39	Loss: 0.577780	Accuracy: 0.820 	 Current Training Data Per Class: 275
Runner Episode: 40	Loss: 0.309689	Accuracy: 0.870 	 Current Training Data Per Class: 275
Runner Episode: 41	Loss: 0.710658	Accuracy: 0.710 	 Current Training Data Per Class: 275
Runner Episode: 42	Loss: 0.536650	Accuracy: 0.760 	 Current Training Data Per Class: 275
Runner Episode: 43	Loss: 0.470072	Accuracy: 0.850 	 Current Training Data Per Class: 275
Runner Episode: 44	Loss: 0.548235	Accuracy: 0.780 	 Current Training Data Per Class: 275
Runner Episode: 45	Loss: 0.510513	Accuracy: 0.780 	 Current Training Data Per Class: 275
Runner Episode: 46	Loss: 0.167717	Accuracy: 0.940 	 Current Training Data Per Class: 275
Runner Episode: 47	Loss: 0.393060	Accuracy: 0.840 	 Current Training Data Per Class: 275
Runner Episode: 48	Loss: 0.206773	Accuracy: 0.900 	 Current Training Data Per Class: 275
Runner Episode: 49	Loss: 0.221287	Accuracy: 0.940 	 Current Training Data Per Class: 275
Runner Episode: 50	Loss: 0.578839	Accuracy: 0.800 	 Current Training Data Per Class: 275
