Runner Episode: 1	Loss: 0.537188	Accuracy: 0.810 	 Current Training Data Per Class: 90
Runner Episode: 2	Loss: 0.519839	Accuracy: 0.820 	 Current Training Data Per Class: 90
Runner Episode: 3	Loss: 0.253781	Accuracy: 0.940 	 Current Training Data Per Class: 90
Runner Episode: 4	Loss: 0.625881	Accuracy: 0.820 	 Current Training Data Per Class: 90
Runner Episode: 5	Loss: 0.611675	Accuracy: 0.700 	 Current Training Data Per Class: 90
Runner Episode: 6	Loss: 0.678552	Accuracy: 0.800 	 Current Training Data Per Class: 90
Runner Episode: 7	Loss: 0.333197	Accuracy: 0.920 	 Current Training Data Per Class: 90
Runner Episode: 8	Loss: 0.262288	Accuracy: 0.940 	 Current Training Data Per Class: 90
Runner Episode: 9	Loss: 0.745311	Accuracy: 0.740 	 Current Training Data Per Class: 90
Runner Episode: 10	Loss: 0.420995	Accuracy: 0.890 	 Current Training Data Per Class: 90
Runner Episode: 11	Loss: 0.590794	Accuracy: 0.810 	 Current Training Data Per Class: 90
Runner Episode: 12	Loss: 0.313563	Accuracy: 0.930 	 Current Training Data Per Class: 90
Runner Episode: 13	Loss: 0.426942	Accuracy: 0.870 	 Current Training Data Per Class: 90
Runner Episode: 14	Loss: 0.622748	Accuracy: 0.790 	 Current Training Data Per Class: 90
Runner Episode: 15	Loss: 0.475441	Accuracy: 0.820 	 Current Training Data Per Class: 90
Runner Episode: 16	Loss: 0.296876	Accuracy: 0.880 	 Current Training Data Per Class: 90
Runner Episode: 17	Loss: 0.289559	Accuracy: 0.880 	 Current Training Data Per Class: 90
Runner Episode: 18	Loss: 0.559046	Accuracy: 0.780 	 Current Training Data Per Class: 90
Runner Episode: 19	Loss: 0.591120	Accuracy: 0.820 	 Current Training Data Per Class: 90
Runner Episode: 20	Loss: 0.423825	Accuracy: 0.860 	 Current Training Data Per Class: 90
Runner Episode: 21	Loss: 0.481855	Accuracy: 0.780 	 Current Training Data Per Class: 90
Runner Episode: 22	Loss: 0.787249	Accuracy: 0.750 	 Current Training Data Per Class: 90
Runner Episode: 23	Loss: 0.374997	Accuracy: 0.880 	 Current Training Data Per Class: 90
Runner Episode: 24	Loss: 0.563146	Accuracy: 0.790 	 Current Training Data Per Class: 90
Runner Episode: 25	Loss: 0.744334	Accuracy: 0.650 	 Current Training Data Per Class: 90
Runner Episode: 26	Loss: 0.450163	Accuracy: 0.840 	 Current Training Data Per Class: 90
Runner Episode: 27	Loss: 0.857341	Accuracy: 0.730 	 Current Training Data Per Class: 90
Runner Episode: 28	Loss: 0.469443	Accuracy: 0.850 	 Current Training Data Per Class: 90
Runner Episode: 29	Loss: 0.386141	Accuracy: 0.840 	 Current Training Data Per Class: 90
Runner Episode: 30	Loss: 0.231825	Accuracy: 0.940 	 Current Training Data Per Class: 90
Runner Episode: 31	Loss: 0.432735	Accuracy: 0.850 	 Current Training Data Per Class: 90
Runner Episode: 32	Loss: 0.270330	Accuracy: 0.900 	 Current Training Data Per Class: 90
Runner Episode: 33	Loss: 0.549959	Accuracy: 0.830 	 Current Training Data Per Class: 90
Runner Episode: 34	Loss: 0.489991	Accuracy: 0.840 	 Current Training Data Per Class: 90
Runner Episode: 35	Loss: 0.409603	Accuracy: 0.840 	 Current Training Data Per Class: 90
Runner Episode: 36	Loss: 0.634080	Accuracy: 0.770 	 Current Training Data Per Class: 90
Runner Episode: 37	Loss: 0.644242	Accuracy: 0.750 	 Current Training Data Per Class: 90
Runner Episode: 38	Loss: 0.759347	Accuracy: 0.740 	 Current Training Data Per Class: 90
Runner Episode: 39	Loss: 0.613024	Accuracy: 0.830 	 Current Training Data Per Class: 90
Runner Episode: 40	Loss: 0.463905	Accuracy: 0.830 	 Current Training Data Per Class: 90
Runner Episode: 41	Loss: 0.647558	Accuracy: 0.700 	 Current Training Data Per Class: 90
Runner Episode: 42	Loss: 0.425391	Accuracy: 0.850 	 Current Training Data Per Class: 90
Runner Episode: 43	Loss: 0.579185	Accuracy: 0.820 	 Current Training Data Per Class: 90
Runner Episode: 44	Loss: 0.948846	Accuracy: 0.720 	 Current Training Data Per Class: 90
Runner Episode: 45	Loss: 0.546034	Accuracy: 0.720 	 Current Training Data Per Class: 90
Runner Episode: 46	Loss: 0.296791	Accuracy: 0.900 	 Current Training Data Per Class: 90
Runner Episode: 47	Loss: 0.526693	Accuracy: 0.850 	 Current Training Data Per Class: 90
Runner Episode: 48	Loss: 0.374062	Accuracy: 0.890 	 Current Training Data Per Class: 90
Runner Episode: 49	Loss: 0.244660	Accuracy: 0.950 	 Current Training Data Per Class: 90
Runner Episode: 50	Loss: 0.662666	Accuracy: 0.730 	 Current Training Data Per Class: 90
