Runner Episode: 1	Loss: 2.022866	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 1.991067	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 2.413502	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 2.053854	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 3.092117	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.204824	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 2.133945	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 2.087253	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 2.644461	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 3.255565	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 2.312936	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 2.091573	Accuracy: 0.150 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 2.481969	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 2.206637	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 2.171124	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 2.364275	Accuracy: 0.600 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 2.118582	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 1.984099	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 2.867622	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 2.372382	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 21	Loss: 2.467355	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 22	Loss: 2.105121	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 23	Loss: 2.444942	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 24	Loss: 2.205805	Accuracy: 0.280 	 Current Training Data Per Class: 10
Runner Episode: 25	Loss: 2.042807	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 26	Loss: 2.510030	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 27	Loss: 3.193002	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 28	Loss: 2.558045	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 29	Loss: 2.682010	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 30	Loss: 2.017494	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 31	Loss: 2.196011	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 32	Loss: 2.363984	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 33	Loss: 2.130562	Accuracy: 0.250 	 Current Training Data Per Class: 10
Runner Episode: 34	Loss: 2.250329	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 35	Loss: 3.292361	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 36	Loss: 2.149150	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 37	Loss: 2.475176	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 38	Loss: 2.419288	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 39	Loss: 2.578250	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 40	Loss: 2.418629	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 41	Loss: 2.161347	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 42	Loss: 2.676388	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 43	Loss: 2.085733	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 44	Loss: 2.313828	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 45	Loss: 2.965397	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 46	Loss: 2.142757	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 47	Loss: 2.180158	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 48	Loss: 1.700099	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 49	Loss: 2.020648	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 50	Loss: 2.666836	Accuracy: 0.200 	 Current Training Data Per Class: 10
