Runner Episode: 1	Loss: 0.363734	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 2	Loss: 0.423065	Accuracy: 0.920 	 Current Training Data Per Class: 180
Runner Episode: 3	Loss: 0.324158	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 4	Loss: 0.361873	Accuracy: 0.900 	 Current Training Data Per Class: 180
Runner Episode: 5	Loss: 0.465849	Accuracy: 0.770 	 Current Training Data Per Class: 180
Runner Episode: 6	Loss: 0.359417	Accuracy: 0.900 	 Current Training Data Per Class: 180
Runner Episode: 7	Loss: 0.344343	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 8	Loss: 0.282205	Accuracy: 0.900 	 Current Training Data Per Class: 180
Runner Episode: 9	Loss: 0.348031	Accuracy: 0.860 	 Current Training Data Per Class: 180
Runner Episode: 10	Loss: 0.552550	Accuracy: 0.800 	 Current Training Data Per Class: 180
Runner Episode: 11	Loss: 0.671968	Accuracy: 0.800 	 Current Training Data Per Class: 180
Runner Episode: 12	Loss: 0.181904	Accuracy: 0.940 	 Current Training Data Per Class: 180
Runner Episode: 13	Loss: 0.337538	Accuracy: 0.890 	 Current Training Data Per Class: 180
Runner Episode: 14	Loss: 0.671854	Accuracy: 0.810 	 Current Training Data Per Class: 180
Runner Episode: 15	Loss: 0.419412	Accuracy: 0.830 	 Current Training Data Per Class: 180
Runner Episode: 16	Loss: 0.152146	Accuracy: 0.960 	 Current Training Data Per Class: 180
Runner Episode: 17	Loss: 0.152148	Accuracy: 0.950 	 Current Training Data Per Class: 180
Runner Episode: 18	Loss: 0.343202	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 19	Loss: 0.893161	Accuracy: 0.730 	 Current Training Data Per Class: 180
Runner Episode: 20	Loss: 0.293518	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 21	Loss: 0.646372	Accuracy: 0.780 	 Current Training Data Per Class: 180
Runner Episode: 22	Loss: 0.547780	Accuracy: 0.820 	 Current Training Data Per Class: 180
Runner Episode: 23	Loss: 0.363020	Accuracy: 0.890 	 Current Training Data Per Class: 180
Runner Episode: 24	Loss: 0.292725	Accuracy: 0.890 	 Current Training Data Per Class: 180
Runner Episode: 25	Loss: 1.012056	Accuracy: 0.670 	 Current Training Data Per Class: 180
Runner Episode: 26	Loss: 0.473106	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 27	Loss: 0.256300	Accuracy: 0.950 	 Current Training Data Per Class: 180
Runner Episode: 28	Loss: 0.515453	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 29	Loss: 0.662673	Accuracy: 0.760 	 Current Training Data Per Class: 180
Runner Episode: 30	Loss: 0.313634	Accuracy: 0.900 	 Current Training Data Per Class: 180
Runner Episode: 31	Loss: 0.454077	Accuracy: 0.860 	 Current Training Data Per Class: 180
Runner Episode: 32	Loss: 0.137995	Accuracy: 0.940 	 Current Training Data Per Class: 180
Runner Episode: 33	Loss: 0.362733	Accuracy: 0.890 	 Current Training Data Per Class: 180
Runner Episode: 34	Loss: 0.298878	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 35	Loss: 0.292291	Accuracy: 0.880 	 Current Training Data Per Class: 180
Runner Episode: 36	Loss: 0.725208	Accuracy: 0.800 	 Current Training Data Per Class: 180
Runner Episode: 37	Loss: 0.287915	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 38	Loss: 0.334180	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 39	Loss: 0.614445	Accuracy: 0.790 	 Current Training Data Per Class: 180
Runner Episode: 40	Loss: 0.305713	Accuracy: 0.900 	 Current Training Data Per Class: 180
Runner Episode: 41	Loss: 0.733219	Accuracy: 0.770 	 Current Training Data Per Class: 180
Runner Episode: 42	Loss: 0.428486	Accuracy: 0.860 	 Current Training Data Per Class: 180
Runner Episode: 43	Loss: 0.440986	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 44	Loss: 0.386894	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 45	Loss: 0.440821	Accuracy: 0.780 	 Current Training Data Per Class: 180
Runner Episode: 46	Loss: 0.165278	Accuracy: 0.930 	 Current Training Data Per Class: 180
Runner Episode: 47	Loss: 0.515663	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 48	Loss: 0.292326	Accuracy: 0.890 	 Current Training Data Per Class: 180
Runner Episode: 49	Loss: 0.196477	Accuracy: 0.940 	 Current Training Data Per Class: 180
Runner Episode: 50	Loss: 0.675094	Accuracy: 0.710 	 Current Training Data Per Class: 180
