Runner Episode: 1	Loss: 0.464052	Accuracy: 0.820 	 Current Training Data Per Class: 120
Runner Episode: 2	Loss: 0.719006	Accuracy: 0.770 	 Current Training Data Per Class: 120
Runner Episode: 3	Loss: 0.321824	Accuracy: 0.870 	 Current Training Data Per Class: 120
Runner Episode: 4	Loss: 0.405689	Accuracy: 0.900 	 Current Training Data Per Class: 120
Runner Episode: 5	Loss: 0.516118	Accuracy: 0.800 	 Current Training Data Per Class: 120
Runner Episode: 6	Loss: 0.428514	Accuracy: 0.860 	 Current Training Data Per Class: 120
Runner Episode: 7	Loss: 0.381687	Accuracy: 0.870 	 Current Training Data Per Class: 120
Runner Episode: 8	Loss: 0.255557	Accuracy: 0.930 	 Current Training Data Per Class: 120
Runner Episode: 9	Loss: 0.544202	Accuracy: 0.790 	 Current Training Data Per Class: 120
Runner Episode: 10	Loss: 0.665887	Accuracy: 0.790 	 Current Training Data Per Class: 120
Runner Episode: 11	Loss: 0.846268	Accuracy: 0.710 	 Current Training Data Per Class: 120
Runner Episode: 12	Loss: 0.330119	Accuracy: 0.870 	 Current Training Data Per Class: 120
Runner Episode: 13	Loss: 0.168205	Accuracy: 0.960 	 Current Training Data Per Class: 120
Runner Episode: 14	Loss: 0.754458	Accuracy: 0.810 	 Current Training Data Per Class: 120
Runner Episode: 15	Loss: 0.327523	Accuracy: 0.900 	 Current Training Data Per Class: 120
Runner Episode: 16	Loss: 0.286884	Accuracy: 0.860 	 Current Training Data Per Class: 120
Runner Episode: 17	Loss: 0.192677	Accuracy: 0.930 	 Current Training Data Per Class: 120
Runner Episode: 18	Loss: 0.465407	Accuracy: 0.820 	 Current Training Data Per Class: 120
Runner Episode: 19	Loss: 0.464946	Accuracy: 0.840 	 Current Training Data Per Class: 120
Runner Episode: 20	Loss: 0.515285	Accuracy: 0.810 	 Current Training Data Per Class: 120
Runner Episode: 21	Loss: 0.489564	Accuracy: 0.830 	 Current Training Data Per Class: 120
Runner Episode: 22	Loss: 0.496389	Accuracy: 0.820 	 Current Training Data Per Class: 120
Runner Episode: 23	Loss: 0.311840	Accuracy: 0.900 	 Current Training Data Per Class: 120
Runner Episode: 24	Loss: 0.309386	Accuracy: 0.890 	 Current Training Data Per Class: 120
Runner Episode: 25	Loss: 0.613349	Accuracy: 0.670 	 Current Training Data Per Class: 120
Runner Episode: 26	Loss: 0.426948	Accuracy: 0.870 	 Current Training Data Per Class: 120
Runner Episode: 27	Loss: 0.448511	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 28	Loss: 0.509308	Accuracy: 0.810 	 Current Training Data Per Class: 120
Runner Episode: 29	Loss: 0.653657	Accuracy: 0.790 	 Current Training Data Per Class: 120
Runner Episode: 30	Loss: 0.270630	Accuracy: 0.930 	 Current Training Data Per Class: 120
Runner Episode: 31	Loss: 0.278978	Accuracy: 0.910 	 Current Training Data Per Class: 120
Runner Episode: 32	Loss: 0.361562	Accuracy: 0.870 	 Current Training Data Per Class: 120
Runner Episode: 33	Loss: 0.376416	Accuracy: 0.880 	 Current Training Data Per Class: 120
Runner Episode: 34	Loss: 0.236774	Accuracy: 0.910 	 Current Training Data Per Class: 120
Runner Episode: 35	Loss: 0.333638	Accuracy: 0.870 	 Current Training Data Per Class: 120
Runner Episode: 36	Loss: 0.715298	Accuracy: 0.710 	 Current Training Data Per Class: 120
Runner Episode: 37	Loss: 0.494364	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 38	Loss: 0.460721	Accuracy: 0.860 	 Current Training Data Per Class: 120
Runner Episode: 39	Loss: 0.357139	Accuracy: 0.880 	 Current Training Data Per Class: 120
Runner Episode: 40	Loss: 0.561799	Accuracy: 0.850 	 Current Training Data Per Class: 120
Runner Episode: 41	Loss: 0.605382	Accuracy: 0.780 	 Current Training Data Per Class: 120
Runner Episode: 42	Loss: 0.438952	Accuracy: 0.820 	 Current Training Data Per Class: 120
Runner Episode: 43	Loss: 0.546733	Accuracy: 0.800 	 Current Training Data Per Class: 120
Runner Episode: 44	Loss: 0.483021	Accuracy: 0.840 	 Current Training Data Per Class: 120
Runner Episode: 45	Loss: 0.551688	Accuracy: 0.780 	 Current Training Data Per Class: 120
Runner Episode: 46	Loss: 0.256999	Accuracy: 0.930 	 Current Training Data Per Class: 120
Runner Episode: 47	Loss: 0.450092	Accuracy: 0.820 	 Current Training Data Per Class: 120
Runner Episode: 48	Loss: 0.418016	Accuracy: 0.840 	 Current Training Data Per Class: 120
Runner Episode: 49	Loss: 0.182413	Accuracy: 0.950 	 Current Training Data Per Class: 120
Runner Episode: 50	Loss: 0.787808	Accuracy: 0.770 	 Current Training Data Per Class: 120
