Runner Episode: 1	Loss: 0.416788	Accuracy: 0.870 	 Current Training Data Per Class: 150
Runner Episode: 2	Loss: 0.442939	Accuracy: 0.830 	 Current Training Data Per Class: 150
Runner Episode: 3	Loss: 0.260344	Accuracy: 0.900 	 Current Training Data Per Class: 150
Runner Episode: 4	Loss: 0.374133	Accuracy: 0.900 	 Current Training Data Per Class: 150
Runner Episode: 5	Loss: 0.677436	Accuracy: 0.720 	 Current Training Data Per Class: 150
Runner Episode: 6	Loss: 0.327652	Accuracy: 0.900 	 Current Training Data Per Class: 150
Runner Episode: 7	Loss: 0.410831	Accuracy: 0.880 	 Current Training Data Per Class: 150
Runner Episode: 8	Loss: 0.487626	Accuracy: 0.790 	 Current Training Data Per Class: 150
Runner Episode: 9	Loss: 0.501638	Accuracy: 0.810 	 Current Training Data Per Class: 150
Runner Episode: 10	Loss: 0.374824	Accuracy: 0.850 	 Current Training Data Per Class: 150
Runner Episode: 11	Loss: 0.551187	Accuracy: 0.830 	 Current Training Data Per Class: 150
Runner Episode: 12	Loss: 0.406904	Accuracy: 0.860 	 Current Training Data Per Class: 150
Runner Episode: 13	Loss: 0.228606	Accuracy: 0.930 	 Current Training Data Per Class: 150
Runner Episode: 14	Loss: 0.532648	Accuracy: 0.770 	 Current Training Data Per Class: 150
Runner Episode: 15	Loss: 0.325307	Accuracy: 0.880 	 Current Training Data Per Class: 150
Runner Episode: 16	Loss: 0.221909	Accuracy: 0.920 	 Current Training Data Per Class: 150
Runner Episode: 17	Loss: 0.242667	Accuracy: 0.920 	 Current Training Data Per Class: 150
Runner Episode: 18	Loss: 0.531657	Accuracy: 0.780 	 Current Training Data Per Class: 150
Runner Episode: 19	Loss: 0.358483	Accuracy: 0.890 	 Current Training Data Per Class: 150
Runner Episode: 20	Loss: 0.512865	Accuracy: 0.810 	 Current Training Data Per Class: 150
Runner Episode: 21	Loss: 0.621366	Accuracy: 0.790 	 Current Training Data Per Class: 150
Runner Episode: 22	Loss: 0.579427	Accuracy: 0.760 	 Current Training Data Per Class: 150
Runner Episode: 23	Loss: 0.271452	Accuracy: 0.870 	 Current Training Data Per Class: 150
Runner Episode: 24	Loss: 0.400667	Accuracy: 0.860 	 Current Training Data Per Class: 150
Runner Episode: 25	Loss: 0.736256	Accuracy: 0.730 	 Current Training Data Per Class: 150
Runner Episode: 26	Loss: 0.284187	Accuracy: 0.910 	 Current Training Data Per Class: 150
Runner Episode: 27	Loss: 0.300413	Accuracy: 0.910 	 Current Training Data Per Class: 150
Runner Episode: 28	Loss: 0.479217	Accuracy: 0.820 	 Current Training Data Per Class: 150
Runner Episode: 29	Loss: 0.510879	Accuracy: 0.840 	 Current Training Data Per Class: 150
Runner Episode: 30	Loss: 0.340035	Accuracy: 0.900 	 Current Training Data Per Class: 150
Runner Episode: 31	Loss: 0.400680	Accuracy: 0.830 	 Current Training Data Per Class: 150
Runner Episode: 32	Loss: 0.286790	Accuracy: 0.890 	 Current Training Data Per Class: 150
Runner Episode: 33	Loss: 0.272906	Accuracy: 0.910 	 Current Training Data Per Class: 150
Runner Episode: 34	Loss: 0.433179	Accuracy: 0.840 	 Current Training Data Per Class: 150
Runner Episode: 35	Loss: 0.252237	Accuracy: 0.920 	 Current Training Data Per Class: 150
Runner Episode: 36	Loss: 0.567603	Accuracy: 0.800 	 Current Training Data Per Class: 150
Runner Episode: 37	Loss: 0.291344	Accuracy: 0.930 	 Current Training Data Per Class: 150
Runner Episode: 38	Loss: 0.511172	Accuracy: 0.780 	 Current Training Data Per Class: 150
Runner Episode: 39	Loss: 0.474187	Accuracy: 0.890 	 Current Training Data Per Class: 150
Runner Episode: 40	Loss: 0.421780	Accuracy: 0.870 	 Current Training Data Per Class: 150
Runner Episode: 41	Loss: 0.653744	Accuracy: 0.740 	 Current Training Data Per Class: 150
Runner Episode: 42	Loss: 0.415780	Accuracy: 0.850 	 Current Training Data Per Class: 150
Runner Episode: 43	Loss: 0.773983	Accuracy: 0.730 	 Current Training Data Per Class: 150
Runner Episode: 44	Loss: 0.591009	Accuracy: 0.790 	 Current Training Data Per Class: 150
Runner Episode: 45	Loss: 0.701797	Accuracy: 0.700 	 Current Training Data Per Class: 150
Runner Episode: 46	Loss: 0.317228	Accuracy: 0.910 	 Current Training Data Per Class: 150
Runner Episode: 47	Loss: 0.407240	Accuracy: 0.870 	 Current Training Data Per Class: 150
Runner Episode: 48	Loss: 0.418098	Accuracy: 0.860 	 Current Training Data Per Class: 150
Runner Episode: 49	Loss: 0.161018	Accuracy: 0.950 	 Current Training Data Per Class: 150
Runner Episode: 50	Loss: 0.553245	Accuracy: 0.830 	 Current Training Data Per Class: 150
