Runner Episode: 1	Loss: 1.978105	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 2.110843	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 1.930477	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 2.043012	Accuracy: 0.160 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 2.803904	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.053877	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 1.938027	Accuracy: 0.360 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 1.866724	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 1.866007	Accuracy: 0.180 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 2.994823	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 1.981626	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 1.818495	Accuracy: 0.270 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 1.990027	Accuracy: 0.240 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 1.972346	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 1.884819	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 2.433190	Accuracy: 0.600 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 2.174561	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 2.234383	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 2.495899	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 1.969462	Accuracy: 0.250 	 Current Training Data Per Class: 10
Runner Episode: 21	Loss: 2.371032	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 22	Loss: 2.063612	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 23	Loss: 2.003476	Accuracy: 0.230 	 Current Training Data Per Class: 10
Runner Episode: 24	Loss: 1.805546	Accuracy: 0.230 	 Current Training Data Per Class: 10
Runner Episode: 25	Loss: 1.950328	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 26	Loss: 2.323550	Accuracy: 0.240 	 Current Training Data Per Class: 10
Runner Episode: 27	Loss: 3.320970	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 28	Loss: 2.177206	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 29	Loss: 2.526992	Accuracy: 0.320 	 Current Training Data Per Class: 10
Runner Episode: 30	Loss: 1.713134	Accuracy: 0.300 	 Current Training Data Per Class: 10
Runner Episode: 31	Loss: 1.737217	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 32	Loss: 1.921647	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 33	Loss: 1.889181	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 34	Loss: 1.813075	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 35	Loss: 3.817293	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 36	Loss: 1.791949	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 37	Loss: 2.062037	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 38	Loss: 2.218662	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 39	Loss: 2.082896	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 40	Loss: 1.939862	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 41	Loss: 2.007736	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 42	Loss: 2.365732	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 43	Loss: 1.853990	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 44	Loss: 1.790003	Accuracy: 0.320 	 Current Training Data Per Class: 10
Runner Episode: 45	Loss: 3.126568	Accuracy: 0.300 	 Current Training Data Per Class: 10
Runner Episode: 46	Loss: 1.762311	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 47	Loss: 1.685475	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 48	Loss: 1.844984	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 49	Loss: 1.754129	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 50	Loss: 1.991054	Accuracy: 0.200 	 Current Training Data Per Class: 10
