Runner Episode: 1	Loss: 0.434556	Accuracy: 0.820 	 Current Training Data Per Class: 250
Runner Episode: 2	Loss: 0.380641	Accuracy: 0.890 	 Current Training Data Per Class: 250
Runner Episode: 3	Loss: 0.638472	Accuracy: 0.820 	 Current Training Data Per Class: 250
Runner Episode: 4	Loss: 0.574773	Accuracy: 0.800 	 Current Training Data Per Class: 250
Runner Episode: 5	Loss: 0.358154	Accuracy: 0.870 	 Current Training Data Per Class: 250
Runner Episode: 6	Loss: 0.537415	Accuracy: 0.830 	 Current Training Data Per Class: 250
Runner Episode: 7	Loss: 0.404283	Accuracy: 0.890 	 Current Training Data Per Class: 250
Runner Episode: 8	Loss: 0.293686	Accuracy: 0.920 	 Current Training Data Per Class: 250
Runner Episode: 9	Loss: 0.257380	Accuracy: 0.920 	 Current Training Data Per Class: 250
Runner Episode: 10	Loss: 0.169244	Accuracy: 0.930 	 Current Training Data Per Class: 250
Runner Episode: 11	Loss: 0.448384	Accuracy: 0.870 	 Current Training Data Per Class: 250
Runner Episode: 12	Loss: 0.777838	Accuracy: 0.750 	 Current Training Data Per Class: 250
Runner Episode: 13	Loss: 0.323129	Accuracy: 0.900 	 Current Training Data Per Class: 250
Runner Episode: 14	Loss: 0.443795	Accuracy: 0.870 	 Current Training Data Per Class: 250
Runner Episode: 15	Loss: 0.287895	Accuracy: 0.930 	 Current Training Data Per Class: 250
Runner Episode: 16	Loss: 0.333023	Accuracy: 0.830 	 Current Training Data Per Class: 250
Runner Episode: 17	Loss: 0.202234	Accuracy: 0.930 	 Current Training Data Per Class: 250
Runner Episode: 18	Loss: 0.707753	Accuracy: 0.720 	 Current Training Data Per Class: 250
Runner Episode: 19	Loss: 0.538476	Accuracy: 0.820 	 Current Training Data Per Class: 250
Runner Episode: 20	Loss: 0.836678	Accuracy: 0.740 	 Current Training Data Per Class: 250
Runner Episode: 21	Loss: 0.243792	Accuracy: 0.940 	 Current Training Data Per Class: 250
Runner Episode: 22	Loss: 0.382581	Accuracy: 0.820 	 Current Training Data Per Class: 250
Runner Episode: 23	Loss: 0.587137	Accuracy: 0.830 	 Current Training Data Per Class: 250
Runner Episode: 24	Loss: 0.627153	Accuracy: 0.770 	 Current Training Data Per Class: 250
Runner Episode: 25	Loss: 0.490695	Accuracy: 0.830 	 Current Training Data Per Class: 250
Runner Episode: 26	Loss: 0.257317	Accuracy: 0.910 	 Current Training Data Per Class: 250
Runner Episode: 27	Loss: 0.366986	Accuracy: 0.860 	 Current Training Data Per Class: 250
Runner Episode: 28	Loss: 0.268196	Accuracy: 0.940 	 Current Training Data Per Class: 250
Runner Episode: 29	Loss: 0.392391	Accuracy: 0.860 	 Current Training Data Per Class: 250
Runner Episode: 30	Loss: 0.553225	Accuracy: 0.770 	 Current Training Data Per Class: 250
Runner Episode: 31	Loss: 0.583615	Accuracy: 0.840 	 Current Training Data Per Class: 250
Runner Episode: 32	Loss: 0.302208	Accuracy: 0.940 	 Current Training Data Per Class: 250
Runner Episode: 33	Loss: 0.460190	Accuracy: 0.840 	 Current Training Data Per Class: 250
Runner Episode: 34	Loss: 0.347596	Accuracy: 0.930 	 Current Training Data Per Class: 250
Runner Episode: 35	Loss: 0.213881	Accuracy: 0.940 	 Current Training Data Per Class: 250
Runner Episode: 36	Loss: 0.637571	Accuracy: 0.740 	 Current Training Data Per Class: 250
Runner Episode: 37	Loss: 0.314921	Accuracy: 0.910 	 Current Training Data Per Class: 250
Runner Episode: 38	Loss: 0.466605	Accuracy: 0.840 	 Current Training Data Per Class: 250
Runner Episode: 39	Loss: 0.477853	Accuracy: 0.840 	 Current Training Data Per Class: 250
Runner Episode: 40	Loss: 0.163573	Accuracy: 0.960 	 Current Training Data Per Class: 250
Runner Episode: 41	Loss: 0.515108	Accuracy: 0.820 	 Current Training Data Per Class: 250
Runner Episode: 42	Loss: 0.393006	Accuracy: 0.850 	 Current Training Data Per Class: 250
Runner Episode: 43	Loss: 0.695280	Accuracy: 0.700 	 Current Training Data Per Class: 250
Runner Episode: 44	Loss: 0.692389	Accuracy: 0.680 	 Current Training Data Per Class: 250
Runner Episode: 45	Loss: 0.421889	Accuracy: 0.870 	 Current Training Data Per Class: 250
Runner Episode: 46	Loss: 0.357127	Accuracy: 0.900 	 Current Training Data Per Class: 250
Runner Episode: 47	Loss: 0.507712	Accuracy: 0.840 	 Current Training Data Per Class: 250
Runner Episode: 48	Loss: 0.121202	Accuracy: 0.980 	 Current Training Data Per Class: 250
Runner Episode: 49	Loss: 0.319674	Accuracy: 0.880 	 Current Training Data Per Class: 250
Runner Episode: 50	Loss: 0.522973	Accuracy: 0.870 	 Current Training Data Per Class: 250
