Runner Episode: 1	Loss: 3.719176	Accuracy: 0.220 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.908756	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.923296	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.836527	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.904423	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 4.008444	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.803454	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.899555	Accuracy: 0.030 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.777040	Accuracy: 0.030 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 4.007203	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.794970	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.981200	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.801411	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.825125	Accuracy: 0.150 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.910818	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.808240	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.929153	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.872713	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.851380	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.898841	Accuracy: 0.000 	 Current Training Data Per Class: 0
