Runner Episode: 1	Loss: 0.347745	Accuracy: 0.870 	 Current Training Data Per Class: 50
Runner Episode: 2	Loss: 0.681110	Accuracy: 0.720 	 Current Training Data Per Class: 50
Runner Episode: 3	Loss: 0.350922	Accuracy: 0.860 	 Current Training Data Per Class: 50
Runner Episode: 4	Loss: 0.584894	Accuracy: 0.740 	 Current Training Data Per Class: 50
Runner Episode: 5	Loss: 0.282353	Accuracy: 0.920 	 Current Training Data Per Class: 50
Runner Episode: 6	Loss: 0.392332	Accuracy: 0.850 	 Current Training Data Per Class: 50
Runner Episode: 7	Loss: 0.450843	Accuracy: 0.840 	 Current Training Data Per Class: 50
Runner Episode: 8	Loss: 0.332417	Accuracy: 0.880 	 Current Training Data Per Class: 50
Runner Episode: 9	Loss: 0.469047	Accuracy: 0.820 	 Current Training Data Per Class: 50
Runner Episode: 10	Loss: 0.502248	Accuracy: 0.840 	 Current Training Data Per Class: 50
Runner Episode: 11	Loss: 0.336422	Accuracy: 0.870 	 Current Training Data Per Class: 50
Runner Episode: 12	Loss: 0.620535	Accuracy: 0.770 	 Current Training Data Per Class: 50
Runner Episode: 13	Loss: 0.452147	Accuracy: 0.850 	 Current Training Data Per Class: 50
Runner Episode: 14	Loss: 0.673937	Accuracy: 0.780 	 Current Training Data Per Class: 50
Runner Episode: 15	Loss: 0.417231	Accuracy: 0.870 	 Current Training Data Per Class: 50
Runner Episode: 16	Loss: 0.753894	Accuracy: 0.740 	 Current Training Data Per Class: 50
Runner Episode: 17	Loss: 0.505548	Accuracy: 0.850 	 Current Training Data Per Class: 50
Runner Episode: 18	Loss: 0.737652	Accuracy: 0.670 	 Current Training Data Per Class: 50
Runner Episode: 19	Loss: 0.432987	Accuracy: 0.870 	 Current Training Data Per Class: 50
Runner Episode: 20	Loss: 0.648501	Accuracy: 0.750 	 Current Training Data Per Class: 50
Runner Episode: 21	Loss: 0.593688	Accuracy: 0.790 	 Current Training Data Per Class: 50
Runner Episode: 22	Loss: 0.612766	Accuracy: 0.840 	 Current Training Data Per Class: 50
Runner Episode: 23	Loss: 0.399906	Accuracy: 0.840 	 Current Training Data Per Class: 50
Runner Episode: 24	Loss: 0.382999	Accuracy: 0.890 	 Current Training Data Per Class: 50
Runner Episode: 25	Loss: 0.374753	Accuracy: 0.870 	 Current Training Data Per Class: 50
Runner Episode: 26	Loss: 0.498016	Accuracy: 0.850 	 Current Training Data Per Class: 50
Runner Episode: 27	Loss: 0.426589	Accuracy: 0.800 	 Current Training Data Per Class: 50
Runner Episode: 28	Loss: 0.438234	Accuracy: 0.890 	 Current Training Data Per Class: 50
Runner Episode: 29	Loss: 0.619967	Accuracy: 0.770 	 Current Training Data Per Class: 50
Runner Episode: 30	Loss: 0.319447	Accuracy: 0.930 	 Current Training Data Per Class: 50
Runner Episode: 31	Loss: 0.297295	Accuracy: 0.890 	 Current Training Data Per Class: 50
Runner Episode: 32	Loss: 0.651916	Accuracy: 0.840 	 Current Training Data Per Class: 50
Runner Episode: 33	Loss: 0.555788	Accuracy: 0.810 	 Current Training Data Per Class: 50
Runner Episode: 34	Loss: 1.348408	Accuracy: 0.640 	 Current Training Data Per Class: 50
Runner Episode: 35	Loss: 0.738399	Accuracy: 0.730 	 Current Training Data Per Class: 50
Runner Episode: 36	Loss: 0.559036	Accuracy: 0.810 	 Current Training Data Per Class: 50
Runner Episode: 37	Loss: 0.261391	Accuracy: 0.900 	 Current Training Data Per Class: 50
Runner Episode: 38	Loss: 0.437929	Accuracy: 0.860 	 Current Training Data Per Class: 50
Runner Episode: 39	Loss: 0.689054	Accuracy: 0.780 	 Current Training Data Per Class: 50
Runner Episode: 40	Loss: 0.491333	Accuracy: 0.820 	 Current Training Data Per Class: 50
Runner Episode: 41	Loss: 0.755709	Accuracy: 0.760 	 Current Training Data Per Class: 50
Runner Episode: 42	Loss: 0.626665	Accuracy: 0.810 	 Current Training Data Per Class: 50
Runner Episode: 43	Loss: 0.274716	Accuracy: 0.900 	 Current Training Data Per Class: 50
Runner Episode: 44	Loss: 0.361078	Accuracy: 0.850 	 Current Training Data Per Class: 50
Runner Episode: 45	Loss: 0.568409	Accuracy: 0.830 	 Current Training Data Per Class: 50
Runner Episode: 46	Loss: 0.735357	Accuracy: 0.710 	 Current Training Data Per Class: 50
Runner Episode: 47	Loss: 0.408396	Accuracy: 0.890 	 Current Training Data Per Class: 50
Runner Episode: 48	Loss: 0.468870	Accuracy: 0.800 	 Current Training Data Per Class: 50
Runner Episode: 49	Loss: 0.378101	Accuracy: 0.860 	 Current Training Data Per Class: 50
Runner Episode: 50	Loss: 0.389778	Accuracy: 0.840 	 Current Training Data Per Class: 50
