Runner Episode: 1	Loss: 0.178815	Accuracy: 0.950 	 Current Training Data Per Class: 300
Runner Episode: 2	Loss: 0.323850	Accuracy: 0.870 	 Current Training Data Per Class: 300
Runner Episode: 3	Loss: 0.292992	Accuracy: 0.900 	 Current Training Data Per Class: 300
Runner Episode: 4	Loss: 0.244419	Accuracy: 0.900 	 Current Training Data Per Class: 300
Runner Episode: 5	Loss: 0.245322	Accuracy: 0.900 	 Current Training Data Per Class: 300
Runner Episode: 6	Loss: 0.159291	Accuracy: 0.960 	 Current Training Data Per Class: 300
Runner Episode: 7	Loss: 0.363783	Accuracy: 0.860 	 Current Training Data Per Class: 300
Runner Episode: 8	Loss: 0.170691	Accuracy: 0.940 	 Current Training Data Per Class: 300
Runner Episode: 9	Loss: 0.303714	Accuracy: 0.920 	 Current Training Data Per Class: 300
Runner Episode: 10	Loss: 0.352204	Accuracy: 0.890 	 Current Training Data Per Class: 300
Runner Episode: 11	Loss: 0.182518	Accuracy: 0.930 	 Current Training Data Per Class: 300
Runner Episode: 12	Loss: 0.496499	Accuracy: 0.870 	 Current Training Data Per Class: 300
Runner Episode: 13	Loss: 0.144995	Accuracy: 0.930 	 Current Training Data Per Class: 300
Runner Episode: 14	Loss: 0.523912	Accuracy: 0.820 	 Current Training Data Per Class: 300
Runner Episode: 15	Loss: 0.292927	Accuracy: 0.910 	 Current Training Data Per Class: 300
Runner Episode: 16	Loss: 0.176423	Accuracy: 0.940 	 Current Training Data Per Class: 300
Runner Episode: 17	Loss: 0.345939	Accuracy: 0.870 	 Current Training Data Per Class: 300
Runner Episode: 18	Loss: 0.597121	Accuracy: 0.790 	 Current Training Data Per Class: 300
Runner Episode: 19	Loss: 0.201450	Accuracy: 0.950 	 Current Training Data Per Class: 300
Runner Episode: 20	Loss: 0.531626	Accuracy: 0.790 	 Current Training Data Per Class: 300
Runner Episode: 21	Loss: 0.204014	Accuracy: 0.940 	 Current Training Data Per Class: 300
Runner Episode: 22	Loss: 0.413891	Accuracy: 0.870 	 Current Training Data Per Class: 300
Runner Episode: 23	Loss: 0.104630	Accuracy: 0.970 	 Current Training Data Per Class: 300
Runner Episode: 24	Loss: 0.085573	Accuracy: 0.970 	 Current Training Data Per Class: 300
Runner Episode: 25	Loss: 0.388342	Accuracy: 0.860 	 Current Training Data Per Class: 300
Runner Episode: 26	Loss: 0.226541	Accuracy: 0.930 	 Current Training Data Per Class: 300
Runner Episode: 27	Loss: 0.475182	Accuracy: 0.850 	 Current Training Data Per Class: 300
Runner Episode: 28	Loss: 0.155624	Accuracy: 0.970 	 Current Training Data Per Class: 300
Runner Episode: 29	Loss: 0.530016	Accuracy: 0.830 	 Current Training Data Per Class: 300
Runner Episode: 30	Loss: 0.186886	Accuracy: 0.930 	 Current Training Data Per Class: 300
Runner Episode: 31	Loss: 0.089810	Accuracy: 0.970 	 Current Training Data Per Class: 300
Runner Episode: 32	Loss: 0.292653	Accuracy: 0.900 	 Current Training Data Per Class: 300
Runner Episode: 33	Loss: 0.127088	Accuracy: 0.980 	 Current Training Data Per Class: 300
Runner Episode: 34	Loss: 0.392565	Accuracy: 0.870 	 Current Training Data Per Class: 300
Runner Episode: 35	Loss: 0.213901	Accuracy: 0.950 	 Current Training Data Per Class: 300
Runner Episode: 36	Loss: 0.282548	Accuracy: 0.920 	 Current Training Data Per Class: 300
Runner Episode: 37	Loss: 0.133917	Accuracy: 0.960 	 Current Training Data Per Class: 300
Runner Episode: 38	Loss: 0.228050	Accuracy: 0.880 	 Current Training Data Per Class: 300
Runner Episode: 39	Loss: 0.414800	Accuracy: 0.870 	 Current Training Data Per Class: 300
Runner Episode: 40	Loss: 0.336980	Accuracy: 0.910 	 Current Training Data Per Class: 300
Runner Episode: 41	Loss: 0.329644	Accuracy: 0.910 	 Current Training Data Per Class: 300
Runner Episode: 42	Loss: 0.177035	Accuracy: 0.930 	 Current Training Data Per Class: 300
Runner Episode: 43	Loss: 0.320902	Accuracy: 0.920 	 Current Training Data Per Class: 300
Runner Episode: 44	Loss: 0.242476	Accuracy: 0.930 	 Current Training Data Per Class: 300
Runner Episode: 45	Loss: 0.283447	Accuracy: 0.880 	 Current Training Data Per Class: 300
Runner Episode: 46	Loss: 0.371625	Accuracy: 0.890 	 Current Training Data Per Class: 300
Runner Episode: 47	Loss: 0.224223	Accuracy: 0.900 	 Current Training Data Per Class: 300
Runner Episode: 48	Loss: 0.211893	Accuracy: 0.920 	 Current Training Data Per Class: 300
Runner Episode: 49	Loss: 0.186029	Accuracy: 0.920 	 Current Training Data Per Class: 300
Runner Episode: 50	Loss: 0.373473	Accuracy: 0.900 	 Current Training Data Per Class: 300
