Runner Episode: 1	Loss: 0.748356	Accuracy: 0.730 	 Current Training Data Per Class: 140
Runner Episode: 2	Loss: 0.428366	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 3	Loss: 0.198508	Accuracy: 0.960 	 Current Training Data Per Class: 140
Runner Episode: 4	Loss: 0.553418	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 5	Loss: 0.542417	Accuracy: 0.740 	 Current Training Data Per Class: 140
Runner Episode: 6	Loss: 0.389209	Accuracy: 0.850 	 Current Training Data Per Class: 140
Runner Episode: 7	Loss: 0.253412	Accuracy: 0.930 	 Current Training Data Per Class: 140
Runner Episode: 8	Loss: 0.383809	Accuracy: 0.850 	 Current Training Data Per Class: 140
Runner Episode: 9	Loss: 0.553305	Accuracy: 0.780 	 Current Training Data Per Class: 140
Runner Episode: 10	Loss: 0.550136	Accuracy: 0.810 	 Current Training Data Per Class: 140
Runner Episode: 11	Loss: 0.537253	Accuracy: 0.810 	 Current Training Data Per Class: 140
Runner Episode: 12	Loss: 0.351481	Accuracy: 0.900 	 Current Training Data Per Class: 140
Runner Episode: 13	Loss: 0.338311	Accuracy: 0.880 	 Current Training Data Per Class: 140
Runner Episode: 14	Loss: 0.431494	Accuracy: 0.860 	 Current Training Data Per Class: 140
Runner Episode: 15	Loss: 0.517724	Accuracy: 0.820 	 Current Training Data Per Class: 140
Runner Episode: 16	Loss: 0.148608	Accuracy: 0.920 	 Current Training Data Per Class: 140
Runner Episode: 17	Loss: 0.262440	Accuracy: 0.910 	 Current Training Data Per Class: 140
Runner Episode: 18	Loss: 0.738851	Accuracy: 0.740 	 Current Training Data Per Class: 140
Runner Episode: 19	Loss: 0.398843	Accuracy: 0.880 	 Current Training Data Per Class: 140
Runner Episode: 20	Loss: 0.488718	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 21	Loss: 0.514275	Accuracy: 0.740 	 Current Training Data Per Class: 140
Runner Episode: 22	Loss: 0.612666	Accuracy: 0.720 	 Current Training Data Per Class: 140
Runner Episode: 23	Loss: 0.602775	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 24	Loss: 0.360075	Accuracy: 0.890 	 Current Training Data Per Class: 140
Runner Episode: 25	Loss: 0.712161	Accuracy: 0.710 	 Current Training Data Per Class: 140
Runner Episode: 26	Loss: 0.329184	Accuracy: 0.850 	 Current Training Data Per Class: 140
Runner Episode: 27	Loss: 0.415545	Accuracy: 0.850 	 Current Training Data Per Class: 140
Runner Episode: 28	Loss: 0.472739	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 29	Loss: 0.754147	Accuracy: 0.710 	 Current Training Data Per Class: 140
Runner Episode: 30	Loss: 0.348402	Accuracy: 0.890 	 Current Training Data Per Class: 140
Runner Episode: 31	Loss: 0.263547	Accuracy: 0.920 	 Current Training Data Per Class: 140
Runner Episode: 32	Loss: 0.198242	Accuracy: 0.940 	 Current Training Data Per Class: 140
Runner Episode: 33	Loss: 0.707783	Accuracy: 0.770 	 Current Training Data Per Class: 140
Runner Episode: 34	Loss: 0.331129	Accuracy: 0.910 	 Current Training Data Per Class: 140
Runner Episode: 35	Loss: 0.350096	Accuracy: 0.920 	 Current Training Data Per Class: 140
Runner Episode: 36	Loss: 0.405717	Accuracy: 0.860 	 Current Training Data Per Class: 140
Runner Episode: 37	Loss: 0.475895	Accuracy: 0.780 	 Current Training Data Per Class: 140
Runner Episode: 38	Loss: 0.616195	Accuracy: 0.770 	 Current Training Data Per Class: 140
Runner Episode: 39	Loss: 0.553686	Accuracy: 0.820 	 Current Training Data Per Class: 140
Runner Episode: 40	Loss: 0.380589	Accuracy: 0.820 	 Current Training Data Per Class: 140
Runner Episode: 41	Loss: 0.658879	Accuracy: 0.730 	 Current Training Data Per Class: 140
Runner Episode: 42	Loss: 0.412504	Accuracy: 0.870 	 Current Training Data Per Class: 140
Runner Episode: 43	Loss: 0.790699	Accuracy: 0.670 	 Current Training Data Per Class: 140
Runner Episode: 44	Loss: 0.673211	Accuracy: 0.790 	 Current Training Data Per Class: 140
Runner Episode: 45	Loss: 0.658808	Accuracy: 0.700 	 Current Training Data Per Class: 140
Runner Episode: 46	Loss: 0.220505	Accuracy: 0.930 	 Current Training Data Per Class: 140
Runner Episode: 47	Loss: 0.471326	Accuracy: 0.830 	 Current Training Data Per Class: 140
Runner Episode: 48	Loss: 0.237572	Accuracy: 0.900 	 Current Training Data Per Class: 140
Runner Episode: 49	Loss: 0.510875	Accuracy: 0.800 	 Current Training Data Per Class: 140
Runner Episode: 50	Loss: 0.600121	Accuracy: 0.740 	 Current Training Data Per Class: 140
