Runner Episode: 1	Loss: 0.147968	Accuracy: 0.960 	 Current Training Data Per Class: 250
Runner Episode: 2	Loss: 0.510350	Accuracy: 0.810 	 Current Training Data Per Class: 250
Runner Episode: 3	Loss: 0.263163	Accuracy: 0.910 	 Current Training Data Per Class: 250
Runner Episode: 4	Loss: 0.298545	Accuracy: 0.880 	 Current Training Data Per Class: 250
Runner Episode: 5	Loss: 0.202805	Accuracy: 0.920 	 Current Training Data Per Class: 250
Runner Episode: 6	Loss: 0.198705	Accuracy: 0.970 	 Current Training Data Per Class: 250
Runner Episode: 7	Loss: 0.337259	Accuracy: 0.870 	 Current Training Data Per Class: 250
Runner Episode: 8	Loss: 0.266864	Accuracy: 0.920 	 Current Training Data Per Class: 250
Runner Episode: 9	Loss: 0.456399	Accuracy: 0.850 	 Current Training Data Per Class: 250
Runner Episode: 10	Loss: 0.471288	Accuracy: 0.840 	 Current Training Data Per Class: 250
Runner Episode: 11	Loss: 0.249846	Accuracy: 0.910 	 Current Training Data Per Class: 250
Runner Episode: 12	Loss: 0.458549	Accuracy: 0.840 	 Current Training Data Per Class: 250
Runner Episode: 13	Loss: 0.194187	Accuracy: 0.930 	 Current Training Data Per Class: 250
Runner Episode: 14	Loss: 0.365280	Accuracy: 0.860 	 Current Training Data Per Class: 250
Runner Episode: 15	Loss: 0.344386	Accuracy: 0.870 	 Current Training Data Per Class: 250
Runner Episode: 16	Loss: 0.704827	Accuracy: 0.820 	 Current Training Data Per Class: 250
Runner Episode: 17	Loss: 0.349227	Accuracy: 0.910 	 Current Training Data Per Class: 250
Runner Episode: 18	Loss: 0.505330	Accuracy: 0.800 	 Current Training Data Per Class: 250
Runner Episode: 19	Loss: 0.375867	Accuracy: 0.870 	 Current Training Data Per Class: 250
Runner Episode: 20	Loss: 0.375802	Accuracy: 0.880 	 Current Training Data Per Class: 250
Runner Episode: 21	Loss: 0.295027	Accuracy: 0.910 	 Current Training Data Per Class: 250
Runner Episode: 22	Loss: 0.190838	Accuracy: 0.930 	 Current Training Data Per Class: 250
Runner Episode: 23	Loss: 0.299679	Accuracy: 0.900 	 Current Training Data Per Class: 250
Runner Episode: 24	Loss: 0.213747	Accuracy: 0.970 	 Current Training Data Per Class: 250
Runner Episode: 25	Loss: 0.290402	Accuracy: 0.890 	 Current Training Data Per Class: 250
Runner Episode: 26	Loss: 0.287509	Accuracy: 0.920 	 Current Training Data Per Class: 250
Runner Episode: 27	Loss: 0.245594	Accuracy: 0.930 	 Current Training Data Per Class: 250
Runner Episode: 28	Loss: 0.410371	Accuracy: 0.860 	 Current Training Data Per Class: 250
Runner Episode: 29	Loss: 0.380038	Accuracy: 0.880 	 Current Training Data Per Class: 250
Runner Episode: 30	Loss: 0.273897	Accuracy: 0.920 	 Current Training Data Per Class: 250
Runner Episode: 31	Loss: 0.158140	Accuracy: 0.950 	 Current Training Data Per Class: 250
Runner Episode: 32	Loss: 0.297421	Accuracy: 0.910 	 Current Training Data Per Class: 250
Runner Episode: 33	Loss: 0.164551	Accuracy: 0.960 	 Current Training Data Per Class: 250
Runner Episode: 34	Loss: 0.917791	Accuracy: 0.640 	 Current Training Data Per Class: 250
Runner Episode: 35	Loss: 0.389580	Accuracy: 0.900 	 Current Training Data Per Class: 250
Runner Episode: 36	Loss: 0.219690	Accuracy: 0.940 	 Current Training Data Per Class: 250
Runner Episode: 37	Loss: 0.419267	Accuracy: 0.860 	 Current Training Data Per Class: 250
Runner Episode: 38	Loss: 0.505604	Accuracy: 0.800 	 Current Training Data Per Class: 250
Runner Episode: 39	Loss: 0.322580	Accuracy: 0.870 	 Current Training Data Per Class: 250
Runner Episode: 40	Loss: 0.351168	Accuracy: 0.870 	 Current Training Data Per Class: 250
Runner Episode: 41	Loss: 0.600300	Accuracy: 0.770 	 Current Training Data Per Class: 250
Runner Episode: 42	Loss: 0.496695	Accuracy: 0.860 	 Current Training Data Per Class: 250
Runner Episode: 43	Loss: 0.585425	Accuracy: 0.780 	 Current Training Data Per Class: 250
Runner Episode: 44	Loss: 0.454669	Accuracy: 0.830 	 Current Training Data Per Class: 250
Runner Episode: 45	Loss: 0.296412	Accuracy: 0.900 	 Current Training Data Per Class: 250
Runner Episode: 46	Loss: 0.547635	Accuracy: 0.830 	 Current Training Data Per Class: 250
Runner Episode: 47	Loss: 0.156584	Accuracy: 0.960 	 Current Training Data Per Class: 250
Runner Episode: 48	Loss: 0.292054	Accuracy: 0.920 	 Current Training Data Per Class: 250
Runner Episode: 49	Loss: 0.259570	Accuracy: 0.930 	 Current Training Data Per Class: 250
Runner Episode: 50	Loss: 0.397527	Accuracy: 0.850 	 Current Training Data Per Class: 250
