Runner Episode: 1	Loss: 0.488798	Accuracy: 0.870 	 Current Training Data Per Class: 200
Runner Episode: 2	Loss: 0.519585	Accuracy: 0.850 	 Current Training Data Per Class: 200
Runner Episode: 3	Loss: 0.231147	Accuracy: 0.970 	 Current Training Data Per Class: 200
Runner Episode: 4	Loss: 0.577702	Accuracy: 0.800 	 Current Training Data Per Class: 200
Runner Episode: 5	Loss: 0.574388	Accuracy: 0.710 	 Current Training Data Per Class: 200
Runner Episode: 6	Loss: 0.374353	Accuracy: 0.870 	 Current Training Data Per Class: 200
Runner Episode: 7	Loss: 0.233413	Accuracy: 0.910 	 Current Training Data Per Class: 200
Runner Episode: 8	Loss: 0.427320	Accuracy: 0.870 	 Current Training Data Per Class: 200
Runner Episode: 9	Loss: 0.415293	Accuracy: 0.840 	 Current Training Data Per Class: 200
Runner Episode: 10	Loss: 0.589354	Accuracy: 0.780 	 Current Training Data Per Class: 200
Runner Episode: 11	Loss: 0.434777	Accuracy: 0.860 	 Current Training Data Per Class: 200
Runner Episode: 12	Loss: 0.384397	Accuracy: 0.880 	 Current Training Data Per Class: 200
Runner Episode: 13	Loss: 0.330736	Accuracy: 0.870 	 Current Training Data Per Class: 200
Runner Episode: 14	Loss: 0.543519	Accuracy: 0.810 	 Current Training Data Per Class: 200
Runner Episode: 15	Loss: 0.228519	Accuracy: 0.940 	 Current Training Data Per Class: 200
Runner Episode: 16	Loss: 0.310213	Accuracy: 0.880 	 Current Training Data Per Class: 200
Runner Episode: 17	Loss: 0.147356	Accuracy: 0.960 	 Current Training Data Per Class: 200
Runner Episode: 18	Loss: 0.371697	Accuracy: 0.860 	 Current Training Data Per Class: 200
Runner Episode: 19	Loss: 0.504240	Accuracy: 0.830 	 Current Training Data Per Class: 200
Runner Episode: 20	Loss: 0.448186	Accuracy: 0.880 	 Current Training Data Per Class: 200
Runner Episode: 21	Loss: 0.429714	Accuracy: 0.830 	 Current Training Data Per Class: 200
Runner Episode: 22	Loss: 0.476951	Accuracy: 0.810 	 Current Training Data Per Class: 200
Runner Episode: 23	Loss: 0.417997	Accuracy: 0.800 	 Current Training Data Per Class: 200
Runner Episode: 24	Loss: 0.290278	Accuracy: 0.920 	 Current Training Data Per Class: 200
Runner Episode: 25	Loss: 0.688367	Accuracy: 0.690 	 Current Training Data Per Class: 200
Runner Episode: 26	Loss: 0.523462	Accuracy: 0.810 	 Current Training Data Per Class: 200
Runner Episode: 27	Loss: 0.369746	Accuracy: 0.930 	 Current Training Data Per Class: 200
Runner Episode: 28	Loss: 0.455479	Accuracy: 0.860 	 Current Training Data Per Class: 200
Runner Episode: 29	Loss: 0.541145	Accuracy: 0.790 	 Current Training Data Per Class: 200
Runner Episode: 30	Loss: 0.489919	Accuracy: 0.870 	 Current Training Data Per Class: 200
Runner Episode: 31	Loss: 0.241904	Accuracy: 0.920 	 Current Training Data Per Class: 200
Runner Episode: 32	Loss: 0.173039	Accuracy: 0.930 	 Current Training Data Per Class: 200
Runner Episode: 33	Loss: 0.363310	Accuracy: 0.860 	 Current Training Data Per Class: 200
Runner Episode: 34	Loss: 0.490334	Accuracy: 0.740 	 Current Training Data Per Class: 200
Runner Episode: 35	Loss: 0.303879	Accuracy: 0.890 	 Current Training Data Per Class: 200
Runner Episode: 36	Loss: 0.806899	Accuracy: 0.710 	 Current Training Data Per Class: 200
Runner Episode: 37	Loss: 0.483143	Accuracy: 0.830 	 Current Training Data Per Class: 200
Runner Episode: 38	Loss: 0.443178	Accuracy: 0.870 	 Current Training Data Per Class: 200
Runner Episode: 39	Loss: 0.517298	Accuracy: 0.810 	 Current Training Data Per Class: 200
Runner Episode: 40	Loss: 0.332902	Accuracy: 0.880 	 Current Training Data Per Class: 200
Runner Episode: 41	Loss: 0.574955	Accuracy: 0.810 	 Current Training Data Per Class: 200
Runner Episode: 42	Loss: 0.550269	Accuracy: 0.880 	 Current Training Data Per Class: 200
Runner Episode: 43	Loss: 0.537373	Accuracy: 0.850 	 Current Training Data Per Class: 200
Runner Episode: 44	Loss: 0.559217	Accuracy: 0.820 	 Current Training Data Per Class: 200
Runner Episode: 45	Loss: 0.478670	Accuracy: 0.770 	 Current Training Data Per Class: 200
Runner Episode: 46	Loss: 0.270530	Accuracy: 0.940 	 Current Training Data Per Class: 200
Runner Episode: 47	Loss: 0.572705	Accuracy: 0.810 	 Current Training Data Per Class: 200
Runner Episode: 48	Loss: 0.281937	Accuracy: 0.920 	 Current Training Data Per Class: 200
Runner Episode: 49	Loss: 0.448471	Accuracy: 0.850 	 Current Training Data Per Class: 200
Runner Episode: 50	Loss: 0.597767	Accuracy: 0.720 	 Current Training Data Per Class: 200
