Runner Episode: 1	Loss: 0.514758	Accuracy: 0.810 	 Current Training Data Per Class: 160
Runner Episode: 2	Loss: 0.507622	Accuracy: 0.830 	 Current Training Data Per Class: 160
Runner Episode: 3	Loss: 0.169803	Accuracy: 0.960 	 Current Training Data Per Class: 160
Runner Episode: 4	Loss: 0.446488	Accuracy: 0.820 	 Current Training Data Per Class: 160
Runner Episode: 5	Loss: 0.533894	Accuracy: 0.770 	 Current Training Data Per Class: 160
Runner Episode: 6	Loss: 0.281668	Accuracy: 0.940 	 Current Training Data Per Class: 160
Runner Episode: 7	Loss: 0.414050	Accuracy: 0.870 	 Current Training Data Per Class: 160
Runner Episode: 8	Loss: 0.403062	Accuracy: 0.870 	 Current Training Data Per Class: 160
Runner Episode: 9	Loss: 0.365396	Accuracy: 0.860 	 Current Training Data Per Class: 160
Runner Episode: 10	Loss: 0.602086	Accuracy: 0.770 	 Current Training Data Per Class: 160
Runner Episode: 11	Loss: 0.477879	Accuracy: 0.840 	 Current Training Data Per Class: 160
Runner Episode: 12	Loss: 0.306989	Accuracy: 0.880 	 Current Training Data Per Class: 160
Runner Episode: 13	Loss: 0.403805	Accuracy: 0.840 	 Current Training Data Per Class: 160
Runner Episode: 14	Loss: 0.446716	Accuracy: 0.870 	 Current Training Data Per Class: 160
Runner Episode: 15	Loss: 0.292732	Accuracy: 0.890 	 Current Training Data Per Class: 160
Runner Episode: 16	Loss: 0.149728	Accuracy: 0.950 	 Current Training Data Per Class: 160
Runner Episode: 17	Loss: 0.239165	Accuracy: 0.920 	 Current Training Data Per Class: 160
Runner Episode: 18	Loss: 0.616216	Accuracy: 0.730 	 Current Training Data Per Class: 160
Runner Episode: 19	Loss: 0.576713	Accuracy: 0.800 	 Current Training Data Per Class: 160
Runner Episode: 20	Loss: 0.404301	Accuracy: 0.880 	 Current Training Data Per Class: 160
Runner Episode: 21	Loss: 0.470134	Accuracy: 0.790 	 Current Training Data Per Class: 160
Runner Episode: 22	Loss: 0.500019	Accuracy: 0.800 	 Current Training Data Per Class: 160
Runner Episode: 23	Loss: 0.240565	Accuracy: 0.910 	 Current Training Data Per Class: 160
Runner Episode: 24	Loss: 0.414399	Accuracy: 0.840 	 Current Training Data Per Class: 160
Runner Episode: 25	Loss: 0.599644	Accuracy: 0.810 	 Current Training Data Per Class: 160
Runner Episode: 26	Loss: 0.364461	Accuracy: 0.890 	 Current Training Data Per Class: 160
Runner Episode: 27	Loss: 0.365610	Accuracy: 0.870 	 Current Training Data Per Class: 160
Runner Episode: 28	Loss: 0.475208	Accuracy: 0.830 	 Current Training Data Per Class: 160
Runner Episode: 29	Loss: 0.506402	Accuracy: 0.820 	 Current Training Data Per Class: 160
Runner Episode: 30	Loss: 0.373933	Accuracy: 0.890 	 Current Training Data Per Class: 160
Runner Episode: 31	Loss: 0.215910	Accuracy: 0.940 	 Current Training Data Per Class: 160
Runner Episode: 32	Loss: 0.244736	Accuracy: 0.920 	 Current Training Data Per Class: 160
Runner Episode: 33	Loss: 0.262497	Accuracy: 0.890 	 Current Training Data Per Class: 160
Runner Episode: 34	Loss: 0.362100	Accuracy: 0.880 	 Current Training Data Per Class: 160
Runner Episode: 35	Loss: 0.154830	Accuracy: 0.950 	 Current Training Data Per Class: 160
Runner Episode: 36	Loss: 0.669670	Accuracy: 0.760 	 Current Training Data Per Class: 160
Runner Episode: 37	Loss: 0.401289	Accuracy: 0.870 	 Current Training Data Per Class: 160
Runner Episode: 38	Loss: 0.627448	Accuracy: 0.760 	 Current Training Data Per Class: 160
Runner Episode: 39	Loss: 0.577607	Accuracy: 0.830 	 Current Training Data Per Class: 160
Runner Episode: 40	Loss: 0.353579	Accuracy: 0.880 	 Current Training Data Per Class: 160
Runner Episode: 41	Loss: 0.719375	Accuracy: 0.720 	 Current Training Data Per Class: 160
Runner Episode: 42	Loss: 0.466430	Accuracy: 0.840 	 Current Training Data Per Class: 160
Runner Episode: 43	Loss: 0.865156	Accuracy: 0.650 	 Current Training Data Per Class: 160
Runner Episode: 44	Loss: 0.375581	Accuracy: 0.860 	 Current Training Data Per Class: 160
Runner Episode: 45	Loss: 0.581947	Accuracy: 0.720 	 Current Training Data Per Class: 160
Runner Episode: 46	Loss: 0.221670	Accuracy: 0.940 	 Current Training Data Per Class: 160
Runner Episode: 47	Loss: 0.439406	Accuracy: 0.860 	 Current Training Data Per Class: 160
Runner Episode: 48	Loss: 0.308408	Accuracy: 0.910 	 Current Training Data Per Class: 160
Runner Episode: 49	Loss: 0.271693	Accuracy: 0.890 	 Current Training Data Per Class: 160
Runner Episode: 50	Loss: 0.553386	Accuracy: 0.790 	 Current Training Data Per Class: 160
